parser_name,equivalent_builtin,schema,schema_version,parser_type,parser_title,parser_version,parser_last_updated,product_name,description,tables,sub_parsers,parser_params,references,source_file,github_url
ASimAlertEvent,_ASim_AlertEvent,AlertEvent,0.1,union,Alert Event ASIM parser,0.1.0,"Oct 18, 2024",Source agnostic,This ASIM parser supports normalizing Alert logs from all supported sources to the ASIM Alert normalized schema.,,_Im_AlertEvent_Empty;_ASim_AlertEvent_MicrosoftDefenderXDR;_ASim_AlertEvent_SentinelOneSingularity,pack:bool=False,[ASIM Alert Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\ASimAlertEvent.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/ASimAlertEvent.yaml
ASimAlertEventMicrosoftDefenderXDR,_ASim_AlertEvent_MicrosoftDefenderXDR,AlertEvent,0.1,source,Alert Event ASIM parser for Microsoft Defender XDR,0.1.0,"Oct 09, 2024",Microsoft Defender XDR,This ASIM parser supports normalizing the Microsoft Defender XDR logs to the ASIM Alert normalized schema.,AlertEvidence,,disabled:bool=False,[ASIM Alert Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\ASimAlertEventMicrosoftDefenderXDR.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/ASimAlertEventMicrosoftDefenderXDR.yaml
ASimAlertEventSentinelOneSingularity,_ASim_AlertEvent_SentinelOneSingularity,AlertEvent,0.1,source,Alert Event ASIM parser for SentinelOne Singularity platform,0.1.0,"Oct 09, 2024",SentinelOne,This ASIM parser supports normalizing the SentinelOne alerts to the ASIM Alert normalized schema.,SentinelOne_CL,,disabled:bool=False,[ASIM Alert Event Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\ASimAlertEventSentinelOneSingularity.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/ASimAlertEventSentinelOneSingularity.yaml
imAlertEvent,_Im_AlertEvent,AlertEvent,0.1,union,Alert Event ASIM filtering parser,0.1.0,Mar 11 2024,Source agnostic,This ASIM parser supports filtering and normalizing Alert logs from all supported sources to the ASIM 'Alert' normalized schema.,,_Im_AlertEvent_Empty;_Im_AlertEvent_MicrosoftDefenderXDR;_Im_AlertEvent_SentinelOneSingularity,starttime:datetime=datetime(null);endtime:datetime=datetime(null);ipaddr_has_any_prefix:dynamic=dynamic([]);hostname_has_any:dynamic=dynamic([]);username_has_any:dynamic=dynamic([]);attacktactics_has_any:dynamic=dynamic([]);attacktechniques_has_any:dynamic=dynamic([]);threatcategory_has_any:dynamic=dynamic([]);alertverdict_has_any:dynamic=dynamic([]);eventseverity_has_any:dynamic=dynamic([]);pack:bool=False,[ASIM Alert Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\imAlertEvent.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/imAlertEvent.yaml
vimAlertEventEmpty,_Im_AlertEvent_Empty,AlertEvent,0.1,empty,Alert Event ASIM schema function,0.1.0,Oct 18 2024,Microsoft,This function returns an empty ASIM Dhcp Event schema.,,,,[ASIM Alert Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\vimAlertEventEmpty.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/vimAlertEventEmpty.yaml
vimAlertEventMicrosoftDefenderXDR,_Im_AlertEvent_MicrosoftDefenderXDR,AlertEvent,0.1,source,Alert Event ASIM filtering parser for Microsoft Defender XDR,0.1.0,"Oct 09, 2024",Microsoft Defender XDR,This ASIM parser supports normalizing and filtering the Microsoft Defender XDR logs to the ASIM Alert normalized schema.,AlertEvidence,,starttime:datetime=datetime(null);endtime:datetime=datetime(null);ipaddr_has_any_prefix:dynamic=dynamic([]);hostname_has_any:dynamic=dynamic([]);username_has_any:dynamic=dynamic([]);attacktactics_has_any:dynamic=dynamic([]);attacktechniques_has_any:dynamic=dynamic([]);threatcategory_has_any:dynamic=dynamic([]);alertverdict_has_any:dynamic=dynamic([]);eventseverity_has_any:dynamic=dynamic([]);disabled:bool=False,[ASIM Alert Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\vimAlertEventMicrosoftDefenderXDR.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/vimAlertEventMicrosoftDefenderXDR.yaml
vimAlertEventSentinelOneSingularity,_Im_AlertEvent_SentinelOneSingularity,AlertEvent,0.1,source,Alert Event ASIM filtering parser for SentinelOne Singularity platform,0.1.0,"Oct 09, 2024",SentinelOne,This ASIM parser supports normalizing and filtering the SentinelOne alerts to the ASIM Alert normalized schema.,SentinelOne_CL,,starttime:datetime=datetime(null);endtime:datetime=datetime(null);ipaddr_has_any_prefix:dynamic=dynamic([]);hostname_has_any:dynamic=dynamic([]);username_has_any:dynamic=dynamic([]);attacktactics_has_any:dynamic=dynamic([]);attacktechniques_has_any:dynamic=dynamic([]);threatcategory_has_any:dynamic=dynamic([]);alertverdict_has_any:dynamic=dynamic([]);eventseverity_has_any:dynamic=dynamic([]);disabled:bool=False,[ASIM Alert Event Schema](https://aka.ms/ASimAlertEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAlertEvent\Parsers\vimAlertEventSentinelOneSingularity.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAlertEvent/Parsers/vimAlertEventSentinelOneSingularity.yaml
ASimAuditEvent,_ASim_AuditEvent,AuditEvent,0.1,union,Audit event ASIM parser,0.1.3,"Dec 13, 2024",Source agnostic,This ASIM parser supports normalizing audit events from all supported sources to the ASIM Audit Event activity normalized schema.,,_Im_AuditEvent_Empty;_ASim_AuditEvent_MicrosoftExchangeAdmin365;_ASim_AuditEvent_AzureActivity;_ASim_AuditEvent_MicrosoftWindowsEvents;_ASim_AuditEvent_MicrosoftSecurityEvents;_ASim_AuditEvent_MicrosoftEvent;_ASim_AuditEvent_CiscoISE;_ASim_AuditEvent_CiscoMeraki;_ASim_AuditEvent_CiscoMerakiSyslog;_ASim_AuditEvent_BarracudaWAF;_ASim_AuditEvent_BarracudaCEF;_ASim_AuditEvent_CrowdStrikeFalconHost;_ASim_AuditEvent_VectraXDRAudit;_ASim_AuditEvent_SentinelOne;_ASim_AuditEvent_VMwareCarbonBlackCloud;_ASim_AuditEvent_InfobloxBloxOne;_ASim_AuditEvent_IllumioSaaSCore;_ASim_AuditEvent_Native,pack:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAuditEvent\Parsers\ASimAuditEvent.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEvent.yaml
ASimAuditEventAzureActivity,_ASim_AuditEvent_AzureActivity,AuditEvent,0.1.0,source,Audit Event ASIM parser for Azure administrative activity,0.2,Feb 19 2022,Microsoft Azure,This ASIM parser supports normalizing Azure administrative activity in the AzureActivity table to the ASIM Audit Event schema.,AzureActivity,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAuditEvent\Parsers\ASimAuditEventAzureAdminActivity.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventAzureAdminActivity.yaml
ASimAuditEventBarracudaCEF,_ASim_AuditEvent_BarracudaCEF,AuditEvent,0.1,source,Audit Event ASIM parser for Barracuda WAF,0.2.1,"Jun 12, 2024",Barracuda WAF,This ASIM parser supports normalizing Barracuda WAF logs ingested in 'CommonSecurityLog' table to the ASIM Audit Event schema.,CommonSecurityLog,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Logs type Description in Barracuda CEF](https://campus.barracuda.com/product/webapplicationfirewall/doc/78810008/types-of-logs/),Parsers\ASimAuditEvent\Parsers\ASimAuditEventBarracudaCEF.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventBarracudaCEF.yaml
