schema,schema_type,field_name,field_class,physical_type,logical_type,entity,role,field_group,source,aliased_field,allowed_values,conditional_on,description,example,note,doc_url,section_title,original_description,in_tester,tester_class,tester_type,tester_logical_type,tester_allowed_values,tester_aliased,in_physical_table,physical_table_type,physical_table_names
AlertEvent,event,ActorDNUsername,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorSimpleUsername,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserAWSId,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserAadId,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserOktaId,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserPuid,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserSid,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserUid,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorUserUpn,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,ActorWindowsUsername,Optional,string,,user,actor,,EntityExtension,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,,,True,,,,,,,,
AlertEvent,event,AdditionalFields,Optional,dynamic,,,,common,CommonFieldsRef,,,,"If your source provides additional information worth preserving, either keep it with the original field names or create the dynamic **AdditionalFields** field, and add the extra information as key/value pairs.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields,Other fields,"If your source provides additional information worth preserving, either keep it with the original field names or create the dynamic **AdditionalFields** field, and add the extra information as key/value pairs.",True,,,,,,True,,ASimAlertEventLogs
AlertEvent,event,AlertDescription,Alias,string,,,,inspection,SchemaDoc,EventMessage,,,,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-schema-alert,Inspection Fields,Alias or friendly name for `EventMessage` field.,True,,,,,EventMessage,True,,ASimAlertEventLogs
AlertEvent,event,AlertId,Alias,string,,,,inspection,SchemaDoc,EventUid,,,,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-schema-alert,Inspection Fields,Alias or friendly name for `EventUid` field.,True,,,,,EventUid,True,,ASimAlertEventLogs
AlertEvent,event,AlertName,Recommended,string,,,,inspection,SchemaDoc,,,,Title or name of the alert.,Possible use of the Rubeus kerberoasting tool,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-schema-alert,Inspection Fields,Title or name of the alert.<br>e.g. `Possible use of the Rubeus kerberoasting tool`,True,,,,,,True,,ASimAlertEventLogs
AlertEvent,event,AlertOriginalStatus,Optional,string,,,,inspection,SchemaDoc,,,,The status of the alert as reported by the originating system.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-schema-alert,Inspection Fields,The status of the alert as reported by the originating system.,True,,,,,,True,,ASimAlertEventLogs
AlertEvent,event,AlertStatus,Optional,string,Enumerated,,,inspection,SchemaDoc,,Active|Closed,,Indicates the current state or progress of the alert.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-schema-alert,Inspection Fields,Indicates the current state or progress of the alert.<br><br>Supported values are:<br>- `Active`<br>- `Closed`,True,,,,,,True,,ASimAlertEventLogs
