Start Time,Log Source,Event Name,Low Level Category,Modified Payload
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Query Denied,DNS Denied,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query (cache) 'msoid.amstyrenics-prd.com/A/IN' denied
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,IPv6 Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query: <random domain> IN AAAA -E(0)DC (204.136.241.42)
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: 30-Jun-2022 16:15:59.463 client <host ip address & host resolution in ()>: view 7: UDP: query: <random domain> IN A response: REFUSED -E
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,IPv6 Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: 30-Jun-2022 16:15:59.460 client <host ip address & host resolution in ()>: view 7: UDP: query: <random domain> IN AAAA response: NOERROR -AE
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,IPv6 Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: 30-Jun-2022 16:15:59.460 client <host ip address & host resolution in ()>: view 7: UDP: query: <random domain> IN AAAA response: NOERROR -AE
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,IPv6 Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: 30-Jun-2022 16:15:59.461 client <host ip address & host resolution in ()>: view 7: UDP: query: <random domain> IN AAAA response: NOERROR -AE
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,IPv6 Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query: <random domain> IN AAAA -E(0)DC (204.136.241.42)
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query: <random domain> IN A -E(0)D (204.136.241.42)
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query: <random domain> IN A -E(0)D (204.136.241.42)
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: 30-Jun-2022 16:15:59.146 client <host ip address & host resolution in ()>: view 7: UDP: query: <random domain> IN A response: NXDOMAIN -AE
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query: <random domain> IN A -E(0)DC (204.136.241.42)
"Jun 30, 2022, 4:15:59 PM",Bind @ 204.136.241.42,Address Query,DNS In Progress,<190>Jun 30 16:15:59 204.136.241.42 named[22442]: client <host ip address & host resolution in ()>: view 7: query: <random domain> IN A -E(0)DC (204.136.241.42)
