ID,tactics
T1548,"DefenseEvasion,PrivilegeEscalation"
T1134,"DefenseEvasion,PrivilegeEscalation"
T1531,Impact
T1087,Discovery
T1098,Persistence
T1583,ResourceDevelopment
T1595,Reconnaissance
T1557,"Collection,CredentialAccess"
T1071,CommandandControl
T1010,Discovery
T1560,Collection
T1123,Collection
T1119,Collection
T1020,Exfiltration
T1197,"DefenseEvasion,Persistence"
T1547,"Persistence,PrivilegeEscalation"
T1037,"Persistence,PrivilegeEscalation"
T1217,Discovery
T1176,Persistence
T1185,Collection
T1110,CredentialAccess
T1612,DefenseEvasion
T1115,Collection
T1580,Discovery
T1538,Discovery
T1526,Discovery
T1619,Discovery
T1059,Execution
T1092,CommandandControl
T1586,ResourceDevelopment
T1554,Persistence
T1584,ResourceDevelopment
T1609,Execution
T1613,Discovery
T1136,Persistence
T1543,"Persistence,PrivilegeEscalation"
T1555,CredentialAccess
T1485,Impact
T1132,CommandandControl
T1486,Impact
T1565,Impact
T1001,CommandandControl
T1074,Collection
T1030,Exfiltration
T1530,Collection
T1602,Collection
T1213,Collection
T1005,Collection
T1039,Collection
T1025,Collection
T1622,"DefenseEvasion,Discovery"
T1491,Impact
T1140,DefenseEvasion
T1610,"DefenseEvasion,Execution"
T1587,ResourceDevelopment
T1006,DefenseEvasion
T1561,Impact
T1484,"DefenseEvasion,PrivilegeEscalation"
T1482,Discovery
T1189,InitialAccess
T1568,CommandandControl
T1114,Collection
T1573,CommandandControl
T1499,Impact
T1611,PrivilegeEscalation
T1585,ResourceDevelopment
T1546,"Persistence,PrivilegeEscalation"
T1480,DefenseEvasion
T1048,Exfiltration
T1041,Exfiltration
T1011,Exfiltration
T1052,Exfiltration
T1567,Exfiltration
T1190,InitialAccess
T1203,Execution
T1212,CredentialAccess
T1211,DefenseEvasion
T1068,PrivilegeEscalation
T1210,LateralMovement
T1133,"InitialAccess,Persistence"
T1008,CommandandControl
T1083,Discovery
T1222,DefenseEvasion
T1495,Impact
T1187,CredentialAccess
T1606,CredentialAccess
T1592,Reconnaissance
T1589,Reconnaissance
T1590,Reconnaissance
T1591,Reconnaissance
T1615,Discovery
T1200,InitialAccess
T1564,DefenseEvasion
T1574,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1562,DefenseEvasion
T1525,Persistence
T1070,DefenseEvasion
T1202,DefenseEvasion
T1105,CommandandControl
T1490,Impact
T1056,"Collection,CredentialAccess"
T1559,Execution
T1534,LateralMovement
T1570,LateralMovement
T1036,DefenseEvasion
T1556,"CredentialAccess,DefenseEvasion,Persistence"
T1578,DefenseEvasion
T1112,DefenseEvasion
T1601,DefenseEvasion
T1111,CredentialAccess
T1621,CredentialAccess
T1104,CommandandControl
T1106,Execution
T1599,DefenseEvasion
T1498,Impact
T1046,Discovery
T1135,Discovery
T1040,"CredentialAccess,Discovery"
T1095,CommandandControl
T1571,CommandandControl
T1003,CredentialAccess
T1027,DefenseEvasion
T1588,ResourceDevelopment
T1137,Persistence
T1201,Discovery
T1120,Discovery
T1069,Discovery
T1566,InitialAccess
T1598,Reconnaissance
T1647,DefenseEvasion
T1542,"DefenseEvasion,Persistence"
T1057,Discovery
T1055,"DefenseEvasion,PrivilegeEscalation"
T1572,CommandandControl
T1090,CommandandControl
T1012,Discovery
T1620,DefenseEvasion
T1219,CommandandControl
T1563,LateralMovement
T1021,LateralMovement
T1018,Discovery
T1091,"InitialAccess,LateralMovement"
T1496,Impact
T1207,DefenseEvasion
T1014,DefenseEvasion
T1053,"Execution,Persistence,PrivilegeEscalation"
T1029,Exfiltration
T1113,Collection
T1597,Reconnaissance
T1596,Reconnaissance
T1593,Reconnaissance
T1594,Reconnaissance
T1505,Persistence
T1489,Impact
T1129,Execution
T1072,"Execution,LateralMovement"
T1518,Discovery
T1608,ResourceDevelopment
T1528,CredentialAccess
T1539,CredentialAccess
T1558,CredentialAccess
T1553,DefenseEvasion
T1195,InitialAccess
T1218,DefenseEvasion
T1082,Discovery
T1614,Discovery
T1016,Discovery
T1049,Discovery
T1033,Discovery
T1216,DefenseEvasion
T1007,Discovery
T1569,Execution
T1529,Impact
T1124,Discovery
T1080,LateralMovement
T1221,DefenseEvasion
T1205,"CommandandControl,DefenseEvasion,Persistence"
T1537,Exfiltration
T1127,DefenseEvasion
T1199,InitialAccess
T1552,CredentialAccess
T1535,DefenseEvasion
T1550,"DefenseEvasion,LateralMovement"
T1204,Execution
T1078,"DefenseEvasion,InitialAccess,Persistence,PrivilegeEscalation"
T1125,Collection
T1497,"DefenseEvasion,Discovery"
T1600,DefenseEvasion
T1102,CommandandControl
T1047,Execution
T1220,DefenseEvasion
T0800,InhibitResponseFunction
T0878,InhibitResponseFunction
T0802,Collection
T0803,InhibitResponseFunction
T0804,InhibitResponseFunction
T0805,InhibitResponseFunction
T0806,ImpairProcessControl
T0858,"Evasion,Execution"
T0807,Execution
T0885,CommandandControl
T0884,CommandandControl
T0879,Impact
T0809,InhibitResponseFunction
T0811,Collection
T0812,LateralMovement
T0813,Impact
T0814,InhibitResponseFunction
T0815,Impact
T0868,Collection
T0816,InhibitResponseFunction
T0817,InitialAccess
T0871,Execution
T0819,InitialAccess
T0820,Evasion
T0890,PrivilegeEscalation
T0866,"InitialAccess,LateralMovement"
T0822,InitialAccess
T0823,Execution
T0874,"Execution,PrivilegeEscalation"
T0877,Collection
T0872,Evasion
T0883,InitialAccess
T0867,LateralMovement
T0826,Impact
T0827,Impact
T0828,Impact
T0837,Impact
T0880,Impact
T0829,Impact
T0830,Collection
T0835,InhibitResponseFunction
T0831,Impact
T0832,Impact
T0849,Evasion
T0838,InhibitResponseFunction
T0821,Execution
T0836,ImpairProcessControl
T0889,Persistence
T0839,"ImpairProcessControl,Persistence"
T0801,Collection
T0834,Execution
T0840,Discovery
T0842,Discovery
T0861,Collection
