TenantId,SourceSystem,TimeGenerated,MG,Computer,EventTime,Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,CollectorHostName,Type,_ResourceId
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:00:00Z,00000000-0000-0000-0000-000000000002,prisma-console-01,2026-07-15T12:00:00Z,local1,prisma-console-01,info,"time=""2026-07-15T12:00:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.user1"" source_ip=""192.0.2.10"" api=""/api/v1/authenticate"" status=""successful login attempt""",1,192.0.2.20,Twistlock-Console,collector-01,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-01
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:01:00Z,00000000-0000-0000-0000-000000000002,prisma-console-01,2026-07-15T12:01:00Z,local1,prisma-console-01,info,"time=""2026-07-15T12:01:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.user2"" source_ip=""192.0.2.11"" api=""/api/v1/authenticate"" status=""successful login attempt""",1,192.0.2.20,Twistlock-Console,collector-01,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-01
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:02:00Z,00000000-0000-0000-0000-000000000002,prisma-console-01,2026-07-15T12:02:00Z,local1,prisma-console-01,warning,"time=""2026-07-15T12:02:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.user3"" source_ip=""192.0.2.12"" api=""/api/v1/authenticate"" status=""invalid credentials""",1,192.0.2.20,Twistlock-Console,collector-01,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-01
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:03:00Z,00000000-0000-0000-0000-000000000002,prisma-console-01,2026-07-15T12:03:00Z,local1,prisma-console-01,warning,"time=""2026-07-15T12:03:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.user4"" source_ip=""192.0.2.13"" api=""/api/v1/authenticate"" status=""invalid credentials""",1,192.0.2.20,Twistlock-Console,collector-01,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-01
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:04:00Z,00000000-0000-0000-0000-000000000002,prisma-console-01,2026-07-15T12:04:00Z,local1,prisma-console-01,error,"time=""2026-07-15T12:04:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.user5"" source_ip=""192.0.2.14"" api=""/api/v1/authenticate"" status=""invalid credentials""",1,192.0.2.20,Twistlock-Console,collector-01,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-01
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:05:00Z,00000000-0000-0000-0000-000000000002,prisma-console-02,2026-07-15T12:05:00Z,local1,prisma-console-02,warning,"time=""2026-07-15T12:05:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" source_ip=""192.0.2.15"" api=""/api/v1/images"" status=""expired token""",1,192.0.2.21,Twistlock-Console,collector-02,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-02
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:06:00Z,00000000-0000-0000-0000-000000000002,prisma-console-02,2026-07-15T12:06:00Z,local1,prisma-console-02,warning,"time=""2026-07-15T12:06:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" source_ip=""192.0.2.16"" api=""/api/v1/images"" status=""expired token""",1,192.0.2.21,Twistlock-Console,collector-02,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-02
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:07:00Z,00000000-0000-0000-0000-000000000002,prisma-console-02,2026-07-15T12:07:00Z,local1,prisma-console-02,error,"time=""2026-07-15T12:07:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" source_ip=""192.0.2.17"" api=""/api/v1/images"" status=""expired token""",1,192.0.2.21,Twistlock-Console,collector-02,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-02
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:08:00Z,00000000-0000-0000-0000-000000000002,prisma-console-02,2026-07-15T12:08:00Z,local1,prisma-console-02,info,"time=""2026-07-15T12:08:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.admin"" source_ip=""192.0.2.18"" api=""/api/v1/authenticate"" status=""successful login attempt""",1,192.0.2.21,Twistlock-Console,collector-02,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-02
00000000-0000-0000-0000-000000000001,Linux,2026-07-15T12:09:00Z,00000000-0000-0000-0000-000000000002,prisma-console-02,2026-07-15T12:09:00Z,local1,prisma-console-02,info,"time=""2026-07-15T12:09:00Z"" type=""management_audit"" id=""twistlock"" log_type=""login"" username=""sample.operator"" source_ip=""192.0.2.19"" api=""/api/v1/authenticate"" status=""successful login attempt""",1,192.0.2.21,Twistlock-Console,collector-02,PrismaCloud_CL,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/sample-rg/providers/Microsoft.Compute/virtualMachines/prisma-console-02
