ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,System.String,string
SourceSystem,1,System.String,string
MG,2,System.String,string
ManagementGroupName,3,System.String,string
TimeGenerated,4,System.DateTime,datetime
Computer,5,System.String,string
RawData,6,System.String,string
id_d,7,System.Double,real
Category,8,System.String,string
threat_d,9,System.Double,real
certainty_d,10,System.Double,real
triaged_b,11,System.SByte,bool
detection_type_s,12,System.String,string
d_type_vname_s,13,System.String,string
detection_id_d,14,System.Double,real
detection_href_s,15,System.String,string
account_id_d,16,System.Double,real
account_href_s,17,System.String,string
href_s,18,System.String,string
account_uid_s,19,System.String,string
src_account_s,20,System.String,string
event_timestamp_t,21,System.DateTime,datetime
ip_s,22,System.String,string
detail_s,23,System.String,string
Severity,24,System.Int32,int
Type,25,System.String,string
_ResourceId,26,System.String,string
