learn_slug,learn_title,learn_table_count,learn_tables,learn_url
a365-observability,A365 Observability,0,,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#a365-observability
auth0-access-management-using-azure-functions,Auth0 Access Management (using Azure Functions),1,Auth0AM_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#auth0-access-management-using-azure-functions
auth0-logsvia-codeless-connector-framework,Auth0 Logs(via Codeless Connector Framework),1,Auth0Logs_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#auth0-logsvia-codeless-connector-framework
box-using-azure-functions,Box (using Azure Functions),1,BoxEvents_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#box-using-azure-functions
cloudflare-preview-using-azure-functions,Cloudflare (Preview) (using Azure Functions),1,Cloudflare_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#cloudflare-preview-using-azure-functions
crowdstrike-falcon-adversary-intelligence--using-azure-functions,CrowdStrike Falcon Adversary Intelligence  (using Azure Functions),1,ThreatIntelIndicators,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#crowdstrike-falcon-adversary-intelligence--using-azure-functions
dynamics365,Dynamics365,1,Dynamics365Activity,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#dynamics365
dynatrace-attacks,Dynatrace Attacks,1,DynatraceAttacks_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#dynatrace-attacks
dynatrace-audit-logs,Dynatrace Audit Logs,1,DynatraceAuditLogs_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#dynatrace-audit-logs
dynatrace-problems,Dynatrace Problems,1,DynatraceProblems_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#dynatrace-problems
dynatrace-runtime-vulnerabilities,Dynatrace Runtime Vulnerabilities,1,DynatraceSecurityProblems_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#dynatrace-runtime-vulnerabilities
elastic-agent-standalone,Elastic Agent (Standalone),1,ElasticAgentEvent,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#elastic-agent-standalone
island-enterprise-browser-admin-audit-polling-ccp,Island Enterprise Browser Admin Audit (Polling CCF),1,Island_Admin_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#island-enterprise-browser-admin-audit-polling-ccp
island-enterprise-browser-user-activity-polling-ccp,Island Enterprise Browser User Activity (Polling CCF),1,Island_User_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#island-enterprise-browser-user-activity-polling-ccp
mimecast-audit--authentication-using-azure-functions,Mimecast Audit & Authentication (using Azure Functions),1,MimecastAudit_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#mimecast-audit--authentication-using-azure-functions
mimecast-intelligence-for-microsoft---microsoft-sentinel-using-azure-functions,Mimecast Intelligence for Microsoft - Microsoft Sentinel (using Azure Functions),1,ThreatIntelligenceIndicator,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#mimecast-intelligence-for-microsoft---microsoft-sentinel-using-azure-functions
onapsis-defend-integrate-unmatched-sap-threat-detection--intel-with-microsoft-sentinel,Onapsis Defend: Integrate Unmatched SAP Threat Detection & Intel with Microsoft Sentinel,1,Onapsis_Defend_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#onapsis-defend-integrate-unmatched-sap-threat-detection--intel-with-microsoft-sentinel
sophos-endpoint-protection-using-azure-functions,Sophos Endpoint Protection (using Azure Functions),1,SophosEP_CL,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#sophos-endpoint-protection-using-azure-functions
vmware-carbon-black-cloud-using-azure-functions,VMware Carbon Black Cloud (using Azure Functions),3,"CarbonBlackEvents_CL, CarbonBlackNotifications_CL, CarbonBlackAuditLogs_CL",https://learn.microsoft.com/azure/sentinel/data-connectors-reference#vmware-carbon-black-cloud-using-azure-functions
