connector_id,connector_title,solution_name,collection_method,tried_slugs
VectraStreamAma,[Recommended] Vectra AI Stream via AMA,Vectra AI Stream,AMA,recommended-vectra-ai-stream-via-ama | vectra-ai-stream-via-ama | recommended-vectra-ai-stream-using-azure-functions | recommended-vectra-ai-stream-using-azure-function | recommended-vectra-ai-stream-via-codeless-connector-framework | recommended-vectra-ai-stream-via-legacy-agent | recommended-vectra-ai-stream-polling-ccf | recommended-vectra-ai-stream-polling-ccp | recommended-vectra-ai-stream-ccf | recommended-vectra-ai-stream-ccp | recommended-vectra-ai-stream-preview | recommended-vectra-ai-stream
AbnormalSecurityPush,Abnormal Security (Push),AbnormalSecurity,CCF Push,abnormal-security-push | abnormal-security-push-using-azure-functions | abnormal-security-push-using-azure-function | abnormal-security-push-via-codeless-connector-framework | abnormal-security-push-via-legacy-agent | abnormal-security-push-polling-ccf | abnormal-security-push-polling-ccp | abnormal-security-push-via-ama | abnormal-security-push-ccf | abnormal-security-push-ccp | abnormal-security-push-preview
A365,Agent 365,Agent 365,Unknown,agent-365 | agent-365-using-azure-functions | agent-365-using-azure-function | agent-365-via-codeless-connector-framework | agent-365-via-legacy-agent | agent-365-polling-ccf | agent-365-polling-ccp | agent-365-via-ama | agent-365-ccf | agent-365-ccp | agent-365-preview
AIVectraStream,AI Vectra Stream via Legacy Agent,Vectra AI Stream,AMA,ai-vectra-stream-via-legacy-agent | ai-vectra-stream-using-azure-functions | ai-vectra-stream-using-azure-function | ai-vectra-stream-via-codeless-connector-framework | ai-vectra-stream-polling-ccf | ai-vectra-stream-polling-ccp | ai-vectra-stream-via-ama | ai-vectra-stream-ccf | ai-vectra-stream-ccp | ai-vectra-stream-preview | ai-vectra-stream
42CrunchAPIProtection,API Protection,42Crunch API Protection,REST Pull API,api-protection | api-protection-using-azure-functions | api-protection-using-azure-function | api-protection-via-codeless-connector-framework | api-protection-via-legacy-agent | api-protection-polling-ccf | api-protection-polling-ccp | api-protection-via-ama | api-protection-ccf | api-protection-ccp | api-protection-preview
ArmisActivities,Armis Activities,Armis,Azure Function,armis-activities | armis-activities-using-azure-functions | armis-activities-using-azure-function | armis-activities-via-codeless-connector-framework | armis-activities-via-legacy-agent | armis-activities-polling-ccf | armis-activities-polling-ccp | armis-activities-via-ama | armis-activities-ccf | armis-activities-ccp | armis-activities-preview
ArmisAlerts,Armis Alerts,Armis,Azure Function,armis-alerts | armis-alerts-using-azure-functions | armis-alerts-using-azure-function | armis-alerts-via-codeless-connector-framework | armis-alerts-via-legacy-agent | armis-alerts-polling-ccf | armis-alerts-polling-ccp | armis-alerts-via-ama | armis-alerts-ccf | armis-alerts-ccp | armis-alerts-preview
Armorblox,Armorblox,Armorblox,Azure Function,armorblox | armorblox-using-azure-functions | armorblox-using-azure-function | armorblox-via-codeless-connector-framework | armorblox-via-legacy-agent | armorblox-polling-ccf | armorblox-polling-ccp | armorblox-via-ama | armorblox-ccf | armorblox-ccp | armorblox-preview
AtlassianConfluence,Atlassian Confluence,AtlassianConfluenceAudit,CCF,atlassian-confluence | atlassian-confluence-using-azure-functions | atlassian-confluence-using-azure-function | atlassian-confluence-via-codeless-connector-framework | atlassian-confluence-via-legacy-agent | atlassian-confluence-polling-ccf | atlassian-confluence-polling-ccp | atlassian-confluence-via-ama | atlassian-confluence-ccf | atlassian-confluence-ccp | atlassian-confluence-preview
Auth0ConnectorCCPDefinition,Auth0 Logs (via Codeless Connector Framework),Auth0,CCF,auth0-logs-via-codeless-connector-framework | auth0-logs-using-azure-functions | auth0-logs-using-azure-function | auth0-logs-via-legacy-agent | auth0-logs-polling-ccf | auth0-logs-polling-ccp | auth0-logs-via-ama | auth0-logs-ccf | auth0-logs-ccp | auth0-logs-preview | auth0-logs
AzureDataLakeStorageGen1_CCP,Azure Data Lake Storage Gen1,Azure Data Lake Storage Gen1,Azure Diagnostics,azure-data-lake-storage-gen1 | azure-data-lake-storage-gen1-using-azure-functions | azure-data-lake-storage-gen1-using-azure-function | azure-data-lake-storage-gen1-via-codeless-connector-framework | azure-data-lake-storage-gen1-via-legacy-agent | azure-data-lake-storage-gen1-polling-ccf | azure-data-lake-storage-gen1-polling-ccp | azure-data-lake-storage-gen1-via-ama | azure-data-lake-storage-gen1-ccf | azure-data-lake-storage-gen1-ccp | azure-data-lake-storage-gen1-preview
BitSight,Bitsight data connector,BitSight,Azure Function,bitsight-data-connector | bitsight-data-connector-using-azure-functions | bitsight-data-connector-using-azure-function | bitsight-data-connector-via-codeless-connector-framework | bitsight-data-connector-via-legacy-agent | bitsight-data-connector-polling-ccf | bitsight-data-connector-polling-ccp | bitsight-data-connector-via-ama | bitsight-data-connector-ccf | bitsight-data-connector-ccp | bitsight-data-connector-preview
blacklens_io,blacklens.io,Blacklens,REST Pull API,blacklens-io | blacklensio | blacklens-io-using-azure-functions | blacklens-io-using-azure-function | blacklens-io-via-codeless-connector-framework | blacklens-io-via-legacy-agent | blacklens-io-polling-ccf | blacklens-io-polling-ccp | blacklens-io-via-ama | blacklens-io-ccf | blacklens-io-ccp | blacklens-io-preview
BloodHoundEnterprise,BloodHound Enterprise Data Connector (using Azure Functions),BloodHound Enterprise,Azure Function,bloodhound-enterprise-data-connector-using-azure-functions | bloodhound-enterprise-data-connector-using-azure-function | bloodhound-enterprise-data-connector-via-codeless-connector-framework | bloodhound-enterprise-data-connector-via-legacy-agent | bloodhound-enterprise-data-connector-polling-ccf | bloodhound-enterprise-data-connector-polling-ccp | bloodhound-enterprise-data-connector-via-ama | bloodhound-enterprise-data-connector-ccf | bloodhound-enterprise-data-connector-ccp | bloodhound-enterprise-data-connector-preview | bloodhound-enterprise-data-connector
CiscoASA,Cisco ASA via Legacy Agent,CiscoASA,AMA,cisco-asa-via-legacy-agent | cisco-asa-using-azure-functions | cisco-asa-using-azure-function | cisco-asa-via-codeless-connector-framework | cisco-asa-polling-ccf | cisco-asa-polling-ccp | cisco-asa-via-ama | cisco-asa-ccf | cisco-asa-ccp | cisco-asa-preview | cisco-asa
Citrix,CITRIX SECURITY ANALYTICS,Citrix Analytics for Security,REST Pull API,citrix-security-analytics | citrix-security-analytics-using-azure-functions | citrix-security-analytics-using-azure-function | citrix-security-analytics-via-codeless-connector-framework | citrix-security-analytics-via-legacy-agent | citrix-security-analytics-polling-ccf | citrix-security-analytics-polling-ccp | citrix-security-analytics-via-ama | citrix-security-analytics-ccf | citrix-security-analytics-ccp | citrix-security-analytics-preview
CEF,Common Event Format (CEF),Common Event Format,AMA,common-event-format-cef | common-event-format-cef-using-azure-functions | common-event-format-cef-using-azure-function | common-event-format-cef-via-codeless-connector-framework | common-event-format-cef-via-legacy-agent | common-event-format-cef-polling-ccf | common-event-format-cef-polling-ccp | common-event-format-cef-via-ama | common-event-format-cef-ccf | common-event-format-cef-ccp | common-event-format-cef-preview
CefAma,Common Event Format (CEF) via AMA,Common Event Format,AMA,common-event-format-cef-via-ama | common-event-format-cef-using-azure-functions | common-event-format-cef-using-azure-function | common-event-format-cef-via-codeless-connector-framework | common-event-format-cef-via-legacy-agent | common-event-format-cef-polling-ccf | common-event-format-cef-polling-ccp | common-event-format-cef-ccf | common-event-format-cef-ccp | common-event-format-cef-preview | common-event-format-cef
ContrastADRCCF,Contrast ADR Push Connector,ContrastADR,CCF Push,contrast-adr-push-connector | contrast-adr-push-connector-using-azure-functions | contrast-adr-push-connector-using-azure-function | contrast-adr-push-connector-via-codeless-connector-framework | contrast-adr-push-connector-via-legacy-agent | contrast-adr-push-connector-polling-ccf | contrast-adr-push-connector-polling-ccp | contrast-adr-push-connector-via-ama | contrast-adr-push-connector-ccf | contrast-adr-push-connector-ccp | contrast-adr-push-connector-preview
