missing_from,connector_title,connector_id,solution_name,solution_publish_date,collection_method,learn_slug,learn_url,learn_table_count,learn_tables,tried_slugs,sentinelninja_url,generated_at
analyzer,ESET Protect Platform (using Azure Functions),,,,,eset-protect-platform-using-azure-functions,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#eset-protect-platform-using-azure-functions,2,"IntegrationTable_CL, IntegrationTableIncidents_CL",,,2026-05-22 06:59 UTC
analyzer,Mimecast Audit & Authentication (using Azure Functions),,,,,mimecast-audit--authentication-using-azure-functions,https://learn.microsoft.com/azure/sentinel/data-connectors-reference#mimecast-audit--authentication-using-azure-functions,1,MimecastAudit_CL,,,2026-05-22 06:59 UTC
learn,[Recommended] Vectra AI Stream via AMA,VectraStreamAma,Vectra AI Stream,2024-05-02,AMA,,,,,recommended-vectra-ai-stream-via-ama | recommendedvectraaistreamviaama | recommended-vectra-ai-stream-using-azure-functions | recommended-vectra-ai-stream-using-azure-function | recommended-vectra-ai-stream-via-codeless-connector-framework | recommended-vectra-ai-stream-via-legacy-agent | recommended-vectra-ai-stream-polling-ccf | recommended-vectra-ai-stream-polling-ccp | recommended-vectra-ai-stream-ccf | recommended-vectra-ai-stream-ccp | recommended-vectra-ai-stream-preview | recommended-vectra-ai-stream-standalone | recommended-vectra-ai-stream | recommendedvectraaistream | vectra-ai-stream-via-ama | vectraaistreamviaama | vectra-ai-stream-using-azure-functions | vectra-ai-stream-using-azure-function | vectra-ai-stream-via-codeless-connector-framework | vectra-ai-stream-via-legacy-agent | vectra-ai-stream-polling-ccf | vectra-ai-stream-polling-ccp | vectra-ai-stream-ccf | vectra-ai-stream-ccp | vectra-ai-stream-preview | vectra-ai-stream-standalone | vectra-ai-stream | vectraaistream,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/vectrastreamama.html,2026-05-22 06:59 UTC
learn,Abnormal Security (Push),AbnormalSecurityPush,AbnormalSecurity,2026-02-17,CCF Push,,,,,abnormal-security-push | abnormalsecuritypush | abnormal-security-push-using-azure-functions | abnormal-security-push-using-azure-function | abnormal-security-push-via-codeless-connector-framework | abnormal-security-push-via-legacy-agent | abnormal-security-push-polling-ccf | abnormal-security-push-polling-ccp | abnormal-security-push-via-ama | abnormal-security-push-ccf | abnormal-security-push-ccp | abnormal-security-push-preview | abnormal-security-push-standalone | abnormal-security | abnormalsecurity | abnormal-security-using-azure-functions | abnormal-security-using-azure-function | abnormal-security-via-codeless-connector-framework | abnormal-security-via-legacy-agent | abnormal-security-polling-ccf | abnormal-security-polling-ccp | abnormal-security-via-ama | abnormal-security-ccf | abnormal-security-ccp | abnormal-security-preview | abnormal-security-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/abnormalsecuritypush.html,2026-05-22 06:59 UTC
learn,AI Vectra Stream via Legacy Agent,AIVectraStream,Vectra AI Stream,2024-05-02,AMA,,,,,ai-vectra-stream-via-legacy-agent | aivectrastreamvialegacyagent | ai-vectra-stream-using-azure-functions | ai-vectra-stream-using-azure-function | ai-vectra-stream-via-codeless-connector-framework | ai-vectra-stream-polling-ccf | ai-vectra-stream-polling-ccp | ai-vectra-stream-via-ama | ai-vectra-stream-ccf | ai-vectra-stream-ccp | ai-vectra-stream-preview | ai-vectra-stream-standalone | ai-vectra-stream | aivectrastream,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/aivectrastream.html,2026-05-22 06:59 UTC
learn,API Protection,42CrunchAPIProtection,42Crunch API Protection,2022-09-21,REST Pull API,,,,,api-protection | apiprotection | api-protection-using-azure-functions | api-protection-using-azure-function | api-protection-via-codeless-connector-framework | api-protection-via-legacy-agent | api-protection-polling-ccf | api-protection-polling-ccp | api-protection-via-ama | api-protection-ccf | api-protection-ccp | api-protection-preview | api-protection-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/42crunchapiprotection.html,2026-05-22 06:59 UTC
learn,Armis Activities,ArmisActivities,Armis,2024-08-23,Azure Function,,,,,armis-activities | armisactivities | armis-audit | armisaudit | armis-activity | armisactivity | armis-events | armisevents | armis-event | armisevent | armis-activities-using-azure-functions | armis-activities-using-azure-function | armis-activities-via-codeless-connector-framework | armis-activities-via-legacy-agent | armis-activities-polling-ccf | armis-activities-polling-ccp | armis-activities-via-ama | armis-activities-ccf | armis-activities-ccp | armis-activities-preview | armis-activities-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/armisactivities.html,2026-05-22 06:59 UTC
learn,Armis Alerts,ArmisAlerts,Armis,2024-08-23,Azure Function,,,,,armis-alerts | armisalerts | armis-alerts-using-azure-functions | armis-alerts-using-azure-function | armis-alerts-via-codeless-connector-framework | armis-alerts-via-legacy-agent | armis-alerts-polling-ccf | armis-alerts-polling-ccp | armis-alerts-via-ama | armis-alerts-ccf | armis-alerts-ccp | armis-alerts-preview | armis-alerts-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/armisalerts.html,2026-05-22 06:59 UTC
learn,Armorblox,Armorblox,Armorblox,2021-10-18,Azure Function,,,,,armorblox | armorblox-using-azure-functions | armorblox-using-azure-function | armorblox-via-codeless-connector-framework | armorblox-via-legacy-agent | armorblox-polling-ccf | armorblox-polling-ccp | armorblox-via-ama | armorblox-ccf | armorblox-ccp | armorblox-preview | armorblox-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/armorblox.html,2026-05-22 06:59 UTC
learn,Atlassian Confluence,AtlassianConfluence,AtlassianConfluenceAudit,2025-12-13,CCF,,,,,atlassian-confluence | atlassianconfluence | atlassian-confluence-using-azure-functions | atlassian-confluence-using-azure-function | atlassian-confluence-via-codeless-connector-framework | atlassian-confluence-via-legacy-agent | atlassian-confluence-polling-ccf | atlassian-confluence-polling-ccp | atlassian-confluence-via-ama | atlassian-confluence-ccf | atlassian-confluence-ccp | atlassian-confluence-preview | atlassian-confluence-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/atlassianconfluence.html,2026-05-22 06:59 UTC
