connector_id,connector_title,solution_name,learn_slug,analyzer_table_count,learn_table_count,only_in_analyzer,only_in_learn,generated_at
AlibabaCloudNetworkingConnector,Alibaba Cloud Networking Data Connector (via Codeless Connector Framework),Alibaba Cloud Networking,alibaba-cloud-networking-data-connector-via-codeless-connector-framework,0,1,,AlibabaCloudVPCFlowLogs,2026-05-22 06:59 UTC
AWSELBConnector,Amazon Web Services Elastic Load Balancing (via Codeless Connector Framework),AWS ELB,amazon-web-services-elastic-load-balancing-via-codeless-connector-framework,6,1,"AWSALBAccessLogs, AWSALBAccessLogs_CL, AWSELBFlowLogs, AWSELBFlowLogs_CL, AWSNLBAccessLogs, AWSNLBAccessLogs_CL",AWSALBAccessLogsData,2026-05-22 06:59 UTC
AwsNetworkFirewallCcpDefinition,Amazon Web Services NetworkFirewall (via Codeless Connector Framework),Amazon Web Services NetworkFirewall,amazon-web-services-networkfirewall-via-codeless-connector-framework,3,1,"AWSNetworkFirewallAlert, AWSNetworkFirewallTls",,2026-05-22 06:59 UTC
AzureKubernetes,Azure Kubernetes Service (AKS),Azure kubernetes Service,azure-kubernetes-service-aks,3,1,"ContainerInventory, KubeEvents",,2026-05-22 06:59 UTC
BigIDDSPMLogsConnectorDefinition,BigID DSPM connector,BigID,bigid-dspm-connector,2,1,BigIDDSPMAssetStore_CL,,2026-05-22 06:59 UTC
BitwardenEventLogs,Bitwarden Event Logs,Bitwarden,bitwarden-event-logs,3,1,"BitwardenEventLogs_CL, BitwardenGroups_CL, BitwardenMembers_CL",BitwardenEventLogs,2026-05-22 06:59 UTC
BoxEventsCCPDefinition,Box Events (via Codeless Connector Framework),Box,box-events-ccp,2,1,BoxEvents_CL,,2026-05-22 06:59 UTC
CiscoAsaAma,Cisco ASA/FTD via AMA,CiscoASA,cisco-asaftd-via-ama,2,1,Heartbeat,,2026-05-22 06:59 UTC
CiscoMeraki(usingRESTAPI),Cisco Meraki (using REST API),CiscoMeraki,cisco-meraki-using-rest-api,3,1,"CiscoMerakiNativePoller_CL, Syslog, meraki_CL",ASimNetworkSessionLogs,2026-05-22 06:59 UTC
CiscoMerakiMultiRule,Cisco Meraki (using REST API),Cisco Meraki Events via REST API,cisco-meraki-using-rest-api,3,1,"ASimAuditEventLogs, ASimWebSessionLogs",,2026-05-22 06:59 UTC
CiscoMerakiNativePoller,Cisco Meraki (using REST API),CiscoMeraki,cisco-meraki-using-rest-api,3,1,"CiscoMerakiNativePoller_CL, Syslog, meraki_CL",ASimNetworkSessionLogs,2026-05-22 06:59 UTC
CorelightConnectorExporter,Corelight Connector Exporter,Corelight,corelight-connector-exporter,108,1,"Corelight_CL, Corelight_v2_bacnet_CL, Corelight_v2_capture_loss_CL, Corelight_v2_cip_CL, Corelight_v2_conn_CL, Corelight_v2_conn_long_CL, Corelight_v2_conn_red_CL, Corelight_v2_corelight_burst_CL, Corelight_v2_corelight_overall_capture_loss_CL, Corelight_v2_corelight_profiling_CL, Corelight_v2_datared_CL, Corelight_v2_dce_rpc_CL, Corelight_v2_dga_CL, Corelight_v2_dhcp_CL, Corelight_v2_dnp3_CL, Corelight_v2_dns_CL, Corelight_v2_dns_red_CL, Corelight_v2_dpd_CL, Corelight_v2_encrypted_dns_CL, Corelight_v2_enip_CL, Corelight_v2_enip_debug_CL, Corelight_v2_enip_list_identity_CL, Corelight_v2_etc_viz_CL, Corelight_v2_files_CL, Corelight_v2_files_red_CL, Corelight_v2_ftp_CL, Corelight_v2_generic_dns_tunnels_CL, Corelight_v2_generic_icmp_tunnels_CL, Corelight_v2_http2_CL, Corelight_v2_http_CL, Corelight_v2_http_red_CL, Corelight_v2_icmp_specific_tunnels_CL, Corelight_v2_intel_CL, Corelight_v2_ipsec_CL, Corelight_v2_irc_CL, Corelight_v2_iso_cotp_CL, Corelight_v2_kerberos_CL, Corelight_v2_known_certs_CL, Corelight_v2_known_devices_CL, Corelight_v2_known_domains_CL, Corelight_v2_known_hosts_CL, Corelight_v2_known_names_CL, Corelight_v2_known_remotes_CL, Corelight_v2_known_services_CL, Corelight_v2_known_users_CL, Corelight_v2_local_subnets_CL, Corelight_v2_local_subnets_dj_CL, Corelight_v2_local_subnets_graphs_CL, Corelight_v2_log4shell_CL, Corelight_v2_modbus_CL, Corelight_v2_mqtt_connect_CL, Corelight_v2_mqtt_publish_CL, Corelight_v2_mqtt_subscribe_CL, Corelight_v2_mysql_CL, Corelight_v2_notice_CL, Corelight_v2_ntlm_CL, Corelight_v2_ntp_CL, Corelight_v2_ocsp_CL, Corelight_v2_openflow_CL, Corelight_v2_packet_filter_CL, Corelight_v2_pe_CL, Corelight_v2_profinet_CL, Corelight_v2_profinet_dce_rpc_CL, Corelight_v2_profinet_debug_CL, Corelight_v2_radius_CL, Corelight_v2_rdp_CL, Corelight_v2_reporter_CL, Corelight_v2_rfb_CL, Corelight_v2_s7comm_CL, Corelight_v2_signatures_CL, Corelight_v2_sip_CL, Corelight_v2_smartpcap_CL, Corelight_v2_smartpcap_stats_CL, Corelight_v2_smb_files_CL, Corelight_v2_smb_mapping_CL, Corelight_v2_smtp_CL, Corelight_v2_smtp_links_CL, Corelight_v2_snmp_CL, Corelight_v2_socks_CL, Corelight_v2_software_CL, Corelight_v2_specific_dns_tunnels_CL, Corelight_v2_ssh_CL, Corelight_v2_ssl_CL, Corelight_v2_ssl_red_CL, Corelight_v2_stats_CL, Corelight_v2_stepping_CL, Corelight_v2_stun_CL, Corelight_v2_stun_nat_CL, Corelight_v2_suricata_corelight_CL, Corelight_v2_suricata_eve_CL, Corelight_v2_suricata_stats_CL, Corelight_v2_suricata_zeek_stats_CL, Corelight_v2_syslog_CL, Corelight_v2_tds_CL, Corelight_v2_tds_rpc_CL, Corelight_v2_tds_sql_batch_CL, Corelight_v2_traceroute_CL, Corelight_v2_tunnel_CL, Corelight_v2_unknown_smartpcap_CL, Corelight_v2_util_stats_CL, Corelight_v2_vpn_CL, Corelight_v2_weird_CL, Corelight_v2_weird_red_CL, Corelight_v2_weird_stats_CL, Corelight_v2_wireguard_CL, Corelight_v2_x509_CL, Corelight_v2_x509_red_CL, Corelight_v2_zeek_doctor_CL",Corelight,2026-05-22 06:59 UTC
CortexXDRIncidents,Cortex XDR - Incidents,Cortex XDR,cortex-xdr---incidents,1,1,PaloAltoCortexXDR_Incidents_CL,CortexXDR_Incidents_CL,2026-05-22 06:59 UTC
Cribl,Cribl,Cribl,cribl,4,1,"CriblAccess_CL, CriblAudit_CL, CriblUIAccess_CL",,2026-05-22 06:59 UTC
CrowdStrikeAPIConnector,CrowdStrike API Data Connector (via Codeless Connector Framework),CrowdStrike Falcon Endpoint Protection,crowdstrike-api-data-connector-via-codeless-connector-framework,5,1,"CrowdStrikeCases, CrowdStrikeDetections, CrowdStrikeHosts, CrowdStrikeVulnerabilities",,2026-05-22 06:59 UTC
CrowdStrikeFalconAdversaryIntelligence,CrowdStrike Falcon Adversary Intelligence ,CrowdStrike Falcon Endpoint Protection,crowdstrike-falcon-adversary-intelligence--using-azure-functions,2,1,ThreatIntelObjects,,2026-05-22 06:59 UTC
CrowdStrikeFalconS3CCPDefinition,CrowdStrike Falcon Data Replicator (AWS S3) (via Codeless Connector Framework),CrowdStrike Falcon Endpoint Protection,crowdstrike-falcon-data-replicator-aws-s3-via-codeless-connector-framework,10,1,"CrowdStrike_Audit_Events_CL, CrowdStrike_Auth_Events_CL, CrowdStrike_DNS_Events_CL, CrowdStrike_File_Events_CL, CrowdStrike_Network_Events_CL, CrowdStrike_Process_Events_CL, CrowdStrike_Registry_Events_CL, CrowdStrike_Secondary_Data_CL, CrowdStrike_User_Events_CL",,2026-05-22 06:59 UTC
CrowdstrikeReplicatorv2,CrowdStrike Falcon Data Replicator (CrowdStrike Managed AWS-S3) (using Azure Function),CrowdStrike Falcon Endpoint Protection,crowdstrike-falcon-data-replicator-crowdstrike-managed-aws-s3-using-azure-functions,15,1,"ASimAuditEventLogs, ASimAuthenticationEventLogs, ASimAuthenticationEventLogs_CL, ASimDnsActivityLogs, ASimFileEventLogs, ASimFileEventLogs_CL, ASimNetworkSessionLogs, ASimProcessEventLogs, ASimProcessEventLogs_CL, ASimRegistryEventLogs, ASimRegistryEventLogs_CL, ASimUserManagementActivityLogs, ASimUserManagementLogs_CL, CrowdStrike_Additional_Events_CL, CrowdStrike_Secondary_Data_CL",CrowdStrikeReplicatorV2,2026-05-22 06:59 UTC
CTM360CBSConnectorDefinition,CTM360 CyberBlindSpot (Serverless),CTM360,ctm360-cyberblindspot-serverless,6,1,"CBS_BreachedCredentials_AzureV2_CL, CBS_CompromisedCards_AzureV2_CL, CBS_DomainInfringement_AzureV2_CL, CBS_MalwareLogs_AzureV2_CL, CBS_SubdomainInfringement_AzureV2_CL",,2026-05-22 06:59 UTC
Datalake2SentinelConnector,Datalake2Sentinel,Datalake2Sentinel,datalake2sentinel,2,1,"ThreatIntelIndicators, ThreatIntelObjects",ThreatIntelligenceIndicator,2026-05-22 06:59 UTC
DerdackSIGNL4,Derdack SIGNL4,SIGNL4,derdack-signl4,2,1,SIGNL4_CL,,2026-05-22 06:59 UTC
DruvaEventCCPDefinition,Druva Events Connector,DruvaDataSecurityCloud,druva-events-connector,3,1,"DruvaInsyncEvents_CL, DruvaPlatformEvents_CL",,2026-05-22 06:59 UTC
