Port,TCP,UDP,SCTP,DCCP,Description
0 ,Reserved ,Reserved , , ,In programming APIs (not in communication between hosts) - requests a system-allocated (dynamic) port
1 ,Yes ,Assigned , , ,TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA - but by design only TCP is specified.
5 ,Assigned ,Assigned , , ,Remote Job Entry was historically using socket 5 in its old socket form - while MIB PIM has identified it as TCP/5 and IANA has assigned both TCP and UDP 5 to it.
7 ,Yes ,Yes , , ,Echo Protocol
9 ,Yes ,Yes ,Yes , ,Discard Protocol
11 ,Yes ,Yes , , ,Active Users (systat service)
13 ,Yes ,Yes , , ,Daytime Protocol
15 ,Unofficial ,No , , ,Previously netstat service
17 ,Yes ,Yes , , ,Quote of the Day (QOTD)
18 ,Yes ,Yes , , ,Message Send Protocol
19 ,Yes ,Yes , , ,Character Generator Protocol (CHARGEN)
20 ,Yes ,Assigned ,Yes , ,File Transfer Protocol (FTP) data transfer
21 ,Yes ,Assigned ,Yes , ,File Transfer Protocol (FTP) control (command)
22 ,Yes ,Assigned ,Yes , ,Secure Shell (SSH) - secure logins - file transfers (scp - sftp) and port forwarding
23 ,Yes ,Assigned , , ,Telnet protocol—unencrypted text communications
25 ,Yes ,Assigned , , ,Simple Mail Transfer Protocol (SMTP) - used for email routing between mail servers
28 ,Unofficial , , , ,Palo Alto Networks Panorama High Availability (HA) sync encrypted port.
37 ,Yes ,Yes , , ,Time Protocol
42 ,Assigned ,Yes , , ,Host Name Server Protocol
43 ,Yes ,Assigned , , ,WHOIS protocol
47 ,Reserved ,Reserved , , ,
49 ,Yes ,Yes , , ,TACACS Login Host protocol.TACACS+ - still in draft which is an improved but distinct version of TACACS - only uses TCP 49.
51 ,Reserved ,Reserved , , ,Historically used for Interface Message Processor logical address management - entry has been removed by IANA on 2013-05-25
52 ,Assigned ,Assigned , , ,Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA - the service is meant to work on SPP (ancestor of IPX/SPX) - instead of TCP/IP.
53 ,Yes ,Yes , , ,Domain Name System (DNS)
54 ,Assigned ,Assigned , , ,Xerox Network Systems (XNS) Clearinghouse (Name Server). Despite this port being assigned by IANA - the service is meant to work on SPP (ancestor of IPX/SPX) - instead of TCP/IP.
56 ,Assigned ,Assigned , , ,Xerox Network Systems (XNS) Authentication Protocol. Despite this port being assigned by IANA - the service is meant to work on SPP (ancestor of IPX/SPX) - instead of TCP/IP.
58 ,Assigned ,Assigned , , ,Xerox Network Systems (XNS) Mail. Despite this port being assigned by IANA - the service is meant to work on SPP (ancestor of IPX/SPX) - instead of TCP/IP.
61 ,Reserved ,Reserved , , ,Historically assigned to the NIFTP-Based Mail protocol - but was never documented in the related IEN. The port number entry was removed from IANA's registry on 2017-05-18.
67 ,Assigned ,Yes , , ,Bootstrap Protocol (BOOTP) server; also used by Dynamic Host Configuration Protocol (DHCP)
68 ,Assigned ,Yes , , ,Bootstrap Protocol (BOOTP) client; also used by Dynamic Host Configuration Protocol (DHCP)
69 ,Assigned ,Yes , , ,Trivial File Transfer Protocol (TFTP)
70 ,Yes ,Assigned , , ,Gopher protocol
71 ,Yes ,Yes , , ,NETRJS protocol
72 ,Yes ,Yes , , ,NETRJS protocol
73 ,Yes ,Yes , , ,NETRJS protocol
74 ,Yes ,Yes , , ,NETRJS protocol
79 ,Yes ,Assigned , , ,Finger protocol
80 ,Yes ,Yes ,Yes , ,Hypertext Transfer Protocol (HTTP) uses TCP in versions 1.x and 2. HTTP/3 uses QUIC - a transport protocol on top of UDP.
81 ,Unofficial , , , ,TorPark onion routing
82 , ,Unofficial , , ,TorPark control
83 ,Yes ,Assigned , , ,MIT ML Device - networking file system
88 ,Yes ,Yes , , ,Kerberos authentication system
90 ,Unofficial ,Unofficial , , ,PointCast (dotcom)
95 ,Yes ,Assigned , , ,SUPDUP - terminal-independent remote login
101 ,Yes ,Assigned , , ,NIC host name
102 ,Yes ,Assigned , , ,ISO Transport Service Access Point (TSAP) Class 0 protocol
104 ,Yes ,Yes , , ,Digital Imaging and Communications in Medicine (DICOM; also port 11112)
105 ,Yes ,Yes , , ,CCSO Nameserver
106 ,Unofficial ,No , , ,macOS Server - (macOS) password server
107 ,Yes ,Yes , , ,Remote User Telnet Service (RTelnet)
108 ,Yes ,Yes , , ,IBM Systems Network Architecture (SNA) gateway access server
109 ,Yes ,Assigned , , ,Post Office Protocol - version 2 (POP2)
110 ,Yes ,Assigned , , ,Post Office Protocol - version 3 (POP3)
111 ,Yes ,Yes , , ,Open Network Computing Remote Procedure Call (ONC RPC - sometimes referred to as Sun RPC) - Ident - authentication service/identification protocol - used by IRC servers to identify users
113 ,Yes ,No , , ,Ident - authentication service/identification protocol - used by IRC servers to identify users - Authentication Service (auth) - the predecessor to identification protocol. Used to determine a user's identity of a particular TCP connection.
115 ,Yes ,Assigned , , ,Simple File Transfer Protocol
117 ,Yes ,Yes , , ,UUCP Mapping Project (path service)
118 ,Yes ,Yes , , ,Structured Query Language (SQL) Services
119 ,Yes ,Assigned , , ,Network News Transfer Protocol (NNTP) - retrieval of newsgroup messages
123 ,Assigned ,Yes , , ,Network Time Protocol (NTP) - used for time synchronization
126 ,Yes ,Yes , , ,Formerly Unisys Unitary Login - renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP - an IDE for Unisys MCP software development
135 ,Yes ,Yes , , ,DCE endpoint resolution - Microsoft EPMAP (End Point Mapper) - also known as DCE/RPC Locator service - used to remotely manage services including DHCP server - DNS server and WINS. Also used by DCOM
137 ,Yes ,Yes , , ,NetBIOS Name Service - used for name registration and resolution
138 ,Assigned ,Yes , , ,NetBIOS Datagram Service
139 ,Yes ,Assigned , , ,NetBIOS Session Service
143 ,Yes ,Assigned , , ,Internet Message Access Protocol (IMAP) - management of electronic mail messages on a server
152 ,Yes ,Yes , , ,Background File Transfer Program (BFTP)
153 ,Yes ,Yes , , ,Simple Gateway Monitoring Protocol (SGMP) - a protocol for remote inspection and alteration of gateway management information
156 ,Yes ,Yes , , ,Structured Query Language (SQL) Service
158 ,Yes ,Yes , , ,Distributed Mail System Protocol (DMSP - sometimes referred to as Pcmail)
161 ,Assigned ,Yes , , ,Simple Network Management Protocol (SNMP)
162 ,Yes ,Yes , , ,Simple Network Management Protocol Trap (SNMPTRAP)
170 ,Yes ,Yes , , ,Network PostScript print server
177 ,Yes ,Yes , , ,X Display Manager Control Protocol (XDMCP) - used for remote logins to an X Display Manager server
179 ,Yes ,Assigned ,Yes , ,Border Gateway Protocol (BGP) - used to exchange routing and reachability information among autonomous systems (AS) on the Internet
194 ,Yes ,Yes , , ,Internet Relay Chat (IRC)
199 ,Yes ,Yes , , ,SNMP Unix Multiplexer (SMUX)
201 ,Yes ,Yes , , ,AppleTalk Routing Maintenance
209 ,Yes ,Assigned , , ,Quick Mail Transfer Protocol
210 ,Yes ,Yes , , ,ANSI Z39.50
213 ,Yes ,Yes , , ,Internetwork Packet Exchange (IPX)
218 ,Yes ,Yes , , ,Message posting protocol (MPP)
220 ,Yes ,Yes , , ,Internet Message Access Protocol (IMAP) - version 3
225–241 ,Reserved ,Reserved , , ,
249–255 ,Reserved ,Reserved , , ,
259 ,Yes ,Yes , , ,Efficient Short Remote Operations (ESRO)
262 ,Yes ,Yes , , ,Arcisdms
264 ,Yes ,Yes , , ,Border Gateway Multicast Protocol (BGMP)
280 ,Yes ,Yes , , ,http-mgmt
300 ,Unofficial , , , ,ThinLinc Web Access
308 ,Yes , , , ,Novastor Online Backup
311 ,Yes ,Assigned , , ,macOS Server Admin (officially AppleShare IP Web administration)
312 ,Unofficial ,No , , ,macOS Xsan administration
318 ,Yes ,Yes , , ,PKIX Time Stamp Protocol (TSP)
319 , ,Yes , , ,Precision Time Protocol (PTP) event messages
320 , ,Yes , , ,Precision Time Protocol (PTP) general messages
350 ,Yes ,Yes , , ,Mapping of Airline Traffic over Internet Protocol (MATIP) type A
