sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2829086,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit landing page, which indicates an attempt to gain initial access to a victim's system through a public-facing application.",ext to int,,,,,,8,Malware,"The rule detects a successful landing page for the Magnitude exploit kit, indicating a high likelihood of compromise.","exploit,landing,javascript,magnitude"
2829087,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit landing page, indicating an initial access attempt via a compromised web application, which aligns with the tactics and techniques associated with gaining initial access.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a successful landing page of an exploit kit, indicating a high likelihood of compromise.","exploitkit,http,landing,client"
2025913,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects potential exploitation attempts through malvertising, indicating an initial access vector where users may be compromised via malicious web content.",int to ext,,,,,,8,Malvertising,"The rule detects a potential successful compromise through an exploit kit redirect, indicating active exploitation attempts targeting client endpoints.","malvertising,exploitkit,redirect,http"
2832475,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with an exploit kit landing page, indicating an attempt to gain initial access to a system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,8,Malware,"The rule detects a successful compromise through an exploit kit landing page, indicating an active threat to client endpoints.","exploit,kit,http,landing"
2024349,Initial Access,Initial Access,TA0001,Malicious Domain Name,T1071.001,"The rule detects a suspicious DNS request for a domain associated with malvertising, indicative of an initial access attempt by exploiting vulnerabilities in client endpoints.",ext to int,,,,,,4,Malvertising,"The rule detects a suspicious DNS request related to a known malvertising campaign, but does not indicate a successful compromise.","dns,exploit,malvertising,campaign"
2017068,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects attempts to exploit vulnerabilities in a web application using the Neutrino Exploit Kit, indicating an initial access attempt by an attacker.",int to ext,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a redirect to a known exploit kit, indicating a successful compromise that may lead to further exploitation.","exploit,redirect,http,kit"
2023401,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The RIG Exploit Kit is designed to compromise client systems through web-based exploits, which aligns with the Initial Access phase where attackers gain entry by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a potential successful exploitation attempt via the RIG Exploit Kit, which is known for delivering malware. Although it does not confirm a successful compromise, it suggests an active threat that warrants further investigation.","exploit,http,rig,landing,Exploit_kit_RIG**"
2028939,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit attempting to access a vulnerable web application, indicating an initial access attempt by an attacker.",int to ext,,,,,,7,Malware,"The rule detects traffic related to an exploit kit, indicating a successful compromise attempt on client endpoints, which poses a significant security risk.","exploit,tracking,http,capesand"
2028982,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts via an exploit kit, indicating an initial access phase where attackers may use vulnerabilities in public-facing applications to deliver malicious payloads.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a payload from the PurpleFox exploit kit, indicating a successful compromise of client endpoints, which is a significant threat.","exploit,payload,http,framework"
2839451,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects payloads from exploit kits, which are typically used to gain initial access to a system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,8,Malware,"The rule detects a successful payload delivery from an external exploit kit, indicating a potential compromise of client endpoints.","exploit,payload,http,kit"
