sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2101948,Discovery,Reconnaissance,TA0043,Domain Name System (DNS) Interactions,T1590,"The rule detects a DNS zone transfer attempt, which is typically used by attackers to gather information about a target's domain structure and associated hosts, fitting the Discovery phase.",ext to int,CVE-1999-0532,7/1/97 4:00,0,10,A DNS server allows zone transfers.,6,Data Breach,"The rule detects a DNS zone transfer attempt, which can indicate unauthorized access to DNS records, potentially leading to data exposure.","dns,zone,transfer,recon"
2101616,Discovery,Reconnaissance,TA0043,DNS Query,T1593,"The rule detects attempts to query DNS for version information, which is indicative of reconnaissance activities where an attacker gathers information about the target's network services.",ext to int,,,,,,3,Malware,"The rule detects an attempt to probe the DNS service for version information, which indicates reconnaissance activity but does not confirm a successful compromise.","dns,recon,attempt,version"
2100252,Discovery,Reconnaissance,TA0043,DNS Query,T1590.001,"The rule detects a DNS query attempt that indicates reconnaissance activity, where attackers may be probing the network to gather information about its structure and services.",ext to int,CVE-1999-0009,4/8/98 4:00,10,10,Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.,4,DNS Spoofing/Poisoning,"The rule detects an attempted reconnaissance using DNS, but does not indicate a successful compromise.","dns,recon,attempt,query"
2100256,Discovery,Reconnaissance,TA0043,DNS Interactions,T1592,"The rule indicates an attempted reconnaissance activity using DNS queries to gather information about the network, specifically targeting the DNS service, which aligns with the Discovery phase of the attack lifecycle.",ext to int,,,,,,3,Malware,"The rule detects a potential reconnaissance attempt using DNS, which does not indicate a successful compromise.","dns,recon,attempt,abuse"
2013894,Initial Access,Initial Access,TA0001,DNS Spoofing,T1071.001,"The rule detects excessive DNS responses, indicating a potential cache poisoning attempt which is often used for initial access by redirecting users to malicious sites.",any to int,,,,,,6,DNS Spoofing/Poisoning,"The rule detects a potential cache poisoning attempt, indicating a successful compromise in DNS resolution which can lead to further exploitation.","dns,anomaly,response,poisoning"
2814905,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects potential encrypted shell traffic over DNS, which is commonly used for command and control communications, indicating that the attacker may be attempting to maintain control over compromised systems.",any to int,,,,,,6,Command and Control (C2),"The rule detects potential encrypted tunneling over DNS, which can indicate a successful compromise or command and control communication setup.","dns,tunneling,encryption,anomaly"
2814906,Command and Control,Command and Control,TA0011,Application Layer Protocol: DNS,T1071.003,"The rule detects potentially malicious DNS traffic indicative of encrypted shells or tunnels, which are commonly used for command and control communications.",any to int,,,,,,4,Command and Control (C2),"The rule detects potential tunneling through DNS, which can be indicative of command and control activity, but does not confirm a successful compromise.","dns,tunneling,encryption,anomaly"
2814578,Command and Control,Command and Control,TA0011,Application Layer Protocol: DNS,T1071.001,"The rule detects encrypted shell tunnels using DNS, indicating a method of command and control where attackers leverage DNS for communication.",any to int,,,,,,7,Command and Control (C2),"The rule detects a potential encrypted shell tunnel, indicating a successful compromise with possible command and control activity.","dns,tunnel,encrypted,abuse"
2011802,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS lookups that may indicate an attacker is using DNS for command and control communication, particularly through the lookup of a localhost domain, which is often associated with malicious activity.",ext to int,,,,,,3,DNS Spoofing/Poisoning,The rule detects a DNS lookup for a specific domain but does not indicate a successful compromise.,"dns,lookup,abuse,localhost"
2014169,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries for a specific TLD (.su), which is often associated with malware and can indicate command and control communication.",ext to int,,,,,,3,Malware,"The rule detects DNS queries for a specific TLD often associated with malware, but does not indicate a successful compromise.","dns,malware,query,tld"
2023883,Initial Access,Initial Access,TA0001,Spear Phishing Link,T1566.002,"The rule detects DNS queries to potentially malicious top-level domains, which can be indicative of initial access attempts via phishing or other methods that leverage DNS to resolve harmful links.",ext to int,,,,,,3,Malware,"The rule detects DNS queries to a .top domain, which is often associated with malicious activity, but does not confirm a successful compromise.","dns,query,hostile,tld"
