TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"date_t [UTC]","asset_id_s","dst_ip_s","src_ip_s","trans_s","uid_s","service_s","new_status_s","risk_name_s","browser_s","host_s",Severity,"status_code_s","asset_asset_type_code_s","asset_id_g","asset_ip_s","asset_model_s","asset_name_s","asset_type_s","asset_type_code_s","client_ip_s","details_s","id_g","module_s","port_d","related_risks_s","server_ip_s","severity_s","timestamp_d","title_s",Type,"_ResourceId"
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:10:12.229 AM",,"10.10.220.135","10.10.96.151",TCP,"abade7ae-ea81-49f9-ad50-3c54beb9f76a_vEc7",,,,,,,,SWITCH,"7ced9ab0-d754-4d23-a175-55e65c5babff","10.10.220.135","Catalyst 2960S","2BonAir-C2960-192-SW-Data.maringeneral.o",Switch,SWITCH,"10.10.96.151","Source IP: 10.10.96.151, Port: 22","abade7ae-ea81-49f9-ad50-3c54beb9f76a",IDS,22,"[
  ""open_port_22""
]","10.10.220.135",Low,"1679784967.20368","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:10:12.182 AM",,"10.20.10.194","10.50.132.51",TCP,"72c70e13-c865-426f-a890-cee4e49eeaa1_2TjF",,,,,,,,SWITCH,"8e0d83c3-390c-4f33-b643-50389b1d6b86","10.20.10.194","Cisco Catalyst Switch","9Com-C3850-96-S1.maringeneral.org",Switch,SWITCH,"10.50.132.51","Source IP: 10.50.132.51, Port: 22","72c70e13-c865-426f-a890-cee4e49eeaa1",IDS,22,"[
  ""open_port_22""
]","10.20.10.194",Low,"1679784057.22115","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:10:11.494 AM",,"10.20.191.2","10.50.132.51",TCP,"4d929a98-af87-4040-b4e9-80f1c701c823_zPHT",,,,,,,,SWITCH,"da2bf764-b5ca-4c62-8bbe-7aeba04dcd33","10.20.191.2","Cisco Catalyst Switch","PRIMA-3850.maringeneral.org",Switch,SWITCH,"10.50.132.51","Source IP: 10.50.132.51, Port: 22","4d929a98-af87-4040-b4e9-80f1c701c823",IDS,22,"[
  ""open_port_22""
]","10.20.191.2",Low,"1679783907.22084","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:10:10.843 AM",,"10.20.10.194","10.10.96.151",TCP,"f31c3dda-f08e-4d89-92b8-29a760a846c8_gtvI",,,,,,,,SWITCH,"8e0d83c3-390c-4f33-b643-50389b1d6b86","10.20.10.194","Cisco Catalyst Switch","9Com-C3850-96-S1.maringeneral.org",Switch,SWITCH,"10.10.96.151","Source IP: 10.10.96.151, Port: 22","f31c3dda-f08e-4d89-92b8-29a760a846c8",IDS,22,"[
  ""open_port_22""
]","10.20.10.194",Low,"1679783552.21626","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:09:18.690 AM",,,,,"c058b4d9-0f64-4d25-b0e7-6c535021ca47_kNcO",,,,Firefox,"r3.o.lencr.org.x.799a6ce10f037048820836f0e5e73ee83d55.9270f751.id.opendns.com",,,PACS,"9edd7e38-420b-4630-857d-8fc6cf122104","10.10.141.126","McKesson Radiology 12.3","ALI_QUERY_SCP","PACS Server",PACS,"10.10.141.126","Browser: Firefox, Host: r3.o.lencr.org.x.799a6ce10f037048820836f0e5e73ee83d55.9270f751.id.opendns.com, IP: 146.112.247.81","c058b4d9-0f64-4d25-b0e7-6c535021ca47",IDS,80,"[
  ""web_browsing""
]","146.112.247.81",Medium,"1679779320.67634","Internet Browsing","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:09:16.629 AM",,"10.10.162.100","10.10.141.95",TCP,"152ebadb-8b36-4c0c-866f-c9bbfd6b0681_oPUc",,,,,,,,"WIRELESS_CONTROLLER","0c7d8040-7e44-4720-af7e-6564e388aae5","10.10.162.100","5520 Wireless Controller","MDF-1-WLC5520","Wireless Controller","WIRELESS_CONTROLLER","10.10.141.95","Source IP: 10.10.141.95, Port: 22","152ebadb-8b36-4c0c-866f-c9bbfd6b0681",IDS,22,"[
  ""open_port_22""
]","10.10.162.100",Low,"1679772672.20545","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:09:16.614 AM",,"10.10.162.150","10.10.141.95",TCP,"a2f623dd-d5ac-4439-b515-9f52faab5026_oehO",,,,,,,,"WIRELESS_CONTROLLER","38386ae7-574b-4a66-859f-0204ee0899fe","10.10.162.150","5520 Wireless Controller","MDF-1-WLC5520G","Wireless Controller","WIRELESS_CONTROLLER","10.10.141.95","Source IP: 10.10.141.95, Port: 22","a2f623dd-d5ac-4439-b515-9f52faab5026",IDS,22,"[
  ""open_port_22""
]","10.10.162.150",Low,"1679772552.22504","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:09:08.693 AM",,"10.10.145.26","10.10.141.95",TCP,"906baa53-da3e-4aa0-b83d-88094a067e6d_wcXP",,,,,,,,SWITCH,"63f72b58-a0f8-4a58-a02f-7b26e9fd4b82","10.10.145.26","Cisco Catalyst Switch","MHB-C3850-144-SW.maringeneral.org",Switch,SWITCH,"10.10.141.95","Source IP: 10.10.141.95, Port: 22","906baa53-da3e-4aa0-b83d-88094a067e6d",IDS,22,"[
  ""open_port_22""
]","10.10.145.26",Low,"1679770457.2094","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:09:08.690 AM",,"10.10.145.18","10.10.141.95",TCP,"d7fa37d9-e602-4394-a223-40a2f23a9ea9_wcXP",,,,,,,,SWITCH,"9eb7d56e-0e51-47c2-b53a-dda89d661e44","10.10.145.18","Cisco Catalyst Switch","Lobby-C3850-144-SW.maringeneral.org",Switch,SWITCH,"10.10.141.95","Source IP: 10.10.141.95, Port: 22","d7fa37d9-e602-4394-a223-40a2f23a9ea9",IDS,22,"[
  ""open_port_22""
]","10.10.145.18",Low,"1679770457.2094","SSH Connection","CynerioEvent_CL",
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"3/26/2023, 8:03:10.888 AM",,,"3/26/2023, 7:09:08.688 AM",,"10.10.236.129","10.10.141.95",TCP,"6ac74f1d-ea07-42b8-b24c-1884178afbe5_wcXP",,,,,,,,SWITCH,"83d04833-bc04-4e98-b2d7-8eab6c2700ad","10.10.236.129","Catalyst 3750X-24P-E","WS-C3750X-24P-E",Switch,SWITCH,"10.10.141.95","Source IP: 10.10.141.95, Port: 22","6ac74f1d-ea07-42b8-b24c-1884178afbe5",IDS,22,"[
  ""open_port_22""
]","10.10.236.129",Low,"1679770457.2094","SSH Connection","CynerioEvent_CL",
