ProductName,ConnectorType
PAN-OS,CEF
Fortigate,CEF
Blackberry CylancePROTECT,Syslog
Cisco Application Centric Infrastructure ,Syslog
Cisco Identity Services Engine,Syslog
Cisco Stealthwatch,Syslog
Cisco UCS,Syslog
Cisco Web Security Appliance,Syslog
Citrix ADC (former NetScaler),Syslog
Digital Guardian Data Loss Prevention,Syslog
Exabeam Advanced Analytics,Syslog
Forescout,Syslog
GitLab,Syslog
Infoblox NIOS,Syslog
ISC Bind,Syslog
Ivanti Unified Endpoint Management,Syslog
 uniper SRX,Syslog
McAfee ePolicy Orchestrator (ePO),Syslog
McAfee Network Security Platform,Syslog
OpenVPN Server,Syslog
Oracle Database Audit,Syslog
Pulse Connect Secure,Syslog
RSA SecurID (Authentication Manager),Syslog
Sophos XG Firewall,Syslog
Symantec Endpoint Protection,Syslog
Symantec VIP,Syslog
Syslog,Syslog
Microsoft Sysmon For Linux,Syslog
VMware ESXi,Syslog
Symantec ProxySG,Syslog
ESET PROTECT,Syslog
Barracuda CloudGen Firewall,Syslog
Nasuni Edge Appliance,Syslog
WatchGuard Firebox,Syslog
