ExternalIndicatorId,"TimeGenerated [UTC]",TenantId,SourceSystem,Action,ActivityGroupNames,AdditionalInformation,ApplicationId,AzureTenantId,ConfidenceScore,Description,DiamondModel,"ExpirationDateTime [UTC]",IndicatorId,ThreatType,Active,KillChainActions,KillChainC2,KillChainDelivery,KillChainExploitation,KillChainReconnaissance,KillChainWeaponization,KnownFalsePositives,MalwareNames,PassiveOnly,ThreatSeverity,Tags,TrafficLightProtocolLevel,EmailEncoding,EmailLanguage,EmailRecipient,EmailSenderAddress,EmailSenderName,EmailSourceDomain,EmailSourceIpAddress,EmailSubject,EmailXMailer,"FileCompileDateTime [UTC]","FileCreatedDateTime [UTC]",FileHashType,FileHashValue,FileMutexName,FileName,FilePacker,FilePath,FileSize,FileType,DomainName,NetworkIP,NetworkPort,NetworkDestinationAsn,NetworkDestinationCidrBlock,NetworkDestinationIP,NetworkCidrBlock,NetworkDestinationPort,NetworkProtocol,NetworkSourceAsn,NetworkSourceCidrBlock,NetworkSourceIP,NetworkSourcePort,Url,UserAgent,IndicatorProvider,Type
"indicator--f5b81ed4-941b-5aea-9fe0-017e3f41497d","8/28/2023, 7:11:43.902 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:01.000 AM",A7FD022FE4A4143137A9FF3447D89A174E8DE13C14D06575BD1B527EB8233B5F,Malware,true,,,,,,,,,,5,,red,,,,,,,"92.42.37.184",,,"8/28/2023, 6:32:03.000 AM",,SHA256,5EBCEC68EA40408B52E48EA18BE9E13A243E48E1F73C87F1F48351BDC168CF5D,,"Sequestration.html",,,11828,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--42203ab4-905b-5a78-bf18-c793eec22f33","8/28/2023, 7:11:43.926 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:04.000 AM",F39E2975DED11C21E82AE37FDFEEA83A20A34913218695E05481062B3A9DC149,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:35:14.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--50442156-8243-59eb-9880-7a7a4b3d02e3","8/28/2023, 7:11:43.950 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:06.000 AM",C8E35D0534FF7CA045DEE8A086F0A22C89E99E3BC292CDD0921AFE9B757CFD44,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:38:29.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--38773b62-7feb-5ebf-8fc6-3eddd58a43f4","8/28/2023, 7:11:43.974 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:07.000 AM",F68BD96C7232FD34D2BB2896D753231749F954DB6C7261A976EC34EC7889E875,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:40:09.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--750f4343-9e62-595f-bd0e-e59c4881b3e2","8/28/2023, 7:11:43.999 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:09.000 AM",31540C255C788D28C5C9B52AF932C990BF97CFD349A76429FA457F0D7DC67929,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:44:54.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--3c5f5b9a-9194-502b-8605-44ef2be9c828","8/28/2023, 7:11:43.889 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:00.000 AM",5C3F6F04F6DA280EB2BDB283CF89CE99077BF7B59989A6A14166D924542E3E2C,Malware,true,,,,,,,,,,5,,red,,,,,,,"94.131.2.87",,,"8/28/2023, 6:30:55.000 AM",,SHA256,51B0C8E05D094FA5505A91E38EBB7C4FD7A2651C650B6D359B750B2D57BA7D88,,"Eddie Lei-PO A4_053423G1.htm",,,46325,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--52a05416-7ec2-5516-93b8-f589938d4e0d","8/28/2023, 7:11:43.911 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:03.000 AM",D45A628E911576FC4B9AEA888D6C072EDF718C92969A3D03F63021640875BF9D,Malware,true,,,,,,,,,,5,,red,,,,,,,"193.109.120.87",,,"8/28/2023, 6:33:10.000 AM",,SHA256,DDC30B6FC7D8A9270453877B988B328E5D731D779774EFBE0C9ADC00054B0BF3,,"Scanned_Shipment_Arrival_Notice_Original_Cargo_Telex_Release_Order_2206055322061078220607197_BL_28_August_2023.tar",,,1264128,"application/x-tar",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--486de4e4-c8bb-53fa-92ad-9e4cf4282fbb","8/28/2023, 7:11:43.936 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:04.000 AM",67EE92D7CBDBFE075B4E232D246A6B1CECEB399CDD654381B90BD4184583BFA2,Malware,true,,,,,,,,,,5,,red,,,,,,,"94.131.2.87",,,"8/28/2023, 6:34:45.000 AM",,SHA256,EC539D6E926FB12A831F08CF4027534C7F7141D994F7EB54A4A3685943AF1DC9,,"Eddie Lei-PO A4_053423G1.htm",,,46328,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--292a37ec-85c1-56d5-8dfc-c231b5ab47b5","8/28/2023, 7:11:43.960 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:06.000 AM",87FC43559BD16EFE6C94BEC1160EFE03DB3D9AC117EFDAB7228210F793A1E30B,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:38:08.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--1db7c7eb-c23e-51fd-90d8-3332d6c4acf8","8/28/2023, 7:11:43.985 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:08.000 AM",DFF9C95AA0501AA0063D867464AD71DF82F2B5C0C2D364BC8F6BC3EEBFFC3139,Malware,true,,,,,,,,,,5,,red,,,,,,,"210.143.104.183",,,"8/28/2023, 6:42:40.000 AM",,SHA256,F7AFFA57B7792DF51CDBC521D5C176CA8E42A16B8E68244126DB5DB32C1E02B5,,"body.htm",,,3354,"text/plain",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
