TimeGenerated [UTC],EventProduct,Computer,EventType,EventSeverity,EventStartTime,SrcIpAddr,ClientIdentity,SrcUserName,HttpRequestMethod,UrlOriginal,HttpVersion,HttpStatusCode,HttpResponseBodyBytes,HttpReferrerOriginal,HttpUserAgentOriginal,ClassName,DvcAction,EventMessage,RawData
"2023-07-06, 12:58:42.533 a.m.",Tomcat,Server01,CatalinaLog,INFO,,,,,,,,,,,,,,Error parsing HTTP request header,"INFO: Error parsing HTTP request header"
"2023-07-06, 12:46:42.021 a.m.",Tomcat,Server01,CatalinaLog,INFO,,,,,,,,,,,,,,Error parsing HTTP request header,"INFO: Error parsing HTTP request header"
"2023-07-05, 10:27:17.257 p.m.",Tomcat,Server01,CatalinaLog,INFO,,,,,,,,,,,,,,Error parsing HTTP request header,"INFO: Error parsing HTTP request header"
"2023-07-05, 10:27:17.257 p.m.",Tomcat,Server01,CatalinaLog,INFO,,,,,,,,,,,,,,Error parsing HTTP request header,"INFO: Error parsing HTTP request header"
"2023-07-05, 6:03:21.720 p.m.",Tomcat,Server01,CatalinaLog,INFO,,,,,,,,,,,,,,Error parsing HTTP request header,"INFO: Error parsing HTTP request header"
"2023-07-06, 12:58:42.533 a.m.",Tomcat,Server01,CatalinaLog,,"2023-07-05, 6:58:01.000 a.m.",,,,,,,,,,,org.apache.coyote.http11.AbstractHttp11Processor,process,,"jul 05, 2023 6:58:01 PM org.apache.coyote.http11.AbstractHttp11Processor process"
"2023-07-06, 12:46:42.021 a.m.",Tomcat,Server01,CatalinaLog,,"2023-07-05, 6:46:03.000 a.m.",,,,,,,,,,,org.apache.coyote.http11.AbstractHttp11Processor,process,,"jul 05, 2023 6:46:03 PM org.apache.coyote.http11.AbstractHttp11Processor process"
"2023-07-05, 10:27:17.257 p.m.",Tomcat,Server01,CatalinaLog,,"2023-07-05, 4:26:45.000 a.m.",,,,,,,,,,,org.apache.coyote.http11.AbstractHttp11Processor,process,,"jul 05, 2023 4:26:45 PM org.apache.coyote.http11.AbstractHttp11Processor process"
"2023-07-05, 10:27:17.257 p.m.",Tomcat,Server01,CatalinaLog,,"2023-07-05, 4:26:45.000 a.m.",,,,,,,,,,,org.apache.coyote.http11.AbstractHttp11Processor,process,,"jul 05, 2023 4:26:45 PM org.apache.coyote.http11.AbstractHttp11Processor process"
"2023-07-05, 6:03:21.720 p.m.",Tomcat,Server01,CatalinaLog,,"2023-07-05, 12:00:57.000 p.m.",,,,,,,,,,,org.apache.coyote.http11.AbstractHttp11Processor,process,,"jul 05, 2023 12:00:57 PM org.apache.coyote.http11.AbstractHttp11Processor process"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:13:53.000 p.m.",10.23.10.31,-,-,POST,/TestPage/haloip/stop/archive.jsp,HTTP/1.1,200,"12693",,,,,,"10.23.10.31 - - [02/Aug/2023:20:13:53 -0600] ""POST /TestPage/haloip/stop/archive.jsp HTTP/1.1"" 200 12693"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:13:53.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:13:53 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:01.000 p.m.",10.23.10.31,-,-,POST,/TestPage/haloip/stop/scripted.jsp,HTTP/1.1,200,"10924",,,,,,"10.23.10.31 - - [02/Aug/2023:20:14:01 -0600] ""POST /TestPage/haloip/stop/scripted.jsp HTTP/1.1"" 200 10924"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:01.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:01 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:07.000 p.m.",10.23.10.165,-,-,GET,/TestPage/js/notaCredito.js?p=0.22723101846296478,HTTP/1.1,200,"5454",,,,,,"10.23.10.165 - - [02/Aug/2023:20:14:07 -0600] ""GET /TestPage/js/notaCredito.js?p=0.22723101846296478 HTTP/1.1"" 200 5454"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:07.000 p.m.",10.23.10.12,-,-,GET,/TestPage/css/nano.css,HTTP/1.1,404,"1037",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:07 -0600] ""GET /TestPage/css/nano.css HTTP/1.1"" 404 1037"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:07.000 p.m.",10.23.10.12,-,-,GET,/TestPage/js/hoverIntent.js?_=1691028848323,HTTP/1.1,404,"1037",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:07 -0600] ""GET /TestPage/js/hoverIntent.js?_=1691028848323 HTTP/1.1"" 404 1037"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:07.000 p.m.",10.23.10.145,-,-,GET,/TestPage/js/nano.js?_=1691028848324,HTTP/1.1,404,"1033",,,,,,"10.23.10.145 - - [02/Aug/2023:20:14:07 -0600] ""GET /TestPage/js/nano.js?_=1691028848324 HTTP/1.1"" 404 1033"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:31.000 p.m.",10.23.10.31,-,-,GET,/TestPage/haloip/stop/scripted.jsp,HTTP/1.1,200,"10239",,,,,,"10.23.10.31 - - [02/Aug/2023:20:14:31 -0600] ""GET /TestPage/haloip/stop/scripted.jsp HTTP/1.1"" 200 10239"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:31.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:31 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:32.000 p.m.",10.23.10.165,-,-,GET,/TestPage/haloip/stop/cargaZipCFDs.jsp,HTTP/1.1,200,"21543",,,,,,"10.23.10.165 - - [02/Aug/2023:20:14:32 -0600] ""GET /TestPage/haloip/stop/cargaZipCFDs.jsp HTTP/1.1"" 200 21543"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:32.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:32 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:41.000 p.m.",10.23.10.31,-,-,POST,/TestPage/haloip/stop/archive.jsp,HTTP/1.1,200,"12693",,,,,,"10.23.10.31 - - [02/Aug/2023:20:14:41 -0600] ""POST /TestPage/haloip/stop/archive.jsp HTTP/1.1"" 200 12693"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:41.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:41 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:45.000 p.m.",10.23.10.31,-,-,POST,/TestPage/haloip/stop/scripted.jsp,HTTP/1.1,200,"10924",,,,,,"10.23.10.31 - - [02/Aug/2023:20:14:45 -0600] ""POST /TestPage/haloip/stop/scripted.jsp HTTP/1.1"" 200 10924"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:45.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:45 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:47.000 p.m.",10.23.10.12,-,-,GET,/TestPage/css/nano.css,HTTP/1.1,404,"1037",,,,,,"10.23.10.12 - - [02/Aug/2023:20:14:47 -0600] ""GET /TestPage/css/nano.css HTTP/1.1"" 404 1037"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:47.000 p.m.",10.23.10.165,-,-,GET,/TestPage/js/notaCredito.js?p=0.047760955158204554,HTTP/1.1,200,"5454",,,,,,"10.23.10.165 - - [02/Aug/2023:20:14:47 -0600] ""GET /TestPage/js/notaCredito.js?p=0.047760955158204554 HTTP/1.1"" 200 5454"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:47.000 p.m.",10.23.10.165,-,-,GET,/TestPage/js/nano.js?_=1691028888059,HTTP/1.1,404,"1033",,,,,,"10.23.10.165 - - [02/Aug/2023:20:14:47 -0600] ""GET /TestPage/js/nano.js?_=1691028888059 HTTP/1.1"" 404 1033"
"2023-08-03, 2:15:05.927 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:14:47.000 p.m.",10.23.10.165,-,-,GET,/TestPage/js/hoverIntent.js?_=1691028888058,HTTP/1.1,404,"1037",,,,,,"10.23.10.165 - - [02/Aug/2023:20:14:47 -0600] ""GET /TestPage/js/hoverIntent.js?_=1691028888058 HTTP/1.1"" 404 1037"
