"TimeGenerated [UTC]",Description,"event_module",instanceId,"original_host",Platform,Severity,Version,JobSessionID,JobID,JobResult,JobResultMessage,JobType,JobTypeDescription,Allowance,SyslogMessage
"8/28/2025, 5:20:05.095 PM","Retry of Backup job 'lis-Backup Job 2' finished with Failed. Job details: Processing lis-l1-small-1","Veeam Backup & Replication",190,WIN2022,0,none,1,"7b6664d1-01ba-442a-a8ec-7ffb26167c74","a627f8a2-d826-4bc9-8efc-ed0e12a2bbab",2,Failed,0,"Backup Job",true,"[categoryId=0 instanceId=190 JobSessionID=""7b6664d1-01ba-442a-a8ec-7ffb26167c74"" JobID=""a627f8a2-d826-4bc9-8efc-ed0e12a2bbab"" JobResult=""2"" JobType=""0"" Platform=""0"" WillBeRetried=""True"" JobName=""lis-Backup Job 2"" SourceType=""2"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Retry of Backup job 'lis-Backup Job 2' finished with Failed. Job details: Processing lis-l1-small-1""]"
"8/28/2025, 5:20:44.932 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""755eb35e-1480-47d9-bfbc-17f452dec271"" OibID=""d807364e-91c1-447c-bf31-7a57f002d61e"" OriginalOibID=""d807364e-91c1-447c-bf31-7a57f002d61e"" CreationTime=""08/28/2025 17:19:33"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243849"" VmName=""lrsf522"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf522 task has finished with 'Success' state.""]"
"8/28/2025, 5:21:03.487 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""971c4e4f-5738-430b-b354-f87d4160908d"" OibID=""d4a35971-8097-427b-b83b-f3fe141e4895"" OriginalOibID=""d4a35971-8097-427b-b83b-f3fe141e4895"" CreationTime=""08/28/2025 17:19:52"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243826"" VmName=""lrsf499"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf499 task has finished with 'Success' state.""]"
"8/28/2025, 5:21:17.774 PM","Retry of Backup job 'bj2' finished with Failed. Job details: Virtual Machine Fake is unavailable and will be skipped from processing Nothing to process: all objects were excluded from the task list","Veeam Backup & Replication",190,VBR1231,0,none,1,"b73ab48f-0d9c-4438-9e09-51f8fa3c5fb2","af4f21e3-ef5a-4eaa-abf4-fffa2373bc59",2,Failed,0,"Backup Job",true,"[categoryId=0 instanceId=190 JobSessionID=""b73ab48f-0d9c-4438-9e09-51f8fa3c5fb2"" JobID=""af4f21e3-ef5a-4eaa-abf4-fffa2373bc59"" JobResult=""2"" JobType=""0"" Platform=""0"" WillBeRetried=""True"" JobName=""bj2"" SourceType=""2"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.2.3617"" Version=""1"" Description=""Retry of Backup job 'bj2' finished with Failed. Job details: Virtual Machine Fake is unavailable and will be skipped from processing Nothing to process: all objects were excluded from the task list""]"
"8/28/2025, 5:21:24.339 PM","periodic 20 minutes","Veeam Backup & Replication",151,WIN2022,11,none,1,"1d3c45fa-cada-4a5d-87e2-215d246479e2","2c58f16b-e37e-4823-8a57-4f3c2eeb52ba",0,Success,13000,"File Backup job",true,"[categoryId=0 instanceId=151 JobSessionID=""1d3c45fa-cada-4a5d-87e2-215d246479e2"" JobID=""2c58f16b-e37e-4823-8a57-4f3c2eeb52ba"" JobType=""13000"" TaskSessionID=""08da3996-13d9-427f-ad8d-a5f2c3a370da"" Status=""0"" JobDescription=""periodic 20 minutes"" SourceHostName=""\\win2022.n.local\f1"" SourceName=""\\win2022.n.local\f1"" TransferredGb=""0.000"" Platform=""11"" IsRetry=""False"" SourceType=""3"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Source '\\win2022.n.local\f1' task has finished with 'Success' state.""]"
"8/28/2025, 5:21:27.525 PM","Backup job 'nas job  scheduked' finished with Success. All objects have been backed up successfully.","Veeam Backup & Replication",190,WIN2022,11,none,1,"1d3c45fa-cada-4a5d-87e2-215d246479e2","2c58f16b-e37e-4823-8a57-4f3c2eeb52ba",0,Success,13000,"File Backup job",true,"[categoryId=0 instanceId=190 JobSessionID=""1d3c45fa-cada-4a5d-87e2-215d246479e2"" JobID=""2c58f16b-e37e-4823-8a57-4f3c2eeb52ba"" JobResult=""0"" JobType=""13000"" Platform=""11"" WillBeRetried=""False"" JobName=""nas job  scheduked"" SourceType=""3"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Backup job 'nas job  scheduked' finished with Success. All objects have been backed up successfully.""]"
"8/28/2025, 5:21:41.599 PM","Retry of Backup job 'Backup Job 7' finished with Failed. Job details: Virtual Machine vvg_fake_replica_cloud_vl is unavailable and will be skipped from processing Nothing to process: all objects were excluded from the task list","Veeam Backup & Replication",190,WIN2022,0,none,1,"4e06d635-3017-4fa1-9723-5271fba6ea45","10b75019-e3a4-4c92-87dc-0b7e9468149c",2,Failed,0,"Backup Job",true,"[categoryId=0 instanceId=190 JobSessionID=""4e06d635-3017-4fa1-9723-5271fba6ea45"" JobID=""10b75019-e3a4-4c92-87dc-0b7e9468149c"" JobResult=""2"" JobType=""0"" Platform=""0"" WillBeRetried=""True"" JobName=""Backup Job 7"" SourceType=""2"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Retry of Backup job 'Backup Job 7' finished with Failed. Job details: Virtual Machine vvg_fake_replica_cloud_vl is unavailable and will be skipped from processing Nothing to process: all objects were excluded from the task list""]"
"8/28/2025, 5:21:44.295 PM","Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ","Veeam Backup & Replication",490,WIN2022,11,none,1,"016d5a2a-04cc-47b9-8374-f26e136b2e47","c330aa4c-c701-4eb2-97f0-c4702604ef18",2,Failed,13003,"File Backup Copy Job",true,"[categoryId=0 instanceId=490 JobSessionID=""016d5a2a-04cc-47b9-8374-f26e136b2e47"" JobID=""c330aa4c-c701-4eb2-97f0-c4702604ef18"" JobResult=""2"" JobType=""13003"" Platform=""11"" WillBeRetried=""False"" JobName=""nas job  scheduked (Copy) 1"" SourceType=""5"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ""]"
"8/28/2025, 5:22:02.079 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""fe2f0fb9-80d1-4116-841c-fa7050a03492"" OibID=""4b52e467-b3f8-4a8b-a11d-fa9de5a3a004"" OriginalOibID=""4b52e467-b3f8-4a8b-a11d-fa9de5a3a004"" CreationTime=""08/28/2025 17:20:50"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243817"" VmName=""lrsf490"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf490 task has finished with 'Success' state.""]"
"8/28/2025, 5:22:05.836 PM","Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ","Veeam Backup & Replication",490,WIN2022,11,none,1,"b9201ac9-3ad2-4478-8da1-27db90f253e2","c330aa4c-c701-4eb2-97f0-c4702604ef18",2,Failed,13003,"File Backup Copy Job",true,"[categoryId=0 instanceId=490 JobSessionID=""b9201ac9-3ad2-4478-8da1-27db90f253e2"" JobID=""c330aa4c-c701-4eb2-97f0-c4702604ef18"" JobResult=""2"" JobType=""13003"" Platform=""11"" WillBeRetried=""False"" JobName=""nas job  scheduked (Copy) 1"" SourceType=""5"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ""]"
