"TimeGenerated [UTC]",Computer,user,Description,Result,SyslogMessage,instanceId
"8/27/2025, 3:08:02.631 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/27/2025, 3:13:26.732 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/27/2025, 5:00:22.248 PM",WIN2022,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/27/2025, 5:00:23.876 PM",VBR1231CLOUD,SYSTEM,"Configuration backup has been completed. Result: Warning.",Warning,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Configuration backup has been completed. Result: Warning.""]",40700
"8/27/2025, 5:00:24.886 PM",VBR12REPOSITORY,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>d858e28e-bed1-427b-b858-cc242278ca7a</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/27/2025, 5:00:25.402 PM",CLOUD12A,SYSTEM,"Configuration backup has been completed. Result: Warning.",Warning,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Configuration backup has been completed. Result: Warning.""]",40700
"8/28/2025, 12:55:05.832 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 3:08:48.397 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 3:14:17.398 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 3:21:19.489 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 3:45:38.108 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
