Alert,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Date
Suspicious PowerShell Command Line,1. Examine the PowerShell command line to understand what commands were executed. Note: the content may need to be decoded if it is Base64-encoded.,"2. Search the script for more indicators to investigate - for example IP addresses (potential C&C servers), target computers etc.",3. Explore the timeline of this and other related machines for additional suspect activities around the time of the alert.,4. Look for the process that invoked this PowerShell run and their origin. Consider submitting any suspect files in the chain for deep analysis for detailed behavior information.,5. Escalate and contact your incident response team for potential forensics analysis and remediation.,,,,,,,,,,,,,,,2/24/2021
An Anamolous Scheduled Task was Created,"1. Validate the alert, collect artifacts, and determine scope.",2. Inspect the file or URL/IP for suspicious characteristics – is it digitally signed? How prevalent is it? Where is it located? Do the domain registration and hosting history look normal?,3. Review the machine timeline for suspicious activities that may have occurred before and after the time of the alert.,4. Look for the presence of relevant artifacts on other systems. Identify commonalities and differences between potentially compromised systems.,5. Submit relevant files for deep analysis and review resulting detailed behavioral information.,6. If alert characteristics and machine behavioral evidence constitute a true positive escalate and contact your incident response team for potential forensic analysis and remediation or contact Microsoft support for investigation and remediation services.,,,,,,,,,,,,,,2/24/2021
Initiate containment & mitigation,1. Record all relevant artifacts to be used in mitigation rules and as new threat intel.,2. Contact the user to check if the observed behavior was intended.,3. Update AV signatures and run a full scan. The scan might reveal and remove previously-undetected malware components.,"4. Ensure that the machine has the latest security updates. In particular, ensure that you have installed the latest software, web browser, and Operating System versions.","5. If credential theft is suspected, reset all relevant users passwords.",6. Disconnect the machine from the network to prevent any threat attack progression.,7. Block communication with relevant URLs or IPs at the organization’s perimeter.,"8. If initial investigation confirms suspicions, escalate and contact your incident response team for forensic analysis or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,,2/24/2021
An Uncommon File was Created and Added to a Run Key,1. Examine the file in question. Do you recognize it?,2. Check the machine timeline for the machine in question. Do you see evidence of a breach?,3. Update AV signatures and run a full scan. This may uncover previously undetected indicators of compromise.,"4. If you determine this may be an attack, reset all relevant user passwords, disconnect the machine from the network to prevent any threat attack progression, escalate, and contact your incident response team for potential forensics analysis and remediation.",5. Work with your incident response team and Remove the registry key and file in question or contact Microsoft support for investigation and remediation services.,,,,,,,,,,,,,,,2/24/2021
PowerShell dropped a Suspicious File on the Machine,1. Investigate the machine timeline for any other indicators around the time of this alert.,"2. Validate contextual information about the relevant components such as file prevalence, other machines it was observed on etc.","3. Run a full malware scan on the machine, this may reveal additional related components.",4. Consider submitting the relevant file(s) for deep analysis for detailed behavioral information.,"5. If initial investigation confirms suspicions, escalate and contact your incident response team for forensic analysis or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,,,,,2/24/2021
Device tried to access a phishing site,1. Investigate the machine timeline for any other indicators around the time of this alert.,"2. Validate contextual information about the relevant components such as file prevalence, other machines it was observed on etc.","3. Run a full malware scan on the machine, this may reveal additional related components.",4. Consider submitting the relevant file(s) for deep analysis for detailed behavioral information.,"5. If initial investigation confirms suspicions, escalate and contact your incident response team for forensic analysis or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,,,,,2/24/2021
MDE detected malware,1. Validate the alert and scope the suspected breach.,"2. Find related machines, network addresses, and files in the incident graph.",3. Check for other suspicious activities in the machine timeline.,"4. Locate unfamiliar processes in the process tree. Check files for prevalence, their locations, and digital signatures.",5. Submit relevant files for deep analysis and review file behaviors.,6. Identify unusual system activity with system owners.,"7. If you have validated the alert, contain and mitigate the breach.","8. Record relevant artifacts, including those you need in mitigation rules.",9. Stop suspicious processes. Block prevalent malware files across the network.,10. Isolate affected machines.,"11. Identify potentially compromised accounts. If necessary, reset passwords and decommission accounts.","12. Block relevant emails, websites, and IP addresses. Remove attack emails from mailboxes.",13. Update antimalware signatures and run full scans.,14. Make sure the machine is completely updated and all your software has the latest patch.,"15. Deploy the latest security updates for Windows, web browsers, and other applications.","16. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services. NOTE: If you don’t have an incident response team, contact Microsoft Support for architectural remediation and forensic.",17. Aditional Actions to Consider - Install and run Microsoft’s Malicious Software Removal Tool (see https://www.microsoft.com/download/malicious-software-removal-tool-details.aspx),18. Aditional Actions to Consider - Run Microsoft’s Autoruns utility and try to identify unknown applications that are configured to run at login (see https://technet.microsoft.com/sysinternals/bb963902.aspx).,19. Aditional Actions to Consider - Run Process Explorer and try to identify unknown running processes (see https://technet.microsoft.com/sysinternals/bb896653.aspx).,2/24/2021
Internal Brute-Force Attack,1. Check with account owners to determine if the logon attempts were legitimate.,"2. Review processes responsible for the logon attempts. If the processes are unfamiliar and corresponding executables are not signed system files, submit the files for deep analysis and review detailed behavioral information from the analysis results.",3. Review the machine timeline for any suspicious activities that have occurred around the time of the alert. Identify and review other affected machines.,"4. If the attempts were malicious, review all successful attempts from the affected accounts. Contain and mitigate the breach—stop suspicious processes, isolate affected machines, decommission compromised accounts or reset their passwords, block IP addresses and URLs, and install security updates.","5. Escalate and contact your incident response team, or contact Microsoft support for forensic analysis and remediation services.",,,,,,,,,,,,,,,2/24/2021
Unusual sequence of failed logons,1. Validate and scope the alert.,2. Check the source of the failed logon attempts. Contact system and account owners to identify unexpected activity.​,3. Check other machines for suspicious network communications from the same location.,4. Check the timelines of all involved machines for other suspicious activities.​,"5. Check the process tree of all involved machines for unfamiliar processes. Check files for prevalence, their locations, and digital signatures.​",6. Submit relevant files for deep analysis and review file behaviors.,"​7. Contain and mitigate the breach. Stop suspicious processes, isolate affected machines, decommission compromised accounts or reset passwords, block IP addresses and URLs, and install security updates.​","8. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,,2/24/2021
Impossible Travel Activity,1. Validate and scope the alert.,2. Check the source of the failed logon attempts for the user. Contact system and account owners to identify unexpected activity.,3. Check the location where the performed failed sign in activities came from. Check whether they originated outside of the users standard login location and how long before a login was noticed from their normal location. Within how many minutes?,"4. Check If the IP addresses are known and safe, add them in the IP address range page to improve the accuracy of the alerts. Otherwise if Malicious, add them to the ThreatIntelligence as Indicators/IOCs.","5. Escalate and contact your incident response team, or contact Microsoft support for forensic analysis and remediation services.",,,,,,,,,,,,,,,2/24/2021
