"TimeGenerated [UTC]",name,etag,state,displayName,findingCount,aiSummary,findings,"audit_createTime [UTC]","audit_updateTime [UTC]","audit_creator","audit_updater","detail_detailType","detail_dataLeak_severity","detail_dataLeak_discoveryDocumentIds","detail_insiderThreat_severity","detail_insiderThreat_discoveryDocumentIds","detail_initialAccessBroker_severity","detail_initialAccessBroker_discoveryDocumentIds","relevanceAnalysis_relevant","relevanceAnalysis_relevanceLevel","relevanceAnalysis_confidence","relevanceAnalysis_reasoning","relevanceAnalysis_evidence_commonThemes","relevanceAnalysis_evidence_distinctThemes","severityAnalysis_severityLevel","severityAnalysis_confidence","severityAnalysis_reasoning","priorityAnalysis_priorityLevel","priorityAnalysis_reasoning",TenantId,Type,"_ResourceId"
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/9ba0047f-3fda-4bf0-b0f2-94f6d95cb057","W/""32-72e7d51957f027812e21ce590c2f5fb7dc13e9be14a9cb747bf9fa6a77eeac50""",TRIAGED,"Potential Initial Access Targeting California-based Engineering Firm",1,"A threat actor is auctioning network access to a California-based company in the 'Architecture, Engineering & Design' sector with a reported revenue of $22M. This finding is classified as **Low Relevance**; while the geographic location and the mention of 'Engineering' align with your operational profile, the specific industry focus and revenue figures suggest the target is likely a different entity. The link is considered circumstantial rather than a direct match.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/1abd66b3-e587-4429-a864-72c095adefd4""]","4/15/2026, 9:07:52.466 PM","5/27/2026, 10:03:54.369 AM",backend,"0x1000003a782a8:AEjPq6U2kWH0lH8oggljUKc_uK1lvoKBTOS3VtWIWAtMVw#","initial_access_broker",,,,,HIGH,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/9ba0047f-3fda-4bf0-b0f2-94f6d95cb057/documents/cb833e96-d279-434d-900d-212724f2018e""]",true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_MEDIUM","The threat actor is selling access to a California-based company (CA) in the 'Architecture, Engineering & Design' sector with $22M revenue. While Crest Data is headquartered in California and provides 'Product Engineering' services, the revenue and specific industry focus (IT/Cybersecurity vs. Architecture/Design) do not align perfectly. This is likely a weak inference targeting a different entity in a similar geographic region.","[""Location: California (CA)"",""Industry: Engineering""]","[""Industry: Architecture & Design (Crest Data is IT/Cybersecurity)"",""Revenue: $22M (Crest Data has 1,200+ employees, likely exceeding this revenue tier)""]","SEVERITY_LEVEL_HIGH","CONFIDENCE_LEVEL_HIGH","The actor claims access to two Domain Controllers (2DC), 20 hosts, and RDWeb access. This constitutes critical administrative access that would allow for full network compromise and ransomware deployment.","PRIORITY_LEVEL_LOW","Review this threat with low priority. While the access described is severe (Domain Admin), the victim profile more closely matches a traditional architecture or civil engineering firm rather than a high-scale IT services provider like Crest Data.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/1d209c7c-3cd5-41e2-bb84-7d0ea4a2c491","W/""32-0b6547510055cac60157f8ce3d9b70ba41dfba28dde8d12bff0f4ddf8660bfec""","FALSE_POSITIVE","Potential Threat to US IT Sector: Fraudulent Recruitment and Interview Impersonation Scheme",1,"A threat actor is organizing a fraudulent recruitment scheme targeting US-based software engineering roles, specifically seeking individuals to impersonate developers during live interviews to secure positions. This finding is classified as **Low Relevance**; while the threat actor does not explicitly name Crest Data, the scheme targets the US IT services sector and specifically mentions technologies within your stack, such as C#, AWS, GCP, and Azure. This represents a circumstantial industry-wide threat related to potential insider risk and recruitment fraud.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/3d9637f8-d269-4b4b-bd8b-a6a4a6d3a889""]","3/31/2026, 10:45:54.678 AM","5/27/2026, 10:10:39.854 AM",backend,"0x1000003a782a8:AEjPq6U2kWH0lH8oggljUKc_uK1lvoKBTOS3VtWIWAtMVw#","insider_threat",,,MEDIUM,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/1d209c7c-3cd5-41e2-bb84-7d0ea4a2c491/documents/49c5605a-7246-497f-9d0f-912d1f5fd684""]",,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","The artifact describes a fraudulent recruitment scheme targeting US-based software engineering roles, which aligns with your industry and geographic footprint. However, there is no mention of Crest Data, its subsidiaries, or its specific employees. This is a broad industry threat rather than a targeted attack.","[""Targets US-based software engineering roles"",""Matches tech stack: C#, AWS, GCP, Azure"",""Focuses on remote IT services""]","[""No mention of Crest Data"",""No mention of Neuwave"",""Generic recruitment fraud targeting any US company""]","SEVERITY_LEVEL_MEDIUM","CONFIDENCE_LEVEL_MEDIUM","The threat involves 'interview support' roles where actors use surrogates to secure engineering positions. If successful, this leads to unauthorized, unvetted individuals gaining internal access to corporate environments, source code, and cloud infrastructure (AWS/GCP). For a managed service provider like Crest Data, this poses a significant supply chain and data security risk.","PRIORITY_LEVEL_LOW","Review this threat as a general awareness item for your HR and recruitment teams. While not a direct attack on Crest Data, the scheme specifically targets the types of roles you hire for (CloudOps, AI, Full-stack). Ensure interview processes include robust identity verification to prevent fraudulent placements.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/3c25e064-b752-4b1b-a1ea-27553c355cf5","W/""32-a8a933c7542622e2d7610c96c0e66460e931c34d53e5812a8cd41779f119595f""",RESOLVED,"Potential Exposure via BreachForums Data Leak",1,"A threat actor group known as ShinyHunters has reportedly leaked a database containing approximately 340,000 user records from BreachForums, including email addresses and hashed passwords. This finding is classified as **Low Relevance**; while the post does not explicitly name your organization or its assets, it represents a circumstantial link to your profile as a cybersecurity and managed services provider whose employees may monitor underground forums for intelligence, potentially leading to the exposure of corporate credentials.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/6c77ec70-5083-4502-9e17-a067a60c744b""]","3/31/2026, 10:46:41.696 AM","5/27/2026, 10:14:42.427 AM",backend,"0x1000003a782a8:AEjPq6U2kWH0lH8oggljUKc_uK1lvoKBTOS3VtWIWAtMVw#","data_leak",MEDIUM,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/3c25e064-b752-4b1b-a1ea-27553c355cf5/documents/b52574ca-c0a8-41b7-9805-94deff2979be""]",,,,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","The artifact describes a massive data leak from BreachForums, a known cybercrime hub. While the leak contains 340,000 user records, there is no evidence that Crest Data was specifically targeted or that its corporate data is uniquely represented beyond the statistical likelihood of employees having personal accounts on the forum.","[""General relevance to cybersecurity firms whose employees may monitor underground forums.""]","[""No mention of Crest Data, its domains, or its executives."",""The victim is a third-party forum (BreachForums), not the Client.""]","SEVERITY_LEVEL_MEDIUM","CONFIDENCE_LEVEL_MEDIUM","The leak includes email addresses and Argon2-hashed passwords. While Argon2 is robust, the exposure of corporate email addresses used on a hacker forum increases the risk of targeted phishing and credential stuffing attacks against the Client's infrastructure.","PRIORITY_LEVEL_LOW","Review this threat as a secondary priority. The primary risk is the potential exposure of employee credentials if they used corporate emails to register on BreachForums. Monitor for any 'crestdata.ai' or 'crestdatasys.com' addresses within the leaked dataset to mitigate credential stuffing risks.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/30a502ef-a6a5-4fbe-ad67-537461fa73bd","W/""32-b76cbabec23866bef6ea2eaa00ee74137cba9b508de7e8eec3a677a5adf8a995""",BENIGN,"Massive Indian Identity Data Leak Impacting Regional Workforce",4,"A threat actor is distributing a 109GB dataset containing 850 million Indian identity records, including names, addresses, and Aadhaar numbers. Although Crest Data is not explicitly named as a victim, the scale of this leak poses a circumstantial risk to your 1,200+ employees based in Ahmedabad. This exposure increases the risk of credential stuffing, phishing, and social engineering attacks targeting your Indian workforce. We recommend advising employees in the region to remain vigilant against unsolicited communications and to monitor for unauthorized use of their identity documents.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/4b5161b2-5033-42ae-8430-2cbee08b1a39"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/91c8710d-0192-4445-bac9-5c9ce3bad63c"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/59e3ec23-d880-491a-b60a-01af33e835cd"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/b2347eee-b448-44db-8dd1-98178f119a85""]","5/22/2026, 10:28:25.353 PM","5/27/2026, 10:15:54.495 AM",backend,"0x1000003a782a8:AEjPq6U2kWH0lH8oggljUKc_uK1lvoKBTOS3VtWIWAtMVw#","data_leak",MEDIUM,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/30a502ef-a6a5-4fbe-ad67-537461fa73bd/documents/9829e501-1f7e-4997-ba2a-731effd57f86"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/30a502ef-a6a5-4fbe-ad67-537461fa73bd/documents/6eea052d-a728-43f8-a624-4fa77dcbab2f"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/30a502ef-a6a5-4fbe-ad67-537461fa73bd/documents/484e7c15-6021-43e5-91c2-5a449637cc9e"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/30a502ef-a6a5-4fbe-ad67-537461fa73bd/documents/700c17ff-5547-4977-90a9-cd1840624c45""]",,,,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","Findings such as 'Potential Exposure of Indian Workforce PII in Nationwide Data Leak' describe a massive breach of 850 million Indian identity records. While Crest Data is not the primary target, the leak's nationwide scope circumstantially impacts your significant workforce and operational centers in Ahmedabad.","[""Geographic overlap with Client's Indian offices in Ahmedabad"",""Data format (JSON) matches technology used by Client""]","[""No explicit mention of Crest Data"",""Target is a nationwide dataset, not a corporate entity""]","SEVERITY_LEVEL_HIGH","CONFIDENCE_LEVEL_HIGH","The leaked data includes highly sensitive PII and government identifiers like Aadhaar numbers. The exposure of such critical identity information for a region where you maintain a large employee base represents a high potential impact regarding identity theft and targeted social engineering.","PRIORITY_LEVEL_LOW","Review this threat as a lower priority compared to direct attacks. While the data sensitivity is high, the lack of specific targeting against Crest Data indicates this is a broad regional risk rather than a focused threat to your corporate assets.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/51c68f39-2b9d-4b91-bdc0-c9ca792311de","W/""32-2cd05f6b316e432424a9519cce0fb06bb76c5cea14ea1fba65edd8fecbc78486""",ESCALATED,"Massive Exposure of Indian Citizen PII and National Identity Data",1,"A threat actor is advertising a database from the 'Hitek syndicate' allegedly containing 850 million records of Indian citizens, including Aadhar numbers, physical addresses, and contact information. This finding is classified as **Low Relevance**; while your organization is not explicitly named or targeted, the massive scale of the exposure and your significant workforce in India create a circumstantial risk that employee personal identifiable information (PII) may be included in this dataset.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/e98b6572-25bb-463d-abf2-e3854d975400""]","5/20/2026, 8:23:54.380 AM","5/28/2026, 10:58:19.427 AM",backend,"0x1000003a782a8:AEjPq6Uw2eJu1D6sPg6aBDyLZUXp70kblhR8blmC05rd#","data_leak",MEDIUM,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/51c68f39-2b9d-4b91-bdc0-c9ca792311de/documents/aee3ae9f-eafc-46e3-ba45-005668c049ea""]",,,,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","Massive leak of 850 million Indian citizen records including Aadhar numbers and PII. While Crest Data is not the target, its significant presence in India (1,200+ engineers, multiple Ahmedabad offices) makes it statistically certain that employee PII is included in this national-scale exposure.","[""Geographic overlap with primary operations in India"",""Data types (Aadhar, Mobile, Email) match Indian employee profile""]","[""No direct mention of Crest Data"",""Target is a generic syndicate/national database"",""Sample data focuses on Airtel Delhi subscribers""]","SEVERITY_LEVEL_MEDIUM","CONFIDENCE_LEVEL_HIGH","Exposure of Aadhar numbers, mobile numbers, and full addresses enables high-fidelity social engineering and identity theft against Indian staff. However, this is a third-party/national leak, not a direct breach of corporate systems.","PRIORITY_LEVEL_LOW","Review this threat as part of general personnel security awareness; the high volume of exposed Indian PII increases the risk of targeted phishing against your India-based engineering teams.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/0516d6f8-d6b4-4102-8bac-2ce1374f034b","W/""32-245b1b5d37ed44ca0ce7b11081d7b40cda5faa35baa44da1a93968ad726300d4""","FALSE_POSITIVE","Circumstantial Supply Chain Risk via Vultr Infrastructure Data Leak",2,"A threat actor has published approximately 188,000 records allegedly stolen from Vultr, a global cloud infrastructure provider. While Crest Data is not explicitly identified in the leaked samples, the breach poses a circumstantial risk to your operations as a provider of CloudOps and managed SOC services. The exposure of infrastructure account details could potentially impact your sub-processors or clients who utilize Vultr for their technology stacks. You should monitor for any unauthorized access attempts or notifications from partners regarding this third-party exposure.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/fea3d43b-bbda-44ed-8228-35fbf1d4fc9c"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/3903f808-8f60-43e5-a650-15a4d2baf104""]","5/1/2026, 6:44:14.443 AM","5/28/2026, 11:15:50.516 AM",backend,"0x1000003a782a8:AEjPq6Uw2eJu1D6sPg6aBDyLZUXp70kblhR8blmC05rd#","data_leak",MEDIUM,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/0516d6f8-d6b4-4102-8bac-2ce1374f034b/documents/e6d2a053-0e10-44fd-a2d2-17d6270e2c25"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/0516d6f8-d6b4-4102-8bac-2ce1374f034b/documents/e870c747-4394-435d-890f-0d25480fa4ad""]",,,,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","The findings 'Potential Third-Party Data Exposure: Vultr Infrastructure Provider Leak' and 'Potential Threat to Cloud Infrastructure and Managed Service Providers' describe a leak from a cloud provider. While Crest Data is not explicitly named, the company's core business in CloudOps and managed services makes any major infrastructure provider leak a circumstantial supply chain concern.","[""Client operates in the Cloud Computing and Cybersecurity industry"",""Client utilizes multiple cloud infrastructure providers (AWS, GCP, Azure, DigitalOcean)""]","[""No explicit mention of 'Crest Data' or 'crestdata.ai' in the artifact sample"",""Vultr is not listed as a primary cloud provider in the Client profile""]","SEVERITY_LEVEL_MEDIUM","CONFIDENCE_LEVEL_MEDIUM","The leak involves 188,000 records of account information from a cloud infrastructure provider, which constitutes operational sensitivity for a firm managing client cloud environments.","PRIORITY_LEVEL_LOW","Review this threat only if time permits, as there is currently no evidence that your specific data or client environments were compromised in the Vultr leak.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/4c30a712-b31a-4f68-9b29-3051da552f27","W/""32-7068ee9afc34ad1d592d353c138bbf65433650d638dc447758d868b0bc1a5cf6""",ESCALATED,"Potential Initial Access Targeting US-Based Technology and Engineering Sector",1,"A threat actor is offering administrative access to a GitLab instance belonging to a US-based company with approximately $128 million in revenue and over 300 projects. This finding is classified as **Medium Relevance**; while your organization is not explicitly named, the technical infrastructure (GitLab), geographic location (USA), and scale of projects circumstantially align with your profile as a large-scale product engineering and technology solutions provider.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/0968d770-6389-404c-a64c-9b600a631f3e""]","5/27/2026, 9:03:28.797 PM","5/28/2026, 11:17:39.069 AM",backend,"0x1000003a782a8:AEjPq6U2kWH0lH8oggljUKc_uK1lvoKBTOS3VtWIWAtMVw#","initial_access_broker",,,,,HIGH,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/4c30a712-b31a-4f68-9b29-3051da552f27/documents/2d3b1b5a-764a-4d5d-9fc2-816aac874273""]",true,"RELEVANCE_LEVEL_MEDIUM","CONFIDENCE_LEVEL_MEDIUM","The artifact describes a US-based company with $128M in revenue, which aligns with the profile of a mid-sized technology firm like Crest Data (1,200+ employees). While there is no explicit name mention, the focus on GitLab access with 300+ projects is highly consistent with a product engineering and AI-first technology solutions provider.","[""Geography: USA"",""Infrastructure: GitLab (consistent with a software engineering firm)"",""Scale: 300+ projects aligns with a firm of 1,200+ engineers""]","[""No explicit mention of 'Crest Data' or 'crestdata.ai'"",""Revenue figure ($128M) is not explicitly confirmed in the provided profile""]","SEVERITY_LEVEL_HIGH","CONFIDENCE_LEVEL_HIGH","The actor is selling GitLab Admin access, which includes SSH keys, databases, tokens, APIs, and source code. For a company whose core business is product engineering and managed SOC services, this represents a total compromise of intellectual property and potential supply chain access to clients.","PRIORITY_LEVEL_MEDIUM","Treat this as a high-priority investigation. While the target is not explicitly named, the profile match is strong and the impact of a GitLab Admin compromise would be catastrophic to your engineering integrity and client trust.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/5a8523ce-97dd-4c78-971b-e481148876e1","W/""32-669e2e26beed97a3d0e0621b9be972269317a6aac73585b967c20dbc449203c7""",TRIAGED,"Potential Exposure in Large-Scale Global Corporate Data Auction",1,"A threat actor is auctioning a massive 170GB database containing hundreds of millions of credentials, including 10 million corporate records and 1.5 million records specifically targeting US business executives. This finding is classified as **Low Relevance**; while your organization is not explicitly named, the inclusion of a significant volume of US-based corporate and executive data aligns with your operational profile and geographic headquarters, suggesting a circumstantial risk of employee or stakeholder credential exposure.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/cf2ef69a-7381-4c11-b1ee-267024da8128""]","5/27/2026, 11:24:41.352 AM","5/28/2026, 11:22:51.441 AM",backend,"0x1000003a782a8:AEjPq6Uw2eJu1D6sPg6aBDyLZUXp70kblhR8blmC05rd#","data_leak",MEDIUM,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/5a8523ce-97dd-4c78-971b-e481148876e1/documents/50cb5381-553b-4093-b991-68d2b1c336b9""]",,,,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","The artifact is a massive, non-specific global data dump containing hundreds of millions of credentials and seed phrases. While it includes 10 million corporate records and 1.5 million US business elite records, there is no explicit mention of Crest Data, its domains, or its subsidiaries. Per the negative constraints, massive regional or global leaks without specific identifiers for the Client are classified as LOW relevance due to the statistical probability of employee or customer data being present in such a large volume.","[""Includes 10 million corporate mail:pass records"",""Includes 1.5 million US business elite records matching the Client's US headquarters location""]","[""No explicit mention of 'Crest Data'"",""No mention of 'crestdata.ai' or 'crestdatasys.com'"",""Artifact is a collection of public and private 'clouds' and 'logs' rather than a targeted breach""]","SEVERITY_LEVEL_MEDIUM","CONFIDENCE_LEVEL_MEDIUM","The leak contains high-sensitivity data types including corporate credentials and PII. If Client data is included, it could facilitate unauthorized access to corporate systems or targeted phishing against executives. However, the impact is indirect as the Client is not the primary target.","PRIORITY_LEVEL_LOW","Review this threat as part of general credential hygiene and monitoring. While the volume of data is significant, the lack of direct targeting suggests this is not an immediate threat to core operations. Monitor for any leaked credentials appearing in third-party breach notification services.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/51aa2506-34c4-4832-8eb5-4fd96515ccd3","W/""32-d293a5464b8fd9569f5cef214b999cc6130b6c169726239bce6926507ebf3f1f""",RESOLVED,"Potential Initial Access Targeting Cybersecurity Sector",1,"A threat actor is offering Root RCE and shell access to a Linux-based firewall belonging to a company in the DDoS protection space. This finding is classified as **Low Relevance** because while the target operates within the broader cybersecurity industry—aligning with your sector—the post does not explicitly name your organization and describes a specific service (DDoS protection) that is not your primary business focus.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/73827fc3-28a2-4bc6-a106-5e1e79434f5d""]","4/30/2026, 11:13:22.092 PM","5/28/2026, 11:29:40.313 AM",backend,"0x1000003a782a8:AEjPq6U2kWH0lH8oggljUKc_uK1lvoKBTOS3VtWIWAtMVw#","initial_access_broker",,,,,HIGH,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/51aa2506-34c4-4832-8eb5-4fd96515ccd3/documents/ef5c5eae-fd59-4a4b-8755-cdf920fd9b3a""]",true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_MEDIUM","The artifact targets a 'DDoS Protection Company,' which is a specific sub-sector of cybersecurity. While Crest Data provides cybersecurity and managed SOC services, it is primarily an AI-first product engineering firm rather than a dedicated DDoS protection provider. No specific identifiers (name, domain, or IP) link this access to your infrastructure.","[""Matches 'Cybersecurity' industry vertical""]","[""Crest Data is not primarily a 'DDoS Protection Company'"",""No mention of San Jose or India locations"",""No mention of Crest Data or Neuwave brands""]","SEVERITY_LEVEL_HIGH","CONFIDENCE_LEVEL_HIGH","The actor claims Root RCE and Shell access on a firewall. This represents critical access that would allow for full network compromise, traffic interception, and lateral movement if the victim were confirmed to be the Client.","PRIORITY_LEVEL_LOW","The threat is categorized as Low priority because the victim description does not closely match your primary business model as an engineering and AI services firm. However, given the high severity of Root firewall access, this should be monitored only if you have specific DDoS protection assets or subsidiaries that fit this description.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
"6/2/2026, 7:20:03.447 AM","projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7","W/""32-75359024d9d8208e95d116f867b61569d0ccc5daab1e8f3502fbf7d270e1e4ec""",NEW,"Circumstantial Exposure of Indian Workforce Data in Nationwide Identity Leak",8,"A threat actor is selling a massive dataset containing 850 million Indian identity records, including Aadhaar numbers, names, and contact details. Crest Data's significant operational presence in Ahmedabad, India, suggests that personal data belonging to your local employees or partners may be included in this exposure. While the organization is not the primary target, the scale of the leak presents a circumstantial risk to the privacy of your regional workforce.","[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/63fad441-7d55-458a-a182-c402d66265e7"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/04ba0d26-fe9f-4c88-8cb7-190a32165b00"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/2124561d-764c-4bab-aa06-fa17e4de94cb"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/ac644b65-c8fe-4852-9ce2-29b65892f013"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/7b9e6d6f-786f-476a-a8ef-bc297c305299"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/41c8b333-fa2a-4dd4-9515-6bf81ac7d99c"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/bcfc6a80-c063-4179-be46-75ceaf5ac5a8"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/findings/ab504350-20b3-4677-a4ee-492f6060f0d2""]","5/27/2026, 7:06:14.498 PM","5/29/2026, 6:02:27.855 AM",backend,backend,"data_leak",HIGH,"[""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/d69b50f1-df29-48b9-9dcb-5d5812923b3b"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/74642210-c3f4-430e-acf1-0869650eda38"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/fb420047-8530-4f8d-ab75-5627721fb7ff"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/64930fd2-3bca-4471-9f8a-dabab4889797"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/85922d24-7d1d-489e-a225-f6b602313f9a"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/4c3ce2e2-ad81-482e-ba7a-cb37cea11c67"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/0f6dfa25-aa65-4555-8fbc-03fe2d4bb365"",""projects/gti-22cd0410-38b6-45a8-a8b4-bf/alerts/7e4ed876-e620-4ec6-a022-d59bea38fbe7/documents/8ae425d0-09b6-4b55-87e6-a1549814f44b""]",,,,,true,"RELEVANCE_LEVEL_LOW","CONFIDENCE_LEVEL_HIGH","The findings describe a nationwide leak of 850 million Indian identity records. While Crest Data is not explicitly named, the company maintains a significant operational footprint and workforce in Ahmedabad, India, creating a circumstantial link to the personal data of local employees.","[""Geographic overlap with Client's Indian offices"",""Data format (JSON) matches Client's tech stack""]","[""No mention of Crest Data"",""No mention of Neuwave"",""Target is a national dataset, not a corporate entity""]","SEVERITY_LEVEL_HIGH","CONFIDENCE_LEVEL_HIGH","The leak involves highly sensitive PII, including Aadhaar numbers and contact details. Although this is a general data leak where the client is not the primary target, the potential exposure of a large portion of the regional workforce warrants a High severity rating based on the underlying findings.","PRIORITY_LEVEL_LOW","Review this threat as a circumstantial risk to your Indian workforce. While the data is highly sensitive, the lack of direct targeting against Crest Data suggests this is a broad regional issue rather than a focused attack on your core business operations.","ebded19b-9f3c-4b5e-84a1-452e8d2da011","RelevanceSystemAlerts_CL",
