"TimeGenerated [UTC]","used_queries","remaining_queries","query_limit","foundation_api_usage","ai_insights_usage","foundation_api_usage_used_queries","foundation_api_usage_remaining_queries","foundation_api_usage_query_limit","ai_insights_usage_used_queries","ai_insights_usage_remaining_queries","ai_insights_usage_query_limit",Type
"5/15/2025, 4:20:01.848 PM",937,99063,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 4:50:01.915 PM",949,99051,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 5:20:45.299 PM",961,99039,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 6:10:02.212 PM",981,99019,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 6:30:01.857 PM",989,99011,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 6:40:01.931 PM",993,99007,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 6:50:02.124 PM",997,99003,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 7:20:02.098 PM",1009,98991,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 8:50:01.956 PM",1046,98954,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 9:40:02.182 PM",1066,98934,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 10:20:01.982 PM",1082,98918,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 10:30:01.879 PM",1086,98914,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 11:10:02.008 PM",1102,98898,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/15/2025, 11:50:02.101 PM",1118,98882,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/16/2025, 12:20:01.907 AM",1131,98869,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/16/2025, 1:50:02.050 AM",1167,98833,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/16/2025, 3:20:10.625 AM",1203,98797,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/16/2025, 3:30:01.866 AM",1207,98793,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/16/2025, 4:30:02.027 AM",1231,98769,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
"5/16/2025, 5:20:02.037 AM",1251,98749,100000,,,16,0,0,0,0,0,"Cymru_Scout_Account_Usage_Data_CL"
