ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"actions_s",7,"System.String",string
"anomaly_score_d",8,"System.Double",real
"attachment_sha1s_s",9,"System.String",string
"direction_s",10,"System.String",string
"from_s",11,"System.String",string
"link_hosts_s",12,"System.String",string
"recipients_s",13,"System.String",string
"subject_s",14,"System.String",string
"timestamp_t",15,"System.DateTime",datetime
"uuid_s",16,"System.String",string
"cSensorID_s",17,"System.String",string
Category,18,"System.String",string
"compliance_b",19,"System.SByte",bool
"cSensor_b",20,"System.SByte",bool
"cSensorID_g",21,"System.String",string
"mac_s",22,"System.String",string
"startTime_s",23,"System.String",string
"endTime_s",24,"System.String",string
"blocked_b",25,"System.SByte",bool
"description_s",26,"System.String",string
"antigena_b",27,"System.SByte",bool
"deviceId_d",28,"System.Double",real
"externalId_g",29,"System.String",string
"identifier_s",30,"System.String",string
"activityId_s",31,"System.String",string
"groupingId_s",32,"System.String",string
"groupByActivity_b",33,"System.SByte",bool
"title_s",34,"System.String",string
"summary_s",35,"System.String",string
"summaryFirstSentence_s",36,"System.String",string
"newEvent_b",37,"System.SByte",bool
"currentGroup_s",38,"System.String",string
"groupPreviousGroups_s",39,"System.String",string
"groupScore_d",40,"System.Double",real
"groupCategory_s",41,"System.String",string
"bestDeviceName_s",42,"System.String",string
"sid_d",43,"System.Double",real
"tags_s",44,"System.String",string
"mitreTechniques_s",45,"System.String",string
"dtProduct_s",46,"System.String",string
"time_s",47,"System.String",string
"friendlyName_s",48,"System.String",string
"priority_code_d",49,"System.Double",real
"priority_s",50,"System.String",string
Severity,51,"System.Int32",int
"deviceIP_s",52,"System.String",string
"child_id_d",53,"System.Double",real
"ip_address_s",54,"System.String",string
"name_s",55,"System.String",string
"priority_d",56,"System.Double",real
"priority_level_s",57,"System.String",string
"alert_name_s",58,"System.String",string
"status_s",59,"System.String",string
Message,60,"System.String",string
"last_updated_d",61,"System.Double",real
"last_updated_status_d",62,"System.Double",real
"url_s",63,"System.String",string
"pid_d",64,"System.Double",real
"uuid_g",65,"System.String",string
"threatID_d",66,"System.Double",real
"breachTime_s",67,"System.String",string
"breachUrl_s",68,"System.String",string
"modelName_s",69,"System.String",string
"score_d",70,"System.Double",real
"hostname_s",71,"System.String",string
"typeLabel_s",72,"System.String",string
SourceIP,73,"System.String",string
"sourcePort_s",74,"System.String",string
"sourceMac_s",75,"System.String",string
"sourceHost_s",76,"System.String",string
"destIP_s",77,"System.String",string
"destPort_s",78,"System.String",string
"destHost_s",79,"System.String",string
"destMac_s",80,"System.String",string
"triggeredComponents_s",81,"System.String",string
"details_s",82,"System.String",string
"longitude_d",83,"System.Double",real
"latitude_d",84,"System.Double",real
Type,85,"System.String",string
"_ResourceId",86,"System.String",string
