TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"computerId_d","computerName_s","computerUuid_g","creationTime_t [UTC]","handled_d","id_d","moduleFirstSeenLocally_t [UTC]","moduleId_d","moduleLastExecutedLocally_t [UTC]","moduleLgAge_d","moduleLgPopularity_d","moduleLgReputation_d","moduleName_s","moduleSha1_s","moduleSignatureType_s","moduleSigner_s","priority_d","processCommandLine_s","processId_d","processPath_s","processUser_s","resolved_b","ruleName_s",Severity,"severityScore_d","threatName_s","threatUri_s","type_s","uuid_g","deepLink_s",Type,"_ResourceId"
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 10:40:12.774 AM",,,3,"azwin10vm.lab.local","763a89ef-f8dd-41a4-9b8c-0e3bf34437d5","12/7/2020, 10:31:25.000 AM",0,2371,"11/3/2020, 10:34:25.000 AM",10000000053,"12/7/2020, 10:32:00.000 AM",30,5,9,"collectguestlogs.exe",BCDA971AAA40B63A369DF8AB301FF7C2D10BE836,Trusted,"Microsoft Corporation",0,"-Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\e6810f7c-f423-4ee5-93ed-03e09552050b.zip",10000138491,"%WINDIR%\azure\guestagent_2.7.41491.993_2020-09-22_040544\","nt authority\system",false,"Potential credential dumping - Generic [F0436a]",2,61,,,RuleActivated,"e506e063-1747-4056-882d-f0a241a7cdba","https://eei.example.com/console/detection/2371","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 10:35:14.251 AM",,,13,"azdc01.lab.local","e6f28980-eae2-49d9-85f7-db30b7042931","12/7/2020, 10:29:37.000 AM",0,2370,"11/3/2020, 10:34:25.000 AM",10000000053,"12/7/2020, 10:29:59.000 AM",30,5,9,"collectguestlogs.exe",BCDA971AAA40B63A369DF8AB301FF7C2D10BE836,Trusted,"Microsoft Corporation",0,"-Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\d46d6205-6f22-4d97-a5b0-66613e2035d9.zip",10000138482,"%WINDIR%\azure\guestagent_2.7.41491.993_2020-09-09_152117\","nt authority\system",false,"Potential credential dumping - Generic [F0436a]",2,61,,,RuleActivated,"4a5f4cbc-fa07-4276-9008-c1fb9af11e0a","https://eei.example.com/console/detection/2370","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 10:35:12.428 AM",,,10,"eei663777.lab.local","cd3814d2-ec00-4a43-8da2-652df3491c6f","12/7/2020, 10:30:10.000 AM",7,2369,"12/4/2020, 11:03:40.000 AM",10000013106,"12/7/2020, 10:34:29.000 AM",8,2,9,"eiserver.exe",60F44FA98987708C7346CE97D59FD74F13FCCE55,Trusted,"""ESET, spol. s r.o.""",0,,10000132027,"%PROGRAMFILES%\eset\enterprise inspector server\","nt authority\system",true,,2,60,"Incoming.Attack.Generic",,FirewallDetection,"e48ce836-79e4-6049-a1ba-d88a7778532d","https://eei.example.com/console/detection/2369","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 10:30:14.413 AM",,,10,"eei663777.lab.local","cd3814d2-ec00-4a43-8da2-652df3491c6f","12/7/2020, 10:29:08.000 AM",7,2368,"12/4/2020, 11:03:40.000 AM",10000013106,"12/7/2020, 10:30:10.000 AM",8,2,9,"eiserver.exe",60F44FA98987708C7346CE97D59FD74F13FCCE55,Trusted,"""ESET, spol. s r.o.""",0,,10000132027,"%PROGRAMFILES%\eset\enterprise inspector server\","nt authority\system",false,,2,60,"Incoming.Attack.Generic",,FirewallDetection,"f76fb6ce-d840-ed4b-5a84-351890e97f95","https://eei.example.com/console/detection/2368","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 10:30:12.848 AM",,,7,"azwin10-02.lab.local","8737171e-408a-4b82-a006-a31a3c51c368","12/7/2020, 10:26:40.000 AM",0,2367,"11/3/2020, 10:34:25.000 AM",10000000053,"12/7/2020, 10:26:40.000 AM",30,5,9,"collectguestlogs.exe",BCDA971AAA40B63A369DF8AB301FF7C2D10BE836,Trusted,"Microsoft Corporation",0,"-Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\2e79f464-83e6-4943-95a6-605ff147b386.zip",10000138475,"%WINDIR%\azure\guestagent_2.7.41491.993_2020-09-21_140216\","nt authority\system",false,"Potential credential dumping - Generic [F0436a]",2,61,,,RuleActivated,"5b689633-7311-4806-969c-63499f70d87b","https://eei.example.com/console/detection/2367","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 10:00:05.578 AM",,,10,"eei663777.lab.local","cd3814d2-ec00-4a43-8da2-652df3491c6f","12/7/2020, 9:55:36.000 AM",7,2366,"12/4/2020, 11:03:40.000 AM",10000013106,"12/7/2020, 9:55:36.000 AM",8,2,9,"eiserver.exe",60F44FA98987708C7346CE97D59FD74F13FCCE55,Trusted,"""ESET, spol. s r.o.""",0,,10000132027,"%PROGRAMFILES%\eset\enterprise inspector server\","nt authority\system",true,,2,60,"Incoming.Attack.Generic",,FirewallDetection,"26d2fd7e-6be1-9847-38af-62f4b01c3ec3","https://eei.example.com/console/detection/2366","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 9:30:33.655 AM",,,3,"azwin10vm.lab.local","763a89ef-f8dd-41a4-9b8c-0e3bf34437d5","12/7/2020, 9:29:54.000 AM",0,2365,"11/3/2020, 10:34:25.000 AM",10000000053,"12/7/2020, 9:29:54.000 AM",30,5,9,"collectguestlogs.exe",BCDA971AAA40B63A369DF8AB301FF7C2D10BE836,Trusted,"Microsoft Corporation",0,"-Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\e6810f7c-f423-4ee5-93ed-03e09552050b.zip",10000138411,"%WINDIR%\azure\guestagent_2.7.41491.993_2020-09-22_040544\","nt authority\system",false,"Potential credential dumping - Generic [F0436a]",2,61,,,RuleActivated,"5ea2aecd-ba89-415f-a985-1df8f993152b","https://eei.example.com/console/detection/2365","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 9:30:29.757 AM",,,13,"azdc01.lab.local","e6f28980-eae2-49d9-85f7-db30b7042931","12/7/2020, 9:28:11.000 AM",0,2364,"11/3/2020, 10:34:25.000 AM",10000000053,"12/7/2020, 9:29:54.000 AM",30,5,9,"collectguestlogs.exe",BCDA971AAA40B63A369DF8AB301FF7C2D10BE836,Trusted,"Microsoft Corporation",0,"-Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\d46d6205-6f22-4d97-a5b0-66613e2035d9.zip",10000138405,"%WINDIR%\azure\guestagent_2.7.41491.993_2020-09-09_152117\","nt authority\system",false,"Potential credential dumping - Generic [F0436a]",2,61,,,RuleActivated,"2a4d117f-0810-4d27-8b7e-32f5ddd2ce41","https://eei.example.com/console/detection/2364","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 9:30:34.625 AM",,,10,"eei663777.lab.local","cd3814d2-ec00-4a43-8da2-652df3491c6f","12/7/2020, 9:30:13.000 AM",7,2363,"12/4/2020, 11:03:40.000 AM",10000013106,"12/7/2020, 9:30:13.000 AM",8,2,9,"eiserver.exe",60F44FA98987708C7346CE97D59FD74F13FCCE55,Trusted,"""ESET, spol. s r.o.""",0,,10000132027,"%PROGRAMFILES%\eset\enterprise inspector server\","nt authority\system",false,,2,60,"Incoming.Attack.Generic",,FirewallDetection,"83fcfde1-b35c-7f49-7483-356b56c53249","https://eei.example.com/console/detection/2363","ESETInspect_CL",
"7bdecb7b-0545-4aa9-bd6b-f7eb05fee857",RestAPI,,,"12/7/2020, 9:30:36.932 AM",,,7,"azwin10-02.lab.local","8737171e-408a-4b82-a006-a31a3c51c368","12/7/2020, 9:25:28.000 AM",0,2362,"11/3/2020, 10:34:25.000 AM",10000000053,"12/7/2020, 9:29:54.000 AM",30,5,9,"collectguestlogs.exe",BCDA971AAA40B63A369DF8AB301FF7C2D10BE836,Trusted,"Microsoft Corporation",0,"-Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\2e79f464-83e6-4943-95a6-605ff147b386.zip",10000138395,"%WINDIR%\azure\guestagent_2.7.41491.993_2020-09-21_140216\","nt authority\system",false,"Potential credential dumping - Generic [F0436a]",2,61,,,RuleActivated,"05e9c1a2-5679-48b0-ac3c-1f7e1624892f","https://eei.example.com/console/detection/2362","ESETInspect_CL",
