TimeGenerated [UTC],proto_d,proto_text_s,local_ip_s,local_min_port_d,local_max_port_d,local_country_codes_s,local_as_info_s,local_tags_s,local_unique_ports_d,local_top_services_s,peer_ip_s,peer_min_port_d,peer_max_port_d,peer_country_codes_s,peer_as_info_s,peer_tags_s,peer_unique_ports_d,peer_top_services_s,event_count_d,first_seen_s,last_seen_s,ip_s,start_date_s,end_date_s,Type
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.2,55262,60230,"[""IT""]","[{""asn"":206476,""as_name"":""IPTECHNOLOGY, IT""}]",,2767,"[{""service_name"":"""",""port"":60230,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60229,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60228,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60222,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60221,""proto_number"":6,""description"":""""}]",5536,2024-06-20,2024-06-21,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.3,49160,65533,"[""SE""]","[{""asn"":57630,""as_name"":""AS-84GRAMS 84 Grams AB, SE""}]",,4606,"[{""service_name"":"""",""port"":65533,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":65530,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":65527,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":65519,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":65518,""proto_number"":6,""description"":""""}]",5418,2024-06-17,2024-06-20,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",1,ICMP,1.1.1.1,0,0,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",2.2.2.4,0,0,"[""BR""]","[{""asn"":262954,""as_name"":""VirtuaServer Informatica Ltda, BR""}]",,1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",4032,2024-06-17,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.5,32796,60964,"[""US""]","[{""asn"":701,""as_name"":""UUNET, US""}]","[{""id"":814,""name"":""residential"",""children"":[{""id"":816,""name"":""verizon"",""children"":null}]},{""id"":6,""name"":""proxy"",""children"":null}]",1218,"[{""service_name"":"""",""port"":60964,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60952,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60940,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60926,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60916,""proto_number"":6,""description"":""""}]",2436,2024-07-08,2024-07-08,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,443,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,"[{""service_name"":""https"",""port"":443,""proto_number"":6,""description"":""http protocol over TLS/SSL""},{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.6,32768,60982,"[""BR""]","[{""asn"":262954,""as_name"":""VirtuaServer Informatica Ltda, BR""}]",,1839,"[{""service_name"":"""",""port"":60982,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60952,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60944,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60920,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60890,""proto_number"":6,""description"":""""}]",2000,2024-06-17,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.7,13135,25199,"[""AT""]","[{""asn"":50782,""as_name"":""COSYS, AT""}]",,180,"[{""service_name"":"""",""port"":25199,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":25198,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":25197,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":25196,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":25194,""proto_number"":6,""description"":""""}]",646,2024-06-20,2024-07-09,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",1,ICMP,1.1.1.1,2048,2048,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":"""",""port"":2048,""proto_number"":1,""description"":""""}]",2.2.2.8,0,0,"[""BR""]","[{""asn"":53066,""as_name"":""VETORIALNET INF. E SERVICOS DE INTERNET LTDA, BR""}]","[{""id"":177,""name"":""vpn"",""children"":[{""id"":903,""name"":""ipsec"",""children"":null}]}]",1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",165,2024-07-02,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.9,32884,60987,"[""IN""]","[{""asn"":24309,""as_name"":""CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA, IN""}]",,125,"[{""service_name"":"""",""port"":60987,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60513,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60509,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":60450,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":59850,""proto_number"":6,""description"":""""}]",125,2024-06-17,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.10,32786,59850,"[""GE""]","[{""asn"":29289,""as_name"":""GTU, GE""}]",,57,"[{""service_name"":"""",""port"":59850,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":59276,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":58930,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":58586,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":58004,""proto_number"":6,""description"":""""}]",122,2024-06-17,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.11,50113,64614,"[""ES""]","[{""asn"":766,""as_name"":""REDIRIS RedIRIS Autonomous System, ES""}]",,106,"[{""service_name"":"""",""port"":64614,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":64588,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":64047,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":63978,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":63865,""proto_number"":6,""description"":""""}]",109,2024-07-12,2024-07-12,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
