TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,changer_s,userComment_s,eventsNotBlockedCount_s,InfobloxInsightLogType_s,hello_s,tClass_s,tFamily_s,insightId_g,feedSource_s,startedAt_t [UTC],threatType_s,status_s,persistentDate_t [UTC],numEvents_s,mostRecentAt_t [UTC],eventsBlockedCount_s,dateChanged_t [UTC],priorityText_s,Type,_ResourceId
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.231 AM",,,email@infoblox.com,comment,80,Insight,,Suspicious,EmergentDomain,7c59e278-2f46-4e46-b0ee-50c9e39ea057,"Insight Detection Framework, suspicious-noed","7/7/2023, 6:00:00.000 PM",Outlier,Active,"6/2/2023, 11:00:00.000 PM",108,"3/7/2024, 4:40:32.661 AM",44,"2/22/2024, 11:59:34.589 AM",CRITICAL,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.231 AM",,,,,3,Insight,,MalwareDownload,Generic,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,AntiMalware,"5/10/2023, 2:00:00.000 PM",MalwareDownload,Active,"4/12/2023, 5:00:00.000 PM",84,"3/7/2024, 4:54:42.893 AM",84,"5/10/2023, 3:06:32.763 PM",CRITICAL,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.434 AM",,,,,,Insight,,Phishing,Lookalike,a9306716-8b84-4569-987e-d97cfd1fe03e,"AntiMalware, suspicious-lookalikes","5/13/2023, 2:00:00.000 AM",Phishing,Active,"4/23/2023, 1:00:00.000 AM",122,"3/7/2024, 4:55:27.872 AM",122,"5/13/2023, 6:01:26.916 AM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.434 AM",,,,,10,Insight,,Suspicious,Generic,21239b70-07c3-4996-a8fe-01689cd763f0,Suspicious_Domains,"2/12/2024, 11:00:00.000 PM",Suspicious,Active,"2/12/2024, 5:00:00.000 PM",86,"3/7/2024, 4:49:04.728 AM",86,"2/17/2024, 6:02:39.167 PM",CRITICAL,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.434 AM",,,,,2001,Insight,,TI-BOTNET,QTYPEANY,1b629deb-f90a-4ac9-9dcb-3f04fc5b12ed,Insight Detection Framework,"7/21/2023, 4:00:00.000 PM",Botnet Discovery,Active,"1/4/2024, 12:00:00.000 AM",2001,"2/9/2024, 12:01:00.000 AM",,"2/9/2024, 1:05:28.354 AM",HIGH,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.434 AM",,,,,1,Insight,,Suspicious,DGA,0a284717-2645-48d0-af6b-ec14b9e81ed4,Suspicious_Domains,"2/13/2024, 3:00:00.000 PM",Suspicious,Active,"2/12/2024, 6:00:00.000 PM",30,"3/7/2024, 3:39:50.719 AM",30,"2/17/2024, 8:06:14.271 PM",CRITICAL,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.434 AM",,,,,,Insight,,MalwareC2DGA,Ranbyus,6c497ce1-1ff9-45ab-86ac-a065fd6c7747,Malware_DGA,"2/10/2024, 12:00:00.000 PM",MalwareC2DGA,Active,"2/10/2024, 11:00:00.000 AM",6,"3/1/2024, 3:15:19.756 AM",6,"2/29/2024, 12:08:36.939 PM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.434 AM",,,,,,Insight,,Suspicious,Phishing,3b806343-1a9c-4dac-b7ae-453b0b08d4de,Suspicious_Domains,"2/13/2024, 7:00:00.000 AM",Suspicious,Active,"2/13/2024, 3:00:00.000 AM",54,"3/7/2024, 4:40:08.354 AM",54,"2/18/2024, 2:07:29.262 PM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.465 AM",,,,,27,Insight,,TI-CONFIGURATIONISSUE,OPENRESOLVER,d4e9a1d4-7dcd-404a-99f2-2862d633bf8f,Insight Detection Framework,"7/21/2023, 4:00:00.000 PM",Open Resolver,Active,"1/4/2024, 12:00:00.000 AM",27,"2/27/2024, 2:58:24.000 PM",,"2/9/2024, 1:05:28.400 AM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.454 AM",,,,,6004,Insight,,TI-BOTNET,NXDOMAIN,488185d2-3048-4555-9c31-76eb35c99b75,Insight Detection Framework,"7/26/2023, 8:00:00.000 AM",Botnet Discovery,Active,"1/4/2024, 12:00:00.000 AM",6004,"2/9/2024, 12:01:30.000 AM",,"2/9/2024, 1:05:28.317 AM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.454 AM",,,email@infoblox.com,this is a new comment,,Insight,,Lookalike,Phishing,3fff8511-3b04-4809-946a-536ff6306e5e,Insight Detection Framework,"9/23/2023, 8:00:00.000 AM",Lookalike Threat,Active,"9/23/2023, 12:00:00.000 AM",32,"3/3/2024, 11:26:37.000 PM",32,"2/16/2024, 4:26:29.180 AM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.454 AM",,,,,,Insight,,MalwareC2DGA,Suppobox,cd8fd6a3-1abb-404b-bc66-d19ca45cd4a6,Malware_DGA,"2/16/2024, 6:00:00.000 PM",MalwareC2DGA,Active,"2/16/2024, 6:00:00.000 PM",3,"2/27/2024, 2:45:10.970 PM",3,"2/22/2024, 7:08:27.043 PM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.671 AM",,,,,,Insight,,Phishing,Smishing,4b9f8af1-6c59-4bfe-b113-8881dfc26cac,AntiMalware,"2/12/2024, 9:00:00.000 PM",Phishing,Active,"2/12/2024, 9:00:00.000 PM",3,"3/7/2024, 4:39:35.074 AM",3,"2/17/2024, 9:07:09.135 PM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:42.657 AM",,,,,8854,Insight,,TI-CONFIGURATIONISSUE,NXDOMAIN,c34b6492-7e65-47bd-a78b-c6e359d82b16,Insight Detection Framework,"7/21/2023, 4:00:00.000 PM",NXDomain,Active,"1/4/2024, 12:00:00.000 AM",8854,"2/9/2024, 12:05:00.000 AM",,"2/9/2024, 1:05:29.340 AM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:43.523 AM",,,email@infoblox.com,test,2,Insight,,Phishing,Generic,f5c6e3a0-a0a1-4030-820c-310c68ce2fda,AntiMalware,"5/23/2023, 5:00:00.000 PM",Phishing,Active,"5/2/2023, 6:00:00.000 PM",105,"3/7/2024, 4:55:28.220 AM",105,"1/10/2024, 9:05:49.818 PM",CRITICAL,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:43.401 AM",,,,,,Insight,,Suspicious,Spam,519122b3-db17-4d2c-9b0a-d5154f5f7c42,Suspicious_Domains,"2/12/2024, 5:00:00.000 PM",Suspicious,Active,"2/12/2024, 5:00:00.000 PM",37,"3/7/2024, 4:48:03.840 AM",37,"2/17/2024, 6:38:27.528 PM",MEDIUM,InfobloxInsight_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/7/2024, 5:51:43.401 AM",,,,,,Insight,,Lookalike,Suspicious,bdfbb105-d2a7-4c04-b09f-1277ed6b225a,Insight Detection Framework,"11/14/2023, 8:00:00.000 PM",Lookalike Threat,Active,"11/13/2023, 10:00:00.000 PM",12,"3/4/2024, 8:29:15.000 PM",12,"1/1/1, 12:00:00.000 AM",MEDIUM,InfobloxInsight_CL,
