TimeGenerated [UTC],ip_s,size_d,start_date_s,end_date_s,usage_used_queries_d,usage_remaining_queries_d,usage_query_limit_d,usage_foundation_api_usage_used_queries_d,usage_foundation_api_usage_remaining_queries_d,usage_foundation_api_usage_query_limit_d,identity_reverse_hostnames_s,identity_asn_d,identity_as_name_s,identity_net_name_s,identity_org_name_s,whois_modified_s,whois_asn_d,whois_cidr_s,whois_as_name_s,whois_bgp_asn_d,whois_bgp_asn_name_s,whois_net_name_s,whois_net_handle_s,whois_description_s,whois_cc_s,whois_city_s,whois_address_s,whois_abuse_contact_id_s,whois_about_contact_role_s,whois_about_contact_person_s,whois_about_contact_email_s,whois_about_contact_phone_s,whois_about_contact_country_s,whois_about_contact_city_s,whois_about_contact_address_s,whois_admin_contact_id_s,whois_admin_contact_role_s,whois_admin_contact_person_s,whois_admin_contact_email_s,whois_admin_contact_phone_s,whois_admin_contact_country_s,whois_admin_contact_city_s,whois_admin_contact_address_s,whois_tech_contact_id_s,whois_tech_contact_role_s,whois_tech_contact_person_s,whois_tech_contact_email_s,whois_tech_contact_phone_s,whois_tech_contact_country_s,whois_tech_contact_city_s,whois_tech_contact_address_s,whois_org_id_s,whois_org_name_s,whois_org_email_s,whois_org_phone_s,whois_org_country_s,whois_org_city_s,whois_org_address_s,whois_mnt_by_email_s,whois_mnt_lower_email_s,whois_mnt_router_email_s,communications_event_count_d,pdns_event_count_d,fingerprints_event_count_d,open_ports_event_count_d,open_ports_unique_ports_d,x509_event_count_d,Type
"7/17/2024, 5:40:06 AM",1.1.1.1,1000,2024-06-17,2024-07-16,4723,45277,50000,139,9861,10000,"[""ec2-44-242-13-161.us-west-2.compute.amazonaws.com.""]",16509,AMAZON-02,AMAZO-ZPDX,"Amazon.com, Inc.",2019-08-01,16509,1.1.1.1/11,AMAZON-02,16509,"AMAZON-02, US",AMAZO-ZPDX,NET-44-224-0-0-1,,US,Seattle,"[""EC2, EC2 1200 12th Ave South""]",ABUSE2916-ARIN,Abuse,Unknown,abuse@cloudflare.com,1-650-319-8930,US,San Francisco,"[""101 Townsend Street""]",,,,,,,Unknown,,,,,,,,San Francisco,,AMAZO-47,"Amazon.com, Inc.","abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,"EC2, EC2 1200 12th Ave South",,abuse@cloudflare.net,,7073403,54888,23,2,2,10,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:40:10 AM",A:B:C:0:26:FF:98:D,1000,2024-06-17,2024-07-16,4724,45276,50000,139,9861,10000,,0,,AMZ-EC2,"Amazon.com, Inc.",2014-10-17,0,1:2::/24,,14618,"AMAZON-AES, US",AMZ-EC2,NET6-2600-1F00-1,,US,Seattle,"[""Amazon Web Services, Inc."",""P.O. Box 81226""]",,,,,,,,,,,,,,,,,,,,,,,,,AMAZO-4,"Amazon.com, Inc.","abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,"Amazon Web Services, Inc.",,,,1166646,548110,78,0,0,0,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:40:24 AM",3.3.3.3,1000,2024-06-17,2024-07-16,4727,45273,50000,139,9861,10000,"[""ec2-52-38-7-83.us-west-2.compute.amazonaws.com.""]",0,,AT-88-Z,Amazon Technologies Inc.,2024-02-05,0,1.1.1.3/10,,16509,"AMAZON-02, US",AT-88-Z,NET-52-0-0-0-1,,US,Seattle,"[""410 Terry Ave N.""]",,,,,,,,,,,,,,,,,,,,,,,,,AT-88-Z,Amazon Technologies Inc.,"abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,410 Terry Ave N.,,,,7138494,54887,36,2,2,0,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:40:15 AM",4.4.4.4,1000,2024-06-17,2024-07-16,4725,45275,50000,139,9861,10000,"[""ec2-52-214-181-141.eu-west-1.compute.amazonaws.com.""]",16509,AMAZON-02,AMAZON-DUB,Amazon Data Services Ireland Limited,2015-12-14,16509,1.1.1.2/13,AMAZON-02,16509,"AMAZON-02, US",AMAZON-DUB,NET-52-208-0-0-1,,IE,Dublin,"[""Unit 4033, Citywest Avenue Citywest Business Park""]",,,,,,,,,,,,,,,,,,,,,,,,,ADSIL-1,Amazon Data Services Ireland Limited,"abuse@amazonaws.com,amzn-noc-contact@amazon.com",+1-206-555-0000,IE,Dublin,"Unit 4033, Citywest Avenue Citywest Business Park",,,,6501496,60174,3,2,2,6,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:40:19 AM",A:B:C:0:26:FF:98:E,1000,2024-06-17,2024-07-16,4726,45274,50000,139,9861,10000,,16509,AMAZON-02,AMAZON-PDX-V6,"Amazon.com, Inc.",2016-12-16,16509,1:1::/35,AMAZON-02,16509,"AMAZON-02, US",AMAZON-PDX-V6,NET6-2600-1F14-1,,US,Seattle,"[""EC2, EC2 1200 12th Ave South""]",,,,,,,,,,,,,,,,,,,,,,,,,AMAZO-47,"Amazon.com, Inc.","abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,"EC2, EC2 1200 12th Ave South",,,,3172667,165415,0,0,0,0,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:53:25 AM",1.1.1.1,1000,2024-06-17,2024-07-16,4735,45265,50000,140,9860,10000,"[""ec2-44-242-13-161.us-west-2.compute.amazonaws.com.""]",16509,AMAZON-02,AMAZO-ZPDX,"Amazon.com, Inc.",2019-08-01,16509,1.1.1.1/11,AMAZON-02,16509,"AMAZON-02, US",AMAZO-ZPDX,NET-44-224-0-0-1,,US,Seattle,"[""EC2, EC2 1200 12th Ave South""]",,,,,,,,,,,,,,,,,,,,,,,,,AMAZO-47,"Amazon.com, Inc.","abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,"EC2, EC2 1200 12th Ave South",,,,7073403,54888,23,2,2,10,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:53:28 AM",3.3.3.3,1000,2024-06-17,2024-07-16,4736,45264,50000,140,9860,10000,"[""ec2-52-38-7-83.us-west-2.compute.amazonaws.com.""]",0,,AT-88-Z,Amazon Technologies Inc.,2024-02-05,0,1.1.1.3/10,,16509,"AMAZON-02, US",AT-88-Z,NET-52-0-0-0-1,,US,Seattle,"[""410 Terry Ave N.""]",,,,,,,,,,,,,,,,,,,,,,,,,AT-88-Z,Amazon Technologies Inc.,"abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,410 Terry Ave N.,,,,7138494,54887,36,2,2,0,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:53:30 AM",A:B:C:0:26:FF:98:E,1000,2024-06-17,2024-07-16,4737,45263,50000,140,9860,10000,,16509,AMAZON-02,AMAZON-PDX-V6,"Amazon.com, Inc.",2016-12-16,16509,1:1::/35,AMAZON-02,16509,"AMAZON-02, US",AMAZON-PDX-V6,NET6-2600-1F14-1,,US,Seattle,"[""EC2, EC2 1200 12th Ave South""]",,,,,,,,,,,,,,,,,,,,,,,,,AMAZO-47,"Amazon.com, Inc.","abuse@amazonaws.com,amzn-noc-contact@amazon.com,aws-routing-poc@amazon.com,aws-rpki-routing-poc@amazon.com",+1-206-555-0000,US,Seattle,"EC2, EC2 1200 12th Ave South",,,,3172667,165415,0,0,0,0,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:53:32 AM",2.2.2.2,1000,2024-06-17,2024-07-16,4738,45262,50000,140,9860,10000,,15133,EDGECAST,EDGECAST-NETBLK-03,Edgecast Inc.,2012-06-22,15133,1.1.1.1/24,EDGECAST,15133,"EDGECAST, US",EDGECAST-NETBLK-03,,"[""NETBLK-03-EU-93-184-216-0-24""]",EU,,,,,,,,,,,DS7892-RIPE,,Derrick Sawyer,,+18773343236,,,"[""11811 N. Tatum Blvd, Suite 3031, Phoenix, AZ 85028""]",DS7892-RIPE,,Derrick Sawyer,,+18773343236,,,"[""11811 N. Tatum Blvd, Suite 3031, Phoenix, AZ 85028""]",,Edgecast Inc.,,,,,,,,,21432,1363,4,2,2,5,Cymru_Scout_IP_Data_Details_CL
"7/17/2024, 5:53:37 AM",2.2.2.2,1000,2024-06-17,2024-07-16,4740,45260,50000,140,9860,10000,,15133,EDGECAST,EDGECAST-NETBLK-03,Edgecast Inc.,2012-06-22,15133,1.1.1.1/24,EDGECAST,15133,"EDGECAST, US",EDGECAST-NETBLK-03,,"[""NETBLK-03-EU-93-184-216-0-24""]",EU,,,,,,,,,,,DS7892-RIPE,,Derrick Sawyer,,+18773343236,,,"[""11811 N. Tatum Blvd, Suite 3031, Phoenix, AZ 85028""]",DS7892-RIPE,,Derrick Sawyer,,+18773343236,,,"[""11811 N. Tatum Blvd, Suite 3031, Phoenix, AZ 85028""]",,Edgecast Inc.,,,,,,,,,21432,1363,4,2,2,5,Cymru_Scout_IP_Data_Details_CL
