TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"event_time_s","end_time_s","alert_id_g","start_time_t [UTC]","end_time_t [UTC]","fingerprint_s","city_s","country_s","network_name_s","organization_name_s","resource_type_s","port_d","protocol_s","transport_protocol_s","event_time_t [UTC]","ip_s","ui_link_s","display_data_s","endpoint_type_s","path_s","event_type_s","name_s",Type,"_ResourceId"
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",443,,,"1/16/2026, 4:56:08.000 PM","154.91.113.115",,443,HTTP,"/",,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Service Scanned",9222,SSH,tcp,"1/16/2026, 3:23:37.000 PM","154.91.113.115",,"9222/SSH/tcp",,,,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",80,,,"1/16/2026, 8:50:23.000 AM","154.91.113.115",,80,HTTP,"/",,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Service Scanned",9222,SSH,tcp,"1/16/2026, 7:37:00.000 AM","154.91.113.115",,"9222/SSH/tcp",,,,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",80,,,"1/16/2026, 12:04:45.000 AM","154.91.113.115",,80,HTTP,"/",,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Forward DNS Resolved",,,,"1/15/2026, 7:53:26.000 PM","154.91.113.115","https://platform.censys.io/hosts/154.91.113.115/events?at_time=2026-01-15T19:53:26Z&org=6477d92c-98da-4ec3-aaa4-df87559bd73c","www.shanlinyueji.com",,,,"www.shanlinyueji.com","Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",443,,,"1/15/2026, 3:51:20.000 PM","154.91.113.115",,443,HTTP,"/",,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",80,,,"1/15/2026, 2:21:39.000 PM","154.91.113.115",,80,HTTP,"/",,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",80,,,"1/15/2026, 2:05:47.000 PM","154.91.113.115",,80,HTTP,"/",,,"Censys_Host_History_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/16/2026, 6:48:26.091 PM",,,,,,"12/16/2025, 12:00:00.000 AM","2/16/2026, 12:00:00.000 AM",,,,,,"Endpoint Scanned",80,,,"1/15/2026, 11:52:37.000 AM","154.91.113.115",,80,HTTP,"/",,,"Censys_Host_History_Data_CL",
