TimeGenerated [UTC],custom_details_objectId_g,timestamp_t [UTC],custom_details_id_g,custom_details_clusterId_g,summary_s,source_s,severity_s,class_s,custom_details_type_s,custom_details_objectName_s,custom_details_objectType_s,custom_details_status_s,Type
"9/16/2022, 8:16:11.967 AM",16055a0a-3b57-51f9-af8b-9a0256cd86cd,"9/16/2022, 8:16:11.583 AM",b790e33b-718f-4e3e-8289-45fbeffe2de5,40fdb2a5-3591-40ee-a37a-50bce5240d62,"Detected anomalous filesystem activity with high confidence (File Change: 94 Added, 1147 Modified, 179701 Removed)",40fdb2a5-3591-40ee-a37a-50bce5240d62 | 16055a0a-3b57-51f9-af8b-9a0256cd86cd,warning,Anomaly,Event,JINOUYE-WIN19,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/16/2022, 8:16:12.414 AM",16055a0a-3b57-51f9-af8b-9a0256cd86cd,"9/16/2022, 8:16:11.655 AM",c37a873f-d12e-49d2-9844-b9e360ce9c51,40fdb2a5-3591-40ee-a37a-50bce5240d62,"Detected anomalous filesystem activity with high confidence and low levels of encryption (File Change: 94 Added, 1147 Modified, 179701 Removed)",40fdb2a5-3591-40ee-a37a-50bce5240d62 | 16055a0a-3b57-51f9-af8b-9a0256cd86cd,warning,Anomaly,Event,JINOUYE-WIN19,VmwareVm,Success,Rubrik_Anomaly_Event_Data_CL
"9/16/2022, 8:16:12.695 AM",16055a0a-3b57-51f9-af8b-9a0256cd86cd,"9/16/2022, 8:15:56.607 AM",59d3e2ca-7c1b-4196-a43a-637b2f92bacb,40fdb2a5-3591-40ee-a37a-50bce5240d62,Detected little to no indication of encrypted files.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 16055a0a-3b57-51f9-af8b-9a0256cd86cd,info,Anomaly,Event,JINOUYE-WIN19,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/14/2022, 6:05:28.628 PM",7c9ba229-2caa-5746-a9ac-3cc61fe4d900,"9/14/2022, 6:05:27.632 PM",94895b9a-3972-45ff-8c8c-761aad182dc6,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"Detected anomalous filesystem activity with high confidence (File Change: 4270 Added, 291 Modified, 4275 Removed)",8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | 7c9ba229-2caa-5746-a9ac-3cc61fe4d900,warning,Anomaly,Event,DEMO-RADAR,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/14/2022, 6:05:28.663 PM",7c9ba229-2caa-5746-a9ac-3cc61fe4d900,"9/14/2022, 6:05:27.694 PM",c697ff14-9088-48d4-aa44-0edb94209dde,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"Detected anomalous filesystem activity with high confidence and high levels of encryption (File Change: 4270 Added, 291 Modified, 4275 Removed)",8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | 7c9ba229-2caa-5746-a9ac-3cc61fe4d900,critical,Anomaly,Event,DEMO-RADAR,VmwareVm,Success,Rubrik_Anomaly_Event_Data_CL
"9/14/2022, 6:05:28.367 PM",7c9ba229-2caa-5746-a9ac-3cc61fe4d900,"9/14/2022, 6:05:12.644 PM",7663ab1c-b1d5-487b-8ae0-1b6a0772dca4,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,Detected significant indication of encrypted files.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | 7c9ba229-2caa-5746-a9ac-3cc61fe4d900,warning,Anomaly,Event,DEMO-RADAR,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/9/2022, 4:35:33.280 PM",ceb3d13d-cf32-54e7-b629-06d7a3e329ff,"9/9/2022, 4:35:25.872 PM",a4433c9d-bb0c-4912-a170-02cf5a03375a,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"Detected anomalous filesystem activity with high confidence and high levels of encryption (File Change: 2120 Added, 102 Modified, 2103 Removed)",8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | ceb3d13d-cf32-54e7-b629-06d7a3e329ff,critical,Anomaly,Event,DEMO-RADAR02,VmwareVm,Success,Rubrik_Anomaly_Event_Data_CL
"9/9/2022, 4:35:33.598 PM",ceb3d13d-cf32-54e7-b629-06d7a3e329ff,"9/9/2022, 4:35:25.799 PM",39319343-c41a-48c0-a688-47407e7fc033,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"Detected anomalous filesystem activity with high confidence (File Change: 2120 Added, 102 Modified, 2103 Removed)",8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | ceb3d13d-cf32-54e7-b629-06d7a3e329ff,warning,Anomaly,Event,DEMO-RADAR02,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/9/2022, 4:35:33.658 PM",ceb3d13d-cf32-54e7-b629-06d7a3e329ff,"9/9/2022, 4:35:10.819 PM",4c0815c9-f12d-44ad-bb41-95764131e44c,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,Detected significant indication of encrypted files.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | ceb3d13d-cf32-54e7-b629-06d7a3e329ff,warning,Anomaly,Event,DEMO-RADAR02,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/11/2022, 7:58:20.858 PM",ceb3d13d-cf32-54e7-b629-06d7a3e329ff,"9/11/2022, 7:58:20.399 PM",53de9e7b-31a1-43ec-b0ad-ee294d214013,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"Detected anomalous filesystem activity with high confidence (File Change: 3232 Added, 80 Modified, 3217 Removed)",8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | ceb3d13d-cf32-54e7-b629-06d7a3e329ff,warning,Anomaly,Event,DEMO-RADAR02,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/11/2022, 7:58:20.938 PM",ceb3d13d-cf32-54e7-b629-06d7a3e329ff,"9/11/2022, 7:58:20.463 PM",1296cc78-3146-43bd-9481-a789d258f8c5,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"Detected anomalous filesystem activity with high confidence and high levels of encryption (File Change: 3232 Added, 80 Modified, 3217 Removed)",8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | ceb3d13d-cf32-54e7-b629-06d7a3e329ff,critical,Anomaly,Event,DEMO-RADAR02,VmwareVm,Success,Rubrik_Anomaly_Event_Data_CL
"9/11/2022, 7:58:21.403 PM",ceb3d13d-cf32-54e7-b629-06d7a3e329ff,"9/11/2022, 7:58:05.419 PM",e996c26e-878a-492f-a98b-4934ab3cd766,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,Detected significant indication of encrypted files.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | ceb3d13d-cf32-54e7-b629-06d7a3e329ff,warning,Anomaly,Event,DEMO-RADAR02,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
"9/15/2022, 10:51:25.346 PM",7c9ba229-2caa-5746-a9ac-3cc61fe4d900,"9/15/2022, 10:51:09.731 PM",295e3e72-44a1-4052-85d5-f9044478ea1f,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,Detected significant indication of encrypted files.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | 7c9ba229-2caa-5746-a9ac-3cc61fe4d900,warning,Anomaly,Event,DEMO-RADAR,VmwareVm,TaskSuccess,Rubrik_Anomaly_Event_Data_CL
