TimeGenerated [UTC],ip_s,port_d,protocol_d,protocol_text_s,service_s,banner_s,banner_sha1_s,first_seen_s,last_seen_s,country_codes_s,as_info_s,tags_s,event_count_d,start_date_s,end_date_s,Type
"7/17/2024, 6:40:06 AM",1.1.1.1,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Length: 7",377bb7a4e311f17f2a74b9fd5d478202f6a4,2024-06-17,2024-07-16,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",82,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:06 AM",1.1.1.1,443,6,TCP,https,"HTTP/1.1 404 Not Found
Content-Length: 7",377bb7a4e311f17f2a74b9fd5d478202f6a5,2024-06-17,2024-07-16,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":372,""name"":""us-west"",""children"":null},{""id"":356,""name"":""ec2"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",68,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:00:04 AM",1.1.1.2,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Length: 7",377bb7a4e311f17f2a74b9fd5d478202f6a6,2024-06-17,2024-07-16,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":372,""name"":""us-west"",""children"":null},{""id"":356,""name"":""ec2"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",87,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:00:04 AM",1.1.1.2,443,6,TCP,https,"HTTP/1.1 404 Not Found
Content-Length: 7",377bb7a4e311f17f2a74b9fd5d478202f6a7,2024-06-17,2024-07-16,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",67,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:00:04 AM",1.1.1.2,80,6,TCP,http,"HTTP/1.0 404 Not Found
Content-Length: 7
Connection: close",377bb7a4e311f17f2a74b9fd5d478202f6a8,2024-06-21,2024-07-13,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:00:04 AM",1.1.1.2,443,6,TCP,https,"TLS/1.1 cipher:0xc014, website.apiproxy.us-west-2.prod.netflix.net, website.apiproxy.us-west-2.dynprod.netflix.net, apiproxy-website.us-west-2.prod.netflix.net, apiproxy-website.us-west-2.dynprod.netflix.net, apiproxy.netflix.net, apiproxy.us-west-2.dynprod.netflix.net, apiproxy-website.netflix.net, apiproxy.app.us-west-2.prod.cloud.netflix.net, website.apiproxy.prod.netflix.net, website.apiproxy.netflix.net, apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net, website.apiproxy.dynprod.netflix.net, apiproxy.us-west-2.prod.netflix.net, apiproxy-website.dynprod.netflix.net, apiproxy-website.prod.netflix.net, apiproxy.dynprod.netflix.net, apiproxy.prod.netflix.net",377bb7a4e311f17f2a74b9fd5d478202f6a9,2024-06-21,2024-07-13,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:15 AM",1.1.1.2,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Length: 7",377bb7a4e311f17f2a74b9fd5d478202f6a10,2024-06-17,2024-07-16,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",87,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:15 AM",1.1.1.2,443,6,TCP,https,"HTTP/1.1 404 Not Found
Content-Length: 7",377bb7a4e311f17f2a74b9fd5d478202f6a11,2024-06-17,2024-07-16,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",67,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:15 AM",1.1.1.2,80,6,TCP,http,"HTTP/1.0 404 Not Found
Content-Length: 7
Connection: close",377bb7a4e311f17f2a74b9fd5d478202f6a12,2024-06-21,2024-07-13,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:15 AM",1.1.1.2,443,6,TCP,https,"TLS/1.1 cipher:0xc014, website.apiproxy.us-west-2.prod.netflix.net, website.apiproxy.us-west-2.dynprod.netflix.net, apiproxy-website.us-west-2.prod.netflix.net, apiproxy-website.us-west-2.dynprod.netflix.net, apiproxy.netflix.net, apiproxy.us-west-2.dynprod.netflix.net, apiproxy-website.netflix.net, apiproxy.app.us-west-2.prod.cloud.netflix.net, website.apiproxy.prod.netflix.net, website.apiproxy.netflix.net, apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net, website.apiproxy.dynprod.netflix.net, apiproxy.us-west-2.prod.netflix.net, apiproxy-website.dynprod.netflix.net, apiproxy-website.prod.netflix.net, apiproxy.dynprod.netflix.net, apiproxy.prod.netflix.net",377bb7a4e311f17f2a74b9fd5d478202f6a13,2024-06-21,2024-07-13,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
