TimeGenerated [UTC],portfolioId,body,src,subject,dateYesterday,dateToday,scoreYesterday,scoreToday,scoreChange,industry,severity,portfolioId,portfolioName
"10/11/2022, 12:49:42.102 AM",,OverAll,OverallScore,jzzfcaos.com,2022-10-07 0:00:00,2022-10-08 0:00:00,90,90,0,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/11/2022, 12:49:49.651 AM",,OverAll,OverallScore,jzzfcaos.com,2022-10-07 0:00:00,2022-10-08 0:00:00,86,86,0,telecommunications,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/12/2022, 12:49:26.733 AM",,OverAll,OverallScore,zadavgcg.com,2022-10-08 0:00:00,2022-10-09 0:00:00,83,83,0,non_profit,7,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B
"10/12/2022, 12:45:03.737 AM",NA,OverAll,OverallScore,adoewecvb.com,2022-10-04 0:00:00,2022-10-05 0:00:00,88,88,0,retail,7,,NA
"10/12/2022, 12:49:51.827 AM",,OverAll,OverallScore,zadavgcg.com,2022-10-08 0:00:00,2022-10-09 0:00:00,71,71,0,transportation,7,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B
"10/12/2022, 12:49:52.030 AM",,OverAll,OverallScore,zadavgcg.com,2022-10-08 0:00:00,2022-10-09 0:00:00,77,77,0,entertainment,7,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B
"10/12/2022, 12:45:03.737 AM",NA,OverAll,OverallScore,adoewecvb.com,2022-10-08 0:00:00,2022-10-09 0:00:00,87,87,0,retail,7,,NA
"10/12/2022, 12:45:03.737 AM",NA,OverAll,OverallScore,adoewecvb.com,2022-10-05 0:00:00,2022-10-06 0:00:00,88,88,0,retail,7,,NA
"10/11/2022, 12:49:40.692 AM",,OverAll,OverallScore,nondcont.com,2022-10-07 0:00:00,2022-10-08 0:00:00,88,89,1,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/12/2022, 12:50:55.281 AM",,OverAll,OverallScore,ziewutsze.com,2022-10-08 0:00:00,2022-10-09 0:00:00,91,91,0,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/11/2022, 12:49:41.633 AM",,OverAll,OverallScore,bnsazzre.com,2022-10-07 0:00:00,2022-10-08 0:00:00,86,86,0,information_services,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/11/2022, 12:49:43.867 AM",,OverAll,OverallScore,bnsazzre.com,2022-10-07 0:00:00,2022-10-08 0:00:00,84,84,0,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/12/2022, 12:45:03.737 AM",NA,OverAll,OverallScore,adoewecvb.com,2022-10-07 0:00:00,2022-10-08 0:00:00,88,87,-1,retail,7,,NA
"10/11/2022, 12:49:43.916 AM",,OverAll,OverallScore,nonedonecont.com,2022-10-07 0:00:00,2022-10-08 0:00:00,96,96,0,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/11/2022, 12:49:43.932 AM",,OverAll,OverallScore,nonedonecont.com,2022-10-07 0:00:00,2022-10-08 0:00:00,81,81,0,information_services,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/11/2022, 12:49:43.994 AM",,OverAll,OverallScore,nondcont.com,2022-10-07 0:00:00,2022-10-08 0:00:00,82,82,0,information_services,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/12/2022, 12:45:03.737 AM",NA,OverAll,OverallScore,adoewecvb.com,2022-10-06 0:00:00,2022-10-07 0:00:00,88,88,0,retail,7,,NA
"10/11/2022, 12:49:45.979 AM",,OverAll,OverallScore,pzawrvvdunl.com,2022-10-07 0:00:00,2022-10-08 0:00:00,77,77,0,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
"10/11/2022, 12:49:46.010 AM",,OverAll,OverallScore,zalbnwck.com,2022-10-07 0:00:00,2022-10-08 0:00:00,88,88,0,technology,7,af80898b-1ddb-4a90-9505-690534021d1e,Company A
