2022-05-15 00:00:00.197 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598000/usage.xml; database=Meters; success=true;
2022-05-15 00:00:00.200 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598000/features.xml; database=Meters; success=true;
2022-05-15 00:00:01.227 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652594460/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:00:01.239 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598001/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:00:01.249 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652594460/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:00:01.261 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652594460/host-hour.xml; database=Meters; success=true;
2022-05-15 00:00:01.264 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652511660/server-day.xml; database=Meters; success=true;
2022-05-15 00:00:01.267 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598001/server-raw.xml; database=Meters; success=true;
2022-05-15 00:00:01.269 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598001/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:00:01.279 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652511660/host-day.xml; database=Meters; success=true;
2022-05-15 00:00:01.282 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598001/host-raw.xml; database=Meters; success=true;
2022-05-15 00:00:01.284 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652511660/databases-day.xml; database=Meters; success=true;
2022-05-15 00:00:01.295 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652594460/server-hour.xml; database=Meters; success=true;
2022-05-15 00:00:01.298 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652511660/forest-day.xml; database=Meters; success=true;
2022-05-15 00:01:00.291 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-raw.xml; database=Meters; success=true;
2022-05-15 00:01:00.297 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-day.xml; database=Meters; success=true;
2022-05-15 00:01:00.301 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-raw.xml; database=Meters; success=true;
2022-05-15 00:01:00.303 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:01:00.314 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-hour.xml; database=Meters; success=true;
2022-05-15 00:01:00.316 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:01:00.329 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-hour.xml; database=Meters; success=true;
2022-05-15 00:01:00.333 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-day.xml; database=Meters; success=true;
2022-05-15 00:01:00.345 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-day.xml; database=Meters; success=true;
2022-05-15 00:01:00.349 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-day.xml; database=Meters; success=true;
2022-05-15 00:01:00.361 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:01:00.372 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:02:00.231 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598120/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:02:00.244 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598120/server-raw.xml; database=Meters; success=true;
2022-05-15 00:02:00.247 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598120/host-raw.xml; database=Meters; success=true;
2022-05-15 00:02:00.249 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598120/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:03:00.245 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598180/server-raw.xml; database=Meters; success=true;
2022-05-15 00:03:00.250 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598180/host-raw.xml; database=Meters; success=true;
2022-05-15 00:03:00.253 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598180/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:03:00.265 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598180/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:04:00.213 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598240/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:04:00.226 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598240/forest-raw.xml; database=Meters; success=true;
