TimeGenerated [UTC],event_count_d,domain_s,first_seen_s,last_seen_s,css_color_s,ip_s,start_date_s,end_date_s,Type
"7/17/2024, 5:53:28 AM",51474,apiproxy-website-nlb-prod-1-bcf28d21f4bbcf2c.elb.us-west-2.amazonaws.com,2024-06-17,2024-07-16,#8f7ee5,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:28 AM",3378,netflix.com,2024-06-17,2024-07-16,#ce96fa,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:28 AM",21,sharded.us-west-2.netflix.com,2024-06-17,2024-07-15,#ce96fa,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:28 AM",9,www.netflix.com,2024-06-18,2024-07-15,#ce96fa,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:28 AM",3,latency.netflix.com,2024-06-27,2024-07-11,#ce96fa,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:25 AM",51474,apiproxy-website-nlb-prod-1-bcf28d21f4bbcf2c.elb.us-west-2.amazonaws.com,2024-06-17,2024-07-16,#8f7ee5,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:25 AM",3378,netflix.com,2024-06-17,2024-07-16,#ce96fa,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:25 AM",21,sharded.us-west-2.netflix.com,2024-06-17,2024-07-15,#ce96fa,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:25 AM",9,www.netflix.com,2024-06-18,2024-07-15,#ce96fa,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:25 AM",3,latency.netflix.com,2024-06-27,2024-07-11,#ce96fa,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:30 AM",164284,apiproxy-website-nlb-prod-1-bcf28d21f4bbcf2c.elb.us-west-2.amazonaws.com,2024-06-17,2024-07-16,#8f7ee5,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:30 AM",1127,netflix.com,2024-06-17,2024-07-16,#ce96fa,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:30 AM",4,www.netflix.com,2024-07-02,2024-07-16,#ce96fa,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:32 AM",106,alipesquissa.store,2024-06-17,2024-07-10,#a6abb7,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:32 AM",43,catalyst.rxrx.io,2024-06-17,2024-07-16,#f2d561,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:32 AM",26,your.as,2024-06-17,2024-07-16,#99a1ff,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:32 AM",25,emcal.sebastianpopp.com,2024-06-17,2024-07-16,#e57ea1,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:32 AM",23,emv1.rxrx.io,2024-06-17,2024-07-15,#f2d561,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:37 AM",106,alipesquissa.store,2024-06-17,2024-07-10,#a6abb7,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
"7/17/2024, 5:53:37 AM",43,catalyst.rxrx.io,2024-06-17,2024-07-16,#f2d561,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_PDNS_CL
