"TimeGenerated [UTC]",CreatedBy,"CreationTime [UTC]",Description,"ExpirationTime [UTC]",Id,Name,ProcessedBy,"ProcessedTime [UTC]",State,VbrHostName,TenantId,Type,"_ResourceId"
"8/25/2025, 7:42:26.665 PM","N\asja","8/23/2025, 12:39:24.740 PM","User N\asja g #!$%^ role has been changed from Veeam Backup Administrator to Veeam Restore Operator","8/24/2025, 12:39:24.740 PM","64fe2b42-2ff0-4b34-9465-f17f5c3c2074","Users and Roles update","VBR1231\Administrator","8/23/2025, 12:40:21.251 PM",Rejected,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/19/2025, 12:03:52.384 PM",,"8/19/2125, 12:03:52.384 PM","bfae4f84-676b-4d94-b023-b9b941580fc7","The role Veeam Tape Operator has been removed from user asja g #!$%^","VBR1231\Administrator","8/19/2025, 12:03:52.384 PM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/19/2025, 12:03:52.275 PM",,"8/19/2125, 12:03:52.275 PM","8f623e2a-110e-4888-93c4-68d5cf3c89e3","The role Veeam Backup Administrator has been assigned to user asja g #!$%^","VBR1231\Administrator","8/19/2025, 12:03:52.275 PM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/19/2025, 12:03:41.666 PM","User N\asja g #!$%^ role has been changed from Veeam Tape Operator to Veeam Backup Administrator","8/20/2025, 12:03:41.666 PM","3ae8dd7c-0632-4123-8fab-2334ba678db4","Users and Roles update","VBR1231\Administrator","8/19/2025, 12:03:52.416 PM",Approved,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/13/2025, 10:19:25.207 AM","Auto logoff has been disabled","8/14/2025, 10:19:25.207 AM","0baf340a-5be2-4eea-9f14-b76b45a527a1","Users and Roles update","N\asja","8/13/2025, 10:19:43.944 AM",Approved,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/13/2025, 10:10:49.527 AM","Auto logoff has been enabled
Auto logoff value has been changed from 10 to 60 minutes","8/14/2025, 10:10:49.527 AM","16bfd821-8ca0-4bc2-bf3b-f4b02f859f31","Users and Roles update","VBR1231\Administrator","8/13/2025, 10:11:46.884 AM",Approved,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/13/2025, 9:46:07.646 AM",,"8/13/2125, 9:46:07.646 AM","c47b4a6a-21ac-4121-873d-fcf74fd7cf3e","The role Veeam Restore Operator has been removed from user asja2","N\asja","8/13/2025, 9:46:07.646 AM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/13/2025, 9:46:07.599 AM",,"8/13/2125, 9:46:07.599 AM","e33b1a27-24f6-41e4-98b7-6e24c1d7b711","The role Veeam Backup Viewer has been assigned to user asja2","N\asja","8/13/2025, 9:46:07.599 AM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/13/2025, 9:45:58.365 AM","User N\asja2 role has been changed from Veeam Restore Operator to Veeam Backup Viewer","8/14/2025, 9:45:58.365 AM","cff661ed-955b-4e69-9815-409830ecf8aa","Users and Roles update","N\asja","8/13/2025, 9:46:07.740 AM",Approved,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/13/2025, 9:37:52.000 AM",,"8/13/2125, 9:37:52.000 AM","786491a8-a5a2-4c05-8377-94f013862c85","The role Veeam Backup Operator has been removed from user asja g #!$%^","VBR1231\Administrator","8/13/2025, 9:37:52.000 AM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/13/2025, 9:37:51.937 AM",,"8/13/2125, 9:37:51.937 AM","8452d7f3-919e-48b2-98a5-fa38730b769c","The role Veeam Tape Operator has been assigned to user asja g #!$%^","VBR1231\Administrator","8/13/2025, 9:37:51.937 AM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/13/2025, 9:37:42.797 AM","User N\asja g #!$%^ role has been changed from Veeam Backup Operator to Veeam Tape Operator","8/14/2025, 9:37:42.797 AM","0c7385dd-9aaf-424c-a1a6-b763136c22f0","Users and Roles update","VBR1231\Administrator","8/13/2025, 9:37:52.125 AM",Approved,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/13/2025, 8:58:06.891 AM",,"8/13/2125, 8:58:06.891 AM","a35961a7-15f7-41b0-a9d2-b21c55c1d96c","The role Veeam Restore Operator has been removed from user asja g #!$%^","N\asja","8/13/2025, 8:58:06.891 AM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","N\asja","8/13/2025, 8:58:06.860 AM",,"8/13/2125, 8:58:06.860 AM","49b39ace-778d-41bd-b5b1-1a91ac6a0298","The role Veeam Backup Operator has been assigned to user asja g #!$%^","N\asja","8/13/2025, 8:58:06.860 AM",Info,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
"8/25/2025, 7:42:26.665 PM","VBR1231\Administrator","8/13/2025, 8:57:44.466 AM","User N\asja g #!$%^ role has been changed from Veeam Restore Operator to Veeam Backup Operator","8/14/2025, 8:57:44.466 AM","57cf0e75-3d7a-42f2-9595-c88e74c2c746","Users and Roles update","N\asja","8/13/2025, 8:58:06.922 AM",Approved,vbr1231,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamAuthorizationEvents_CL",
