TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,id_s,subject_s,severity_s,type_s,class_s,status_s,coa_s,remarks_s,created_date_s,updated_date_s,brand_s,Type,_ResourceId
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 5:09:26.320 PM",,,COMX123456789,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 17:03,1/11/2023 17:03,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 5:30:06.874 PM",,,COMX123456790,7 customer credentials compromised (xxxxxx),High,Leaked Credential,Link,Member Feedback,Member Side Action,New leaked_credential with severity High found,1/11/2023 17:23,1/11/2023 17:23,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 8:45:15.183 PM",,,COMX123456791,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 20:36,1/11/2023 20:36,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 7:14:13.813 PM",,,COMX123456792,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 19:08,1/11/2023 19:08,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 7:14:13.813 PM",,,COMX123456793,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 19:08,1/11/2023 19:08,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 12:14:36.002 PM",,,COMX123456799,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 12:05,1/11/2023 12:05,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 1:30:06.332 PM",,,COMX123456800,https://google.com/sorry,High,Suspicious Mobile App,URL,Member Feedback,Takedown,New Suspicious Mobile App with severity High found,1/11/2023 13:20,1/11/2023 13:20,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 2:29:36.513 PM",,,COMX123456801,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 14:22,1/11/2023 14:22,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 2:29:36.513 PM",,,COMX123456802,6 customer credentials compromised (xxxxx),High,Leaked Credential,Link,Member Feedback,Member Side Action,New leaked_credential with severity High found,1/11/2023 14:22,1/11/2023 14:22,Examplte Enterprise,CBSLogPolling_1_CL,
316aed21-182f-4105-b46f-2c047d366c96,OpsManager,,,"11/1/2023, 11:34:41.488 AM",,,COMX123456803,https://google.com/sorry,High,Exposed Email Address,URL,Member Feedback,Takedown,New Exposed Email Address with severity High found,1/11/2023 11:29,1/11/2023 11:29,Examplte Enterprise,CBSLogPolling_1_CL,
