TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,InfobloxInsightID_s,cid_s,cmac_s,count_d,qip_s,location_s,osVersion_s,threatLevelMax_s,threatIndicatorDistinctCount_s,timeMax_t [UTC],timeMin_t [UTC],user_s,InfobloxInsightID_g,InfobloxInsightLogType_s,Type,_ResourceId
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:49:11.140 PM",,,,,00:00:00:00:00:00,13,127.0.0.1,,,3,4,"3/4/2024, 11:00:00.000 AM","2/16/2024, 6:00:00.000 PM",bob,de157c30-5ade-45b3-85ac-97ae7fc351fc,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:49:11.690 PM",,,,83b0f901cb42445390e4055adc9d5bc8:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,34,127.0.0.1,"Bengaluru,India",iOS 17.3,3,2,"2/27/2024, 3:00:00.000 PM","2/27/2024, 2:00:00.000 PM",user,de157c30-5ade-45b3-85ac-97ae7fc351fc,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:49:12.202 PM",,,,83b0f901cb42445390e4055adc9d5bc8:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,1,127.0.0.1,"Bengaluru,India",Windows 11 Enterprise,3,1,"2/27/2024, 2:00:00.000 PM","2/27/2024, 2:00:00.000 PM",ngouder,de157c30-5ade-45b3-85ac-97ae7fc351fc,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 5:22:04.653 PM",,,,,00:00:00:00:00:00,721,127.0.0.1,,,3,3,"3/4/2024, 4:00:00.000 PM","2/3/2024, 6:00:00.000 PM",bob,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/5/2024, 12:19:27.482 AM",,,,,,8854,127.0.0.1,"Ashburn,United States",,1,1,"2/9/2024, 12:00:00.000 AM","2/9/2024, 12:00:00.000 AM",,c34b6492-7e65-47bd-a78b-c6e359d82b16,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/5/2024, 12:22:05.743 AM",,,,83b0f901cb42445390e4055adc9d5bc8:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,1,127.0.0.1,"Bengaluru,India",Windows 11 Enterprise,3,1,"2/27/2024, 2:00:00.000 PM","2/27/2024, 2:00:00.000 PM",ngouder,cd8fd6a3-1abb-404b-bc66-d19ca45cd4a6,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/5/2024, 12:22:06.806 AM",,,,83b0f901cb42445390e4055adc9d5bc8:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,1,127.0.0.1,"Bengaluru,India",Windows 11 Enterprise,3,1,"2/27/2024, 2:00:00.000 PM","2/27/2024, 2:00:00.000 PM",ngouder,cd8fd6a3-1abb-404b-bc66-d19ca45cd4a6,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 5:22:05.304 PM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,6,127.0.0.1,"Madrid,Spain",iOS 16.5.1,3,2,"2/10/2024, 9:00:00.000 PM","2/5/2024, 7:00:00.000 AM",default_user,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 5:22:04.563 PM",,,,,00:00:00:00:00:00,719,127.0.0.1,,Microsoft Windows Server 2016 (93%),3,1,"3/4/2024, 4:00:00.000 PM","2/3/2024, 6:00:00.000 PM",alice,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 5:22:05.759 PM",,,,,00:00:00:00:00:00,220,127.0.0.1,,,3,2,"2/10/2024, 4:00:00.000 AM","2/5/2024, 4:00:00.000 PM",ckelly,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 5:22:05.435 PM",,,,,00:00:00:00:00:00,2798,127.0.0.1,,,3,3,"3/4/2024, 4:00:00.000 PM","2/23/2024, 11:00:00.000 PM",dmcpoyle,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 5:22:09.763 PM",,,,,,1,127.0.0.1,,,3,1,"2/5/2024, 4:00:00.000 PM","2/5/2024, 4:00:00.000 PM",,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/5/2024, 12:22:10.481 AM",,,,,00:00:00:00:00:00,2,127.0.0.1,,,3,2,"2/22/2024, 6:00:00.000 PM","2/16/2024, 6:00:00.000 PM",bob,cd8fd6a3-1abb-404b-bc66-d19ca45cd4a6,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:37.725 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,47,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,8,"3/5/2024, 8:00:00.000 PM","2/5/2024, 7:00:00.000 AM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:37.926 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,1,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"3/2/2024, 10:00:00.000 PM","3/2/2024, 10:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:38.538 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"3/1/2024, 7:00:00.000 AM","3/1/2024, 7:00:00.000 AM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:38.917 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,2,"2/27/2024, 7:00:00.000 AM","2/26/2024, 7:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
