TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"censys_url_s","count_d","fields_s","values_s","ioc_s","values_g",Type,"_ResourceId"
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.endpoints.http.html_title%3D%22MoonTV%22&org=e48bb962-9a41-4a49-9912-55205baecd12",3201,"host.services.endpoints.http.html_title",MoonTV,"146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.tls.ja3s%3D%2215af977ce25de452b96affa2addb1036%22&org=e48bb962-9a41-4a49-9912-55205baecd12",19727607,"host.services.tls.ja3s",,"146.235.236.104","15af977c-e25d-e452-b96a-ffa2addb1036","CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.tls.ja4s%3D%22t130200_1302_a56c5b993250%22&org=e48bb962-9a41-4a49-9912-55205baecd12",19727607,"host.services.tls.ja4s","t130200_1302_a56c5b993250","146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.cert.parsed.subject.common_name%3D%22Common%20Name%22&org=e48bb962-9a41-4a49-9912-55205baecd12",4805,"host.services.cert.parsed.subject.common_name","Common Name","146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.endpoints.http.html_title%3D%22400%20Bad%20Request%22&org=e48bb962-9a41-4a49-9912-55205baecd12",2523637,"host.services.endpoints.http.html_title","400 Bad Request","146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.endpoints.http.html_title%3D%22PanSou%20%E7%9B%98%E6%90%9C%22&org=e48bb962-9a41-4a49-9912-55205baecd12",1110,"host.services.endpoints.http.html_title","PanSou 盘搜","146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.cert.parsed.issuer.common_name%3D%22Common%20Name%22&org=e48bb962-9a41-4a49-9912-55205baecd12",4791,"host.services.cert.parsed.issuer.common_name","Common Name","146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.cert.parsed.issuer.locality%3D%22City%22&org=e48bb962-9a41-4a49-9912-55205baecd12",423057,"host.services.cert.parsed.issuer.locality",City,"146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.cert.parsed.subject.organization%3D%22Organization%22&org=e48bb962-9a41-4a49-9912-55205baecd12",391915,"host.services.cert.parsed.subject.organization",Organization,"146.235.236.104",,"CensysRelatedInfrastructure_CL",
"e67ced1f-ebf3-4c52-b4cc-46585da300ec",RestAPI,,,"4/3/2026, 10:37:09.271 AM",,,"https://platform.censys.io/search?q=host.services.cert.parsed.ja4x%3D%222166164053c1_2166164053c1_795797892f9c%22&org=e48bb962-9a41-4a49-9912-55205baecd12",163472,"host.services.cert.parsed.ja4x","2166164053c1_2166164053c1_795797892f9c","146.235.236.104",,"CensysRelatedInfrastructure_CL",
