TimeGenerated [UTC],type_s,signature_g,port_d,first_seen_s,last_seen_s,count_d,ip_s,start_date_s,end_date_s,signature_s,Type
"7/17/2024, 5:40:16 AM",jarm,,443,2024-06-18,2024-07-05,3,1.1.1.1,2024-06-17,2024-07-16,ad2ad0002ad2ad22c42dd00041df99b2decc4b8fb98e1980ee1064c,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:06 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,6,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:06 AM",jarm,,443,2024-06-21,2024-07-13,5,1.1.1.2,2024-06-17,2024-07-16,ad2ad0002ad2ad22c42dd00041df99b2decc4b8fb98e1980ee1064c,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:06 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-12,2024-07-12,2,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:06 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,1,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:06 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-12,2024-07-12,1,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:10 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-06-17,2024-07-16,29,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:10 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-06-19,2024-07-04,8,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:10 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-07,2024-07-07,1,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:10 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-01,2024-07-01,1,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:10 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-06-25,2024-06-25,1,A:45:F:C:98:D:0:0,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:24 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,12,2.2.2.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:24 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-06-26,2024-07-16,6,2.2.2.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:24 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-06-26,2024-06-26,2,2.2.2.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:24 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,1,2.2.2.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:40:24 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,1,2.2.2.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:53:27 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,6,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:53:27 AM",jarm,,443,2024-06-21,2024-07-13,5,1.1.1.2,2024-06-17,2024-07-16,ad2ad0002ad2ad22c42dd00041df99b2decc4b8fb98e1980ee1064c,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:53:27 AM",ja3s,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-12,2024-07-12,2,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
"7/17/2024, 5:53:27 AM",ja3,f9129-bb5d-0549-2a65-ff78e081bcb,443,2024-07-16,2024-07-16,1,1.1.1.2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Summary_Fingerprints_CL
