TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"Count_s","Age_s","Bulletins_s","CVE_IDs_s","Classification_s","Computer_ID_s","Computer_Name_s","Custom_Field_s","Files_s","Install_Status_s","KB_Articles_s","Last_Logged_In_User_s","MAC_Address_s","MS_Guid_s","OS_Type_s","Operating_System_s","Patch_Mean_Time_to_Patch_90__s","Patch_List_Ids_s","Product_s","Release_Date_s","Severity_s","Size_in_Bytes_s","Superseded_s","Tanium_UID_s","Title_s","Uninstallable_s","Urls_s",Type,"_ResourceId"
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A","CVE-2022-32893 CVE-2022-32894",security,2565602327,"research-macmini",None,,"Not Installed","APPLE-SA-2022-08-17-2",chrislopez,,,macOS,"macOS (12.4)",,"1,4","Mac 12.4","8/17/2022",None,1,False,,"macOS Monterey 12.5.1 12.5.1",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,None,"CVE-2022-34716","Security Updates",2121222359,"Windows10-03",None,,"Not Installed",KB5016990,"Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe",,,Windows,"Windows 10 Pro",,"1,2,5",".NET 6.0","8/3/2022",Important,57909296,False,,"2022-08 .NET 6.0.8 Security Update for x64 Client (KB5016990)",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,None,"CVE-2022-30133 CVE-2022-30144 CVE-2022-30194 CVE-2022-30197 CVE-2022-33670 CVE-2022-34301 CVE-2022-34302 CVE-2022-34303 CVE-2022-34690 CVE-2022-34691 CVE-2022-34696 CVE-2022-34699 CVE-2022-34701 CVE-2022-34702 CVE-2022-34703 CVE-2022-34704 CVE-2022-34705 CVE-2022-34706 CVE-2022-34707 CVE-2022-34708 CVE-2022-34709 CVE-2022-34710 CVE-2022-34711 CVE-2022-34712 CVE-2022-34713 CVE-2022-34714 CVE-2022-35743 CVE-2022-35744 CVE-2022-35745 CVE-2022-35746 CVE-2022-35747 CVE-2022-35748 CVE-2022-35749 CVE-2022-35750 CVE-2022-35751 CVE-2022-35752 CVE-2022-35753 CVE-2022-35754 CVE-2022-35755 CVE-2022-35756 CVE-2022-35757 CVE-2022-35758 CVE-2022-35759 CVE-2022-35760 CVE-2022-35761 CVE-2022-35762 CVE-2022-35763 CVE-2022-35764 CVE-2022-35765 CVE-2022-35766 CVE-2022-35767 CVE-2022-35768 CVE-2022-35769 CVE-2022-35771 CVE-2022-35792 CVE-2022-35793 CVE-2022-35794 CVE-2022-35795 CVE-2022-35797 CVE-2022-35820 CVE-2022-35822","Security Updates",2121222359,"Windows10-03",None,,Installed,KB5016616,"Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe",,,Windows,"Windows 10 Pro",,"1,2,5","Windows 10 LTSB---Windows 10, version 1903 and later","8/8/2022",Critical,719141704,False,,"2022-08 Cumulative Update for Windows 10 Version 21H2 for x64-based Systems (KB5016616)",True,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"MS06-061","CVE-2006-4685 CVE-2006-4686","Security Updates",2121222359,"Windows10-03",None,,Installed,KB925673,"Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe",,,Windows,"Windows 10 Pro",,"1,2,5","SQL Server Feature Pack","6/27/2017",Critical,1853208,False,,"MSXML 6.0 RTM Security Update  (925673)",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,None,"CVE-2022-34301 CVE-2022-34302 CVE-2022-34303","Security Updates",2121222359,"Windows10-03",None,,Installed,KB5012170,"Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe",,,Windows,"Windows 10 Pro",,"1,2,5","Windows 10 LTSB---Windows 10, version 1903 and later","8/8/2022",Critical,118979,False,,"2022-08 Security Update for Windows 10 Version 21H2 for x64-based Systems (KB5012170)",True,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,None,None,"Update Rollups",2121222359,"Windows10-03",None,,Installed,KB890830,"Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe",,,Windows,"Windows 10 Pro",,"1,2,5","Windows 10---Windows 10 LTSB---Windows 10, version 1903 and later---Windows 11","8/3/2022",None,39408216,False,,"Windows Malicious Software Removal Tool x64 - v5.104 (KB890830)",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,None,"CVE-2022-30184","Security Updates",2121222359,"Windows10-03",None,,Installed,KB5015429,"Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe",,,Windows,"Windows 10 Pro",,"1,2",".NET 6.0","6/8/2022",Important,86004712,True,,"2022-06 .NET 6.0.6 Security Update for x64 Client (KB5015429)",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-apt",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","7/1/2021",Medium,1294152,False,,"apt 2.0.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,security,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-isc-dhcp-common",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","5/27/2021",Medium,44884,False,,"isc-dhcp-common 4.4.1-2.1ubuntu5.20.04.3 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-base-files",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","2/18/2022",Medium,60404,False,,"base-files 11ubuntu5.6 in focal",False,,"TaniumPatchListApplicability_CL",
