TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"ioc_value_g","ioc_value_s","type_s","last_seen_timestamp_t [UTC]","geoip_country_code_s","geoip_country_name_s","geoip_city_s","geoip_ip_address_s","asn_organization_s","asn_number_s","sightings_s",Type,"_ResourceId"
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:08:40.316 AM",,,,"""172.245.195.236""",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/11/2026, 3:22:03.996 PM",,,,"""57ea9b23efeb5b00265200966f439ff0""","FileHash-MD5","2/23/2026, 1:13:28.000 PM",,,,,,,"[{""count"":2,""last_seen_timestamp"":""2026-02-23T13:13:28Z"",""description"":""Joker samples: December 2025 - February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/11/2026, 3:21:01.218 PM",,,,"""172.245.195.236""",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/11/2026, 12:04:03.320 PM",,,,"""57ea9b23efeb5b00265200966f439ff0""","FileHash-MD5","2/23/2026, 1:13:28.000 PM",,,,,,,"[{""count"":2,""last_seen_timestamp"":""2026-02-23T13:13:28Z"",""description"":""Joker samples: December 2025 - February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/11/2026, 12:00:46.919 PM",,,"57ea9b23-efeb-5b00-2652-00966f439ff0",,"FileHash-MD5","2/23/2026, 1:13:28.000 PM",,,,,,,"[{""count"":2,""last_seen_timestamp"":""2026-02-23T13:13:28Z"",""description"":""Joker samples: December 2025 - February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/11/2026, 11:58:08.031 AM",,,,"172.245.195.236",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/11/2026, 11:16:16.189 AM",,,,"""172.245.195.236""",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/9/2026, 11:06:52.535 AM",,,,"""172.245.195.236""",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/9/2026, 8:49:21.042 AM",,,,"""172.245.195.236""",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/9/2026, 5:47:21.154 AM",,,,"""172.245.195.236""",IPv4,"2/16/2026, 11:42:02.000 AM",US,"United States",Buffalo,"172.245.195.236","AS-COLOCROSSING",36352,"[{""count"":1,""last_seen_timestamp"":""2026-02-16T11:42:02Z"",""description"":""RemcosRAT samples: February 2026"",""source"":""Cyjax""}]","CyjaxAdHocEnrichment_CL",
