TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"certificate_v1_resource_fingerprint_sha256_s","webproperty_v1_resource_hostname_s","webproperty_v1_resource_port_d","field_values_s","query_s","host_v1_resource_ip_s",Type,"_ResourceId"
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:17:21.796 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8","host.location.country='United States'","52.179.152.184","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:17:21.796 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8","host.location.country='United States'","52.179.152.184","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/9/2026, 9:33:49.829 AM",,,,,,"host.services.port:80,host.services.jarm.fingerprint:2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8",,"52.187.68.53","CensysRelatedAssetsDetails_CL",
