"TimeGenerated [UTC]","CreatedAt [UTC]","ModifiedAt [UTC]","ValidFrom [UTC]","ValidUntil [UTC]","EnrichmentLastSeen [UTC]",SentinelIndicatorId,StixId,CyjaxIOCUUID,ExternalID,IndicatorType,IndicatorValue,IndicatorName,Description,StixPattern,PatternType,PatternVersion,IndicatorCategories,EnrichmentIOCType,ObservableKey,ObservableValue,StixConfidence,Confidence,IsActive,IsDeleted,Revoked,TLPLevel,CyjaxHandlingCondition,Labels,CyjaxTTP,CyjaxIndustryType,SourceName,SourceDescription,ReportURL,CyjaxSource,EnrichmentIPAddress,EnrichmentCity,EnrichmentCountryName,EnrichmentCountryCode,EnrichmentASNOrg,EnrichmentASNNumber,EnrichmentSightingsCount,EnrichmentSightings,LastUpdateMethod,SourceSystem,Tags
"3/22/2026, 10:20:21.570 AM","3/16/2026, 1:24:31.000 PM","3/16/2026, 1:24:31.000 PM","3/16/2026, 1:24:31.000 PM",,"3/16/2026, 1:24:31.000 PM","Q3lqYXgtSU9Dcw==---indicator--9fa0857f-6bfc-4811-910a-5ac00e94d7c3","indicator--9fa0857f-6bfc-4811-910a-5ac00e94d7c3","b1fcd639-ef80-4730-8da1-6d9aa283577f","b1fcd639-ef80-4730-8da1-6d9aa283577f",Domain,"happyglamper.ro","Cyjax - Domain - happyglamper.ro","New ClickFix variant used to abuse WebDAV and Electron application","[domain-name:value = 'happyglamper.ro']",stix,"2.1","malicious-activity",Domain,"domain-name:value","happyglamper.ro",50,50,true,false,,Green,GREEN,"Malicious File, Command and Scripting Interpreter, TLP:GREEN","Malicious File, Command and Scripting Interpreter",,Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83625","https://cymon.co/report/incident/83625","89.42.218.10",,Romania,RO,"ROMARG SRL",205275,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T13:24:31Z"", ""description"": ""New ClickFix variant used to abuse WebDAV and Electron application"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","malicious file,command and scripting interpreter,tlp:green"
"3/22/2026, 10:20:21.569 AM","3/16/2026, 1:24:31.000 PM","3/16/2026, 1:24:31.000 PM","3/16/2026, 1:24:31.000 PM",,"3/16/2026, 1:24:31.000 PM","Q3lqYXgtSU9Dcw==---indicator--963fa804-bc5c-4b98-8ecd-ff697b404a7d","indicator--963fa804-bc5c-4b98-8ecd-ff697b404a7d","f9dd37fb-9605-4a6f-9d78-23d124d6715d","f9dd37fb-9605-4a6f-9d78-23d124d6715d",IPv4,"144.31.165.173","Cyjax - IPv4 - 144.31.165.173","New ClickFix variant used to abuse WebDAV and Electron application","[ipv4-addr:value = '144.31.165.173']",stix,"2.1","malicious-activity",IPv4,"ipv4-addr:value","144.31.165.173",50,50,true,false,,Green,GREEN,"Malicious File, Command and Scripting Interpreter, TLP:GREEN","Malicious File, Command and Scripting Interpreter",,Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83625","https://cymon.co/report/incident/83625","144.31.165.173",Orem,"United States",US,"ADCIL-ASN-01",401152,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T13:24:31Z"", ""description"": ""New ClickFix variant used to abuse WebDAV and Electron application"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","malicious file,command and scripting interpreter,tlp:green"
"3/22/2026, 10:20:21.568 AM","3/16/2026, 1:24:31.000 PM","3/16/2026, 1:24:31.000 PM","3/16/2026, 1:24:31.000 PM",,"3/16/2026, 1:24:31.000 PM","Q3lqYXgtSU9Dcw==---indicator--7e85152a-145f-4d1b-a792-98bd5cd90199","indicator--7e85152a-145f-4d1b-a792-98bd5cd90199","5fa6d41a-319d-49fe-90b2-cf6eb4713f4c","5fa6d41a-319d-49fe-90b2-cf6eb4713f4c",Domain,"cloudflare.report","Cyjax - Domain - cloudflare.report","New ClickFix variant used to abuse WebDAV and Electron application","[domain-name:value = 'cloudflare.report']",stix,"2.1","malicious-activity",Domain,"domain-name:value","cloudflare.report",50,50,true,false,,Green,GREEN,"Malicious File, Command and Scripting Interpreter, TLP:GREEN","Malicious File, Command and Scripting Interpreter",,Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83625","https://cymon.co/report/incident/83625",,,,,,,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T13:24:31Z"", ""description"": ""New ClickFix variant used to abuse WebDAV and Electron application"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","malicious file,command and scripting interpreter,tlp:green"
"3/22/2026, 10:20:21.566 AM","3/16/2026, 1:14:27.000 PM","3/16/2026, 1:14:27.000 PM","3/16/2026, 1:14:27.000 PM",,"3/16/2026, 1:14:27.000 PM","Q3lqYXgtSU9Dcw==---indicator--655a8d17-b520-46a8-a823-06c53fde4703","indicator--655a8d17-b520-46a8-a823-06c53fde4703","348cc10a-353f-42f5-896c-5b627a985fcd","348cc10a-353f-42f5-896c-5b627a985fcd","FileHash-MD5",5bea18688e1653d2c3fe5476d3efed12,"Cyjax - FileHash-MD5 - 5bea18688e1653d2c3fe5476d3efed12","AppsFlyer Web SDK supply-chain attack used to steal cryptocurrency","[file:hashes.'MD5' = '5bea18688e1653d2c3fe5476d3efed12']",stix,"2.1","malicious-activity","FileHash-MD5","file:hashes.'MD5'",5bea18688e1653d2c3fe5476d3efed12,50,50,true,false,,Green,GREEN,"Supply Chain Compromise, IT, TLP:GREEN","Supply Chain Compromise",IT,Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83623","https://cymon.co/report/incident/83623",,,,,,,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T13:14:27Z"", ""description"": ""AppsFlyer Web SDK supply-chain attack used to steal cryptocurrency"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","supply chain compromise,it,tlp:green"
"3/22/2026, 10:20:21.566 AM","3/16/2026, 1:14:27.000 PM","3/16/2026, 1:14:27.000 PM","3/16/2026, 1:14:27.000 PM",,"3/16/2026, 1:14:27.000 PM","Q3lqYXgtSU9Dcw==---indicator--655a8d17-b520-46a8-a823-06c53fde4703","indicator--655a8d17-b520-46a8-a823-06c53fde4703","348cc10a-353f-42f5-896c-5b627a985fcd","348cc10a-353f-42f5-896c-5b627a985fcd","FileHash-MD5",5bea18688e1653d2c3fe5476d3efed12,"Cyjax - FileHash-MD5 - 5bea18688e1653d2c3fe5476d3efed12","AppsFlyer Web SDK supply-chain attack used to steal cryptocurrency","[file:hashes.'MD5' = '5bea18688e1653d2c3fe5476d3efed12']",stix,"2.1","malicious-activity","FileHash-MD5","file:hashes.'MD5'",5bea18688e1653d2c3fe5476d3efed12,50,50,true,false,,Green,GREEN,"Supply Chain Compromise, IT, TLP:GREEN","Supply Chain Compromise",IT,Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83623","https://cymon.co/report/incident/83623",,,,,,,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T13:14:27Z"", ""description"": ""AppsFlyer Web SDK supply-chain attack used to steal cryptocurrency"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","supply chain compromise,it,tlp:green"
"3/22/2026, 10:20:21.565 AM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM",,"3/16/2026, 12:38:16.000 PM","Q3lqYXgtSU9Dcw==---indicator--879a7142-7ae9-48eb-8b43-af3f3e55d7ba","indicator--879a7142-7ae9-48eb-8b43-af3f3e55d7ba","906f393c-99ae-4266-9d24-955fec0f317d","906f393c-99ae-4266-9d24-955fec0f317d",IPv4,"118.194.238.51","Cyjax - IPv4 - 118.194.238.51","CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets","[ipv4-addr:value = '118.194.238.51']",stix,"2.1","malicious-activity",IPv4,"ipv4-addr:value","118.194.238.51",50,50,true,false,,Green,GREEN,"PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service, Unknown, Military, TLP:GREEN","PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service","Unknown, Military",Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83624","https://cymon.co/report/incident/83624","118.194.238.51",Manila,Philippines,PH,"UCLOUD INFORMATION TECHNOLOGY HK LIMITED",135377,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T12:38:16Z"", ""description"": ""CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","powershell,dll,mimikatz,dead drop resolver,applechris,getpass,memfun,lsass memory,windows management instrumentation,process hollowing,timestomp,windows service,unknown,military,tlp:green"
"3/22/2026, 10:20:21.563 AM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM",,"3/16/2026, 12:38:16.000 PM","Q3lqYXgtSU9Dcw==---indicator--de5123c7-31c7-40f3-afc5-073e5a023685","indicator--de5123c7-31c7-40f3-afc5-073e5a023685","e56a152f-6438-4761-9f0b-b618ff2b1d39","e56a152f-6438-4761-9f0b-b618ff2b1d39",IPv4,"8.212.169.27","Cyjax - IPv4 - 8.212.169.27","CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets","[ipv4-addr:value = '8.212.169.27']",stix,"2.1","malicious-activity",IPv4,"ipv4-addr:value","8.212.169.27",50,50,true,false,,Green,GREEN,"PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service, Unknown, Military, TLP:GREEN","PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service","Unknown, Military",Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83624","https://cymon.co/report/incident/83624","8.212.169.27",Manila,Philippines,PH,"Alibaba US Technology Co., Ltd.",45102,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T12:38:16Z"", ""description"": ""CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","powershell,dll,mimikatz,dead drop resolver,applechris,getpass,memfun,lsass memory,windows management instrumentation,process hollowing,timestomp,windows service,unknown,military,tlp:green"
"3/22/2026, 10:20:21.562 AM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM",,"3/16/2026, 12:38:16.000 PM","Q3lqYXgtSU9Dcw==---indicator--aff5ad92-8647-4c3e-8ea1-ffedeb1d85e5","indicator--aff5ad92-8647-4c3e-8ea1-ffedeb1d85e5","3632d293-797f-4e5d-9ac8-70e4521344c2","3632d293-797f-4e5d-9ac8-70e4521344c2","FileHash-MD5",ad5ede7d0069959499692ecde0685f10,"Cyjax - FileHash-MD5 - ad5ede7d0069959499692ecde0685f10","CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets","[file:hashes.'MD5' = 'ad5ede7d0069959499692ecde0685f10']",stix,"2.1","malicious-activity","FileHash-MD5","file:hashes.'MD5'",ad5ede7d0069959499692ecde0685f10,50,50,true,false,,Green,GREEN,"PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service, Unknown, Military, TLP:GREEN","PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service","Unknown, Military",Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83624","https://cymon.co/report/incident/83624",,,,,,,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T12:38:16Z"", ""description"": ""CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","powershell,dll,mimikatz,dead drop resolver,applechris,getpass,memfun,lsass memory,windows management instrumentation,process hollowing,timestomp,windows service,unknown,military,tlp:green"
"3/22/2026, 10:20:21.560 AM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM","3/16/2026, 12:38:16.000 PM",,"3/16/2026, 12:38:16.000 PM","Q3lqYXgtSU9Dcw==---indicator--fd259c6e-195e-44ed-9bb7-7a6535829dcb","indicator--fd259c6e-195e-44ed-9bb7-7a6535829dcb","3c81c7a6-be59-4f60-bed1-945289c82026","3c81c7a6-be59-4f60-bed1-945289c82026",IPv4,"116.63.177.49","Cyjax - IPv4 - 116.63.177.49","CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets","[ipv4-addr:value = '116.63.177.49']",stix,"2.1","malicious-activity",IPv4,"ipv4-addr:value","116.63.177.49",50,50,true,false,,Green,GREEN,"PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service, Unknown, Military, TLP:GREEN","PowerShell, DLL, Mimikatz, Dead Drop Resolver, AppleChris, Getpass, MemFun, LSASS Memory, Windows Management Instrumentation, Process Hollowing, Timestomp, Windows Service","Unknown, Military",Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83624","https://cymon.co/report/incident/83624","116.63.177.49",Guiyang,China,CN,"Cloud Computing Corporation",58519,1,"[{""count"": 1, ""last_seen_timestamp"": ""2026-03-16T12:38:16Z"", ""description"": ""CL-STA-1087 uses AppleChris and MemFun against Southeast Asian military targets"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","powershell,dll,mimikatz,dead drop resolver,applechris,getpass,memfun,lsass memory,windows management instrumentation,process hollowing,timestomp,windows service,unknown,military,tlp:green"
"3/22/2026, 10:20:21.281 AM","3/16/2026, 12:33:40.000 PM","3/16/2026, 12:33:40.000 PM","3/16/2026, 12:33:40.000 PM",,"3/16/2026, 12:33:40.000 PM","Q3lqYXgtSU9Dcw==---indicator--2c2ff732-5fec-4dea-ac98-6d8a2a828fe1","indicator--2c2ff732-5fec-4dea-ac98-6d8a2a828fe1","ff2028fb-c4e3-4d4a-8cd4-e7325ffe7830","ff2028fb-c4e3-4d4a-8cd4-e7325ffe7830",IPv4,"45.32.151.157","Cyjax - IPv4 - 45.32.151.157","Open VSX used to spread GlassWorm malware","[ipv4-addr:value = '45.32.151.157']",stix,"2.1","malicious-activity",IPv4,"ipv4-addr:value","45.32.151.157",50,50,true,false,,Green,GREEN,"Compromise Software Dependencies and Development Tools, Credentials from Web Browsers, Obfuscated Files or Information, User Execution, Credentials in Registry, Dead Drop Resolver, Command and Scripting Interpreter, Exploitation for Credential Access, Web Service, Additional Cloud Credentials, JavaScript, Supply Chain Compromise, Credentials, GlassWorm, Encrypted/Encoded File, Execution Guardrails, IT, TLP:GREEN","Compromise Software Dependencies and Development Tools, Credentials from Web Browsers, Obfuscated Files or Information, User Execution, Credentials in Registry, Dead Drop Resolver, Command and Scripting Interpreter, Exploitation for Credential Access, Web Service, Additional Cloud Credentials, JavaScript, Supply Chain Compromise, Credentials, GlassWorm, Encrypted/Encoded File, Execution Guardrails",IT,Cyjax,"Cyjax IOC Source","https://cymon.co/report/incident/83350","https://cymon.co/report/incident/83350","45.32.151.157",Aubervilliers,France,FR,"AS-VULTR",20473,2,"[{""count"": 2, ""last_seen_timestamp"": ""2026-03-16T12:33:40Z"", ""description"": ""Open VSX used to spread GlassWorm malware"", ""source"": ""Cyjax""}]",LogARepublisher,"Cyjax-IOCs","compromise software dependencies and development tools,credentials from web browsers,obfuscated files or information,user execution,credentials in registry,dead drop resolver,command and scripting interpreter,exploitation for credential access,web service,additional cloud credentials,javascript,supply chain compromise,credentials,glassworm,encrypted/encoded file,execution guardrails,it,tlp:green"
