ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"parameters_anyAccepted_b",7,"System.SByte",bool
"parameters_anyIgnored_b",8,"System.SByte",bool
"parameters_prompts_s",9,"System.String",string
"parameters_recipients_removed_s",10,"System.String",string
"parameters_recipients_remained_s",11,"System.String",string
"parameters_recipients_replace_s",12,"System.String",string
"parameters_captures_remained_s",13,"System.String",string
"parameters_captures_removed_s",14,"System.String",string
"parameters_categories_remained_s",15,"System.String",string
"parameters_categories_removed_s",16,"System.String",string
"parameters_policy_s",17,"System.String",string
"parameters_tobcc_s",18,"System.String",string
"parameters_recipientsUpdated_b",19,"System.SByte",bool
"parameters_domains_s",26,"System.String",string
"uuid_g",27,"System.String",string
CorrelationId,28,"System.String",string
Message,29,"System.String",string
"timeUtc_t",30,"System.DateTime",datetime
"parameters_sender_s",31,"System.String",string
"parameters_from_s",32,"System.String",string
"parameters_finalRecipients_s",33,"System.String",string
"parameters_finalTags_s",34,"System.String",string
"parameters_agents_s",35,"System.String",string
"parameters_given_b",36,"System.SByte",bool
"parameters_promptIgnored_b",37,"System.SByte",bool
"parameters_prompted_b",38,"System.SByte",bool
"parameters_remained_s",39,"System.String",string
"parameters_removed_s",40,"System.String",string
"identities_s",41,"System.String",string
"type_s",42,"System.String",string
"insertedUtc_t",43,"System.DateTime",datetime
Type,44,"System.String",string
"_ResourceId",45,"System.String",string
