TimeGenerated [UTC],portfolioId,portfolioId,portfolioName,body,Factor,eventID,subject,date,issueType,findingsCount,groupStatus,issueName,totalScoreImpact,severity_value,detail_url,industry,severity
"10/13/2022, 12:30:11.552 AM",,af80898b-1ddb-4a90-9505-690534021d1e,Company A,Issue,application_security,2963442,extenzy.com,2022-10-10 0:00:00,site_emits_browser_log,1,departed,Site emits visible browser logs,0,info,https://api.securityscorecard-instance.com/companies/extenzy.com/history/events/2022-10-10/issues/site_emits_browser_log?group_status=departed,information_services,7
"10/13/2022, 12:30:11.552 AM",,af80898b-1ddb-4a90-9505-690534021d1e,Company A,Issue,application_security,2966330,adoewecvb.com,2022-10-10 0:00:00,website_copyright_expired,1,departed,Website Copyright is Not Current,0,info,https://api.securityscorecard-instance.com/companies/adoewecvb.com/history/events/2022-10-10/issues/website_copyright_expired?group_status=departed,retail,7
"10/13/2022, 12:30:11.552 AM",,af80898b-1ddb-4a90-9505-690534021d1e,Company A,Issue,application_security,3068239,zealbsssk.com,2022-10-10 0:00:00,x_content_type_options_incorrect_v2,5,active,Website does not implement X-Content-Type-Options Best Practices,-0.002563015436,low,https://api.securityscorecard-instance.com/companies/zealbsssk.com/history/events/2022-10-10/issues/x_content_type_options_incorrect_v2?group_status=active,technology,7
"10/13/2022, 12:30:11.552 AM",,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B,Issue,application_security,3072772,zealbsssk.com,2022-10-10 0:00:00,x_frame_options_incorrect_v2,1,active,Website does not implement X-Frame-Options Best Practices,-0.001679481694,low,https://api.securityscorecard-instance.com/companies/zealbsssk.com/history/events/2022-10-10/issues/x_frame_options_incorrect_v2?group_status=active,technology,7
"10/13/2022, 12:30:11.782 AM",,af80898b-1ddb-4a90-9505-690534021d1e,Company A,Issue,network_security,3298378,mazaer.com,2022-10-10 0:00:00,tlscert_self_signed,1,active,Certificate Is Self-Signed,-0.01701051964,medium,https://api.securityscorecard-instance.com/companies/mazaer.com/history/events/2022-10-10/issues/tlscert_self_signed?group_status=active,information_services,7
"10/13/2022, 12:30:11.782 AM",,af80898b-1ddb-4a90-9505-690534021d1e,Company A,Issue,network_security,3298379,mazaer.com,2022-10-10 0:00:00,tlscert_weak_signature,1,active,Certificate Signed With Weak Algorithm,-0.08537558882,medium,https://api.securityscorecard-instance.com/companies/mazaer.com/history/events/2022-10-10/issues/tlscert_weak_signature?group_status=active,information_services,7
"10/13/2022, 12:30:13.365 AM",,af80898b-1ddb-4a90-9505-690534021d1e,Company A,Issue,endpoint_security,3362952,asvgzza.com,2022-10-10 0:00:00,outdated_browser,3,active,Outdated Web Browser Observed,-1.065923331,high,https://api.securityscorecard-instance.com/companies/asvgzza.com/history/events/2022-10-10/issues/outdated_browser?group_status=active,technology,7
"10/13/2022, 12:30:13.365 AM",,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B,Issue,application_security,3362951,asvgzza.com,2022-10-10 0:00:00,server_error,2,departed,Server error detected,0,info,https://api.securityscorecard-instance.com/companies/asvgzza.com/history/events/2022-10-10/issues/server_error?group_status=departed,technology,7
"10/13/2022, 12:30:13.365 AM",,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B,Issue,application_security,3362953,asvgzza.com,2022-10-10 0:00:00,site_emits_browser_log,2,departed,Site emits visible browser logs,0,info,https://api.securityscorecard-instance.com/companies/asvgzza.com/history/events/2022-10-10/issues/site_emits_browser_log?group_status=departed,technology,7
"10/13/2022, 12:30:13.365 AM",,b281c43a-0a6f-444b-a0b5-58d72676f1f5,Company B,Issue,application_security,3362954,asvgzza.com,2022-10-10 0:00:00,website_copyright_up_to_date,1,departed,Website copyright is current,0,positive,https://api.securityscorecard-instance.com/companies/asvgzza.com/history/events/2022-10-10/issues/website_copyright_up_to_date?group_status=departed,technology,7
