TimeGenerated [UTC],ip_s,domain_s,root_s,tld_s,type_s,registrar_s,domain_created_s,domain_expires_s,nameservers_s,country_codes_s,as_info_s,distinct_ips_d,active_days_d,event_count_d,first_seen_s,last_seen_s,start_date_s,end_date_s,Type
"7/17/2024, 4:20:19 PM",A:B:C:0:26:FF:98:D,apiproxy-website-nlb-prod-1-bcf28d21f4bbcf2c.elb.us-west-2.amazonaws.com,amazonaws.com,com,AAAA,MarkMonitor Inc.,2005-08-18,2027-01-16,"[{""root"":""awsdns-37.org"",""nameservers"":[""ns-1321.awsdns-37.org""]},{""root"":""awsdns-16.co.uk"",""nameservers"":[""ns-1670.awsdns-16.co.uk""]},{""root"":""awsdns-03.com"",""nameservers"":[""ns-27.awsdns-03.com""]},{""root"":""awsdns-56.net"",""nameservers"":[""ns-967.awsdns-56.net""]}]","[""US""]","[{""asn"":16509,""as_name"":""""}]",3,30,164284,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:19 PM",A:B:C:0:26:FF:98:D,netflix.com,netflix.com,com,AAAA,MarkMonitor Inc.,1997-11-11,2025-11-10,"[{""root"":""awsdns-43.org"",""nameservers"":[""ns-1372.awsdns-43.org""]},{""root"":""awsdns-56.co.uk"",""nameservers"":[""ns-1984.awsdns-56.co.uk""]},{""root"":""awsdns-18.net"",""nameservers"":[""ns-659.awsdns-18.net""]},{""root"":""awsdns-10.com"",""nameservers"":[""ns-81.awsdns-10.com""]}]","[""US""]","[{""asn"":16509,""as_name"":""""}]",21,30,1127,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:19 PM",A:B:C:0:26:FF:98:D,www.netflix.com,netflix.com,com,AAAA,MarkMonitor Inc.,1997-11-11,2025-11-10,"[{""root"":""awsdns-43.org"",""nameservers"":[""ns-1372.awsdns-43.org""]},{""root"":""awsdns-56.co.uk"",""nameservers"":[""ns-1984.awsdns-56.co.uk""]},{""root"":""awsdns-18.net"",""nameservers"":[""ns-659.awsdns-18.net""]},{""root"":""awsdns-10.com"",""nameservers"":[""ns-81.awsdns-10.com""]}]","[""US""]","[{""asn"":16509,""as_name"":""""}]",6,4,4,2024-07-02,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,alipesquissa.store,alipesquissa.store,store,A,PDR Ltd. d/b/a PublicDomainRegistry.com,2023-03-03,2025-03-03,"[{""root"":""hostgator.com.br"",""nameservers"":[""ns1036.hostgator.com.br"",""ns1037.hostgator.com.br""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,23,106,2024-06-17,2024-07-10,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,catalyst.rxrx.io,rxrx.io,io,A,Key-Systems GmbH,2020-05-20,2024-05-20,"[{""root"":""googledomains.com"",""nameservers"":[""ns-cloud-c1.googledomains.com"",""ns-cloud-c2.googledomains.com"",""ns-cloud-c3.googledomains.com"",""ns-cloud-c4.googledomains.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,21,43,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,your.as,your.as,as,A,,,,,"[""US""]","[{""asn"":15133,""as_name"":""""}]",1,26,26,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,emcal.sebastianpopp.com,sebastianpopp.com,com,A,RegistryGate GmbH,2010-12-11,2024-12-11,"[{""root"":""kasserver.com"",""nameservers"":[""ns5.kasserver.com"",""ns6.kasserver.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,25,25,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,emv1.rxrx.io,rxrx.io,io,A,Key-Systems GmbH,2020-05-20,2024-05-20,"[{""root"":""googledomains.com"",""nameservers"":[""ns-cloud-c1.googledomains.com"",""ns-cloud-c2.googledomains.com"",""ns-cloud-c3.googledomains.com"",""ns-cloud-c4.googledomains.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,23,23,2024-06-17,2024-07-15,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,*.rxrx.io,rxrx.io,io,A,Key-Systems GmbH,2020-05-20,2024-05-20,"[{""root"":""googledomains.com"",""nameservers"":[""ns-cloud-c1.googledomains.com"",""ns-cloud-c2.googledomains.com"",""ns-cloud-c3.googledomains.com"",""ns-cloud-c4.googledomains.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,23,23,2024-06-17,2024-07-15,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,www.rxrx.io,rxrx.io,io,A,Key-Systems GmbH,2020-05-20,2024-05-20,"[{""root"":""googledomains.com"",""nameservers"":[""ns-cloud-c1.googledomains.com"",""ns-cloud-c2.googledomains.com"",""ns-cloud-c3.googledomains.com"",""ns-cloud-c4.googledomains.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,23,23,2024-06-17,2024-07-15,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,chuumoku.com,chuumoku.com,com,A,"Guangdong Nicenic Technology Co., Ltd. dba NiceNIC",2017-05-04,2029-05-03,"[{""root"":""ndns.cn"",""nameservers"":[""ns1.ndns.cn"",""ns2.ndns.cn""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",2,22,22,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,delphi-cap.com,delphi-cap.com,com,A,"GoDaddy.com, LLC",2020-01-30,2025-01-30,"[{""root"":""cloudflare.com"",""nameservers"":[""darl.ns.cloudflare.com"",""melinda.ns.cloudflare.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,20,21,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,cleanthepool.ovh,cleanthepool.ovh,ovh,A,OVH,2024-05-06,2025-05-06,"[{""root"":""ovh.ca"",""nameservers"":[""dns10.ovh.ca"",""ns10.ovh.ca""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,21,21,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,lucasfusta.com,lucasfusta.com,com,A,"GoDaddy.com, LLC",2012-11-23,2024-11-23,"[{""root"":""domaincontrol.com"",""nameservers"":[""ns75.domaincontrol.com"",""ns76.domaincontrol.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,20,20,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,frogpondpottery.com,frogpondpottery.com,com,A,"Network Solutions, LLC",1997-02-10,2025-02-11,"[{""root"":""domaincontrol.com"",""nameservers"":[""ns51.domaincontrol.com"",""ns52.domaincontrol.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,20,20,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,eryeo33.site,eryeo33.site,site,A,URL Solutions Inc.,2024-01-09,2025-01-09,"[{""root"":""cloudflare.com"",""nameservers"":[""guss.ns.cloudflare.com"",""liz.ns.cloudflare.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,18,19,2024-06-18,2024-07-15,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,lagrangesystems.com,lagrangesystems.com,com,A,"NameCheap, Inc.",2011-10-13,2024-10-13,"[{""root"":""awsdns-33.org"",""nameservers"":[""ns-1292.awsdns-33.org""]},{""root"":""awsdns-01.com"",""nameservers"":[""ns-15.awsdns-01.com""]},{""root"":""awsdns-26.co.uk"",""nameservers"":[""ns-1750.awsdns-26.co.uk""]},{""root"":""awsdns-53.net"",""nameservers"":[""ns-941.awsdns-53.net""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,18,18,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,mail.afmedios.com,afmedios.com,com,A,"Wild West Domains, LLC",2008-10-13,2025-10-13,"[{""root"":""sucuridns.com"",""nameservers"":[""10.sucuridns.com"",""11.sucuridns.com"",""15.sucuridns.com"",""18.sucuridns.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",2,18,18,2024-06-17,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,issa.cm,issa.cm,cm,A,Netcom.cm Sarl,2024-05-15,2025-05-15,"[{""root"":""cloudflare.com"",""nameservers"":[""sunny.ns.cloudflare.com"",""wesley.ns.cloudflare.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,15,17,2024-06-18,2024-07-14,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
"7/17/2024, 4:20:21 PM",1.1.1.1,vaati.org,vaati.org,org,A,Porkbun LLC,2020-10-10,2024-10-10,"[{""root"":""porkbun.com"",""nameservers"":[""curitiba.ns.porkbun.com"",""fortaleza.ns.porkbun.com"",""maceio.ns.porkbun.com"",""salvador.ns.porkbun.com""]}]","[""US""]","[{""asn"":15133,""as_name"":""""}]",1,16,17,2024-06-21,2024-07-16,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_PDNS_CL
