TimeGenerated [UTC],ip_s,issuer_s,issuer_common_name_s,common_name_s,altnames_s,serial_s,subject_s,not_after_s,not_before_s,validity_period_s,md5_g,sha1_s,sha256_s,first_seen_s,last_seen_s,port_d,self_signed_b,country_codes_s,as_info_s,tags_s,count_d,start_date_s,end_date_s,Type
"7/17/2024, 5:40:06 AM",1.1.1.1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Root CA V1,Netflix Internal Services Root CA V1,[],1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",2048-04-23,2018-04-22,10959 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb1,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd24,2024-06-21,2024-07-13,443,TRUE,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:06 AM",1.1.1.1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy-website.us-west-2.dynprod.netflix.net"",""apiproxy-website.us-west-2.prod.netflix.net"",""apiproxy.app.us-west-2.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""apiproxy.us-west-2.dynprod.netflix.net"",""apiproxy.us-west-2.prod.netflix.net"",""ip-100-81-109-89.node.netflix.net"",""ip-2600-1f14-062a-de08-0000-0000-0000-31cd.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net"",""website.apiproxy.us-west-2.dynprod.netflix.net"",""website.apiproxy.us-west-2.prod.netflix.net""]",1,"serialNumber=i-0fd7c4ef06bd78362, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-11,2024-06-27,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb2,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd25,2024-06-27,2024-06-27,443,FALSE,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:06 AM",1.1.1.1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy-website.us-west-2.dynprod.netflix.net"",""apiproxy-website.us-west-2.prod.netflix.net"",""apiproxy.app.us-west-2.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""apiproxy.us-west-2.dynprod.netflix.net"",""apiproxy.us-west-2.prod.netflix.net"",""ip-100-87-100-123.node.netflix.net"",""ip-2600-1f14-062a-de04-0000-0000-0000-ea92.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net"",""website.apiproxy.us-west-2.dynprod.netflix.net"",""website.apiproxy.us-west-2.prod.netflix.net""]",1,"serialNumber=i-0ef20224ece32ff42, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-16,2024-07-02,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb3,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd26,2024-07-02,2024-07-02,443,FALSE,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:06 AM",1.1.1.1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy-website.us-west-2.dynprod.netflix.net"",""apiproxy-website.us-west-2.prod.netflix.net"",""apiproxy.app.us-west-2.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""apiproxy.us-west-2.dynprod.netflix.net"",""apiproxy.us-west-2.prod.netflix.net"",""ip-100-87-96-141.node.netflix.net"",""ip-2600-1f14-062a-de04-0000-0000-0000-fda5.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net"",""website.apiproxy.us-west-2.dynprod.netflix.net"",""website.apiproxy.us-west-2.prod.netflix.net""]",1,"serialNumber=i-066dc3ac461e42a76, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-27,2024-07-13,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb4,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd27,2024-07-13,2024-07-13,443,FALSE,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:06 AM",1.1.1.1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy-website.us-west-2.dynprod.netflix.net"",""apiproxy-website.us-west-2.prod.netflix.net"",""apiproxy.app.us-west-2.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""apiproxy.us-west-2.dynprod.netflix.net"",""apiproxy.us-west-2.prod.netflix.net"",""ip-100-87-87-123.node.netflix.net"",""ip-2600-1f14-062a-de04-0000-0000-0000-86a5.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net"",""website.apiproxy.us-west-2.dynprod.netflix.net"",""website.apiproxy.us-west-2.prod.netflix.net""]",1,"serialNumber=i-0655b773d971585ea, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-05,2024-06-21,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb5,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd28,2024-06-21,2024-06-21,443,FALSE,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:06 AM",1.1.1.1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.us-west-2.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy-website.us-west-2.dynprod.netflix.net"",""apiproxy-website.us-west-2.prod.netflix.net"",""apiproxy.app.us-west-2.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""apiproxy.us-west-2.dynprod.netflix.net"",""apiproxy.us-west-2.prod.netflix.net"",""ip-100-81-87-61.node.netflix.net"",""ip-2600-1f14-062a-de08-0000-0000-0000-9393.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net"",""website.apiproxy.us-west-2.dynprod.netflix.net"",""website.apiproxy.us-west-2.prod.netflix.net""]",1,"serialNumber=i-000199d2b0f4644fa, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-22,2024-07-08,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb6,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd29,2024-07-08,2024-07-08,443,FALSE,"[""US""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":372,""name"":""us-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:15 AM",2.2.2.2,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Root CA V1,Netflix Internal Services Root CA V1,[],1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",2048-04-23,2018-04-22,10959 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb7,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd30,2024-06-18,2024-07-05,443,TRUE,"[""IE""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":373,""name"":""eu-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:15 AM",2.2.2.2,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.eu-west-1.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.eu-west-1.dynprod.netflix.net"",""apiproxy-website.eu-west-1.prod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy.app.eu-west-1.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.eu-west-1.dynprod.netflix.net"",""apiproxy.eu-west-1.prod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""ip-100-86-149-143.node.netflix.net"",""ip-2a05-d018-076c-b608-0000-0000-0000-7ea0.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.eu-west-1.dynprod.netflix.net"",""website.apiproxy.eu-west-1.prod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net""]",1,"serialNumber=i-0ba0ad587b6c0786f, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-02,2024-06-18,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb8,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd31,2024-06-18,2024-06-18,443,FALSE,"[""IE""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":373,""name"":""eu-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:15 AM",2.2.2.2,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.eu-west-1.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.eu-west-1.dynprod.netflix.net"",""apiproxy-website.eu-west-1.prod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy.app.eu-west-1.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.eu-west-1.dynprod.netflix.net"",""apiproxy.eu-west-1.prod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""ip-100-83-134-2.node.netflix.net"",""ip-2a05-d018-076c-b606-0000-0000-0000-eec8.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.eu-west-1.dynprod.netflix.net"",""website.apiproxy.eu-west-1.prod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net""]",1,"serialNumber=i-00a1c36329d41e5f5, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-08,2024-06-24,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb9,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd32,2024-06-24,2024-06-24,443,FALSE,"[""IE""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":373,""name"":""eu-west"",""children"":null}]}]},{""id"":803,""name"":""top-site"",""children"":null}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
"7/17/2024, 5:40:15 AM",2.2.2.2,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"[""apiproxy-website.cluster.eu-west-1.prod.cloud.netflix.net"",""apiproxy-website.dynprod.netflix.net"",""apiproxy-website.eu-west-1.dynprod.netflix.net"",""apiproxy-website.eu-west-1.prod.netflix.net"",""apiproxy-website.netflix.net"",""apiproxy-website.prod.netflix.net"",""apiproxy.app.eu-west-1.prod.cloud.netflix.net"",""apiproxy.dynprod.netflix.net"",""apiproxy.eu-west-1.dynprod.netflix.net"",""apiproxy.eu-west-1.prod.netflix.net"",""apiproxy.netflix.net"",""apiproxy.prod.netflix.net"",""ip-100-86-178-240.node.netflix.net"",""ip-2a05-d018-076c-b608-0000-0000-0000-0732.node.netflix.net"",""website.apiproxy.dynprod.netflix.net"",""website.apiproxy.eu-west-1.dynprod.netflix.net"",""website.apiproxy.eu-west-1.prod.netflix.net"",""website.apiproxy.netflix.net"",""website.apiproxy.prod.netflix.net""]",1,"serialNumber=i-03331e2feb9489ffe, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",2024-07-19,2024-07-05,14 Days,6f7a94d-1784-4d0-d21a-c5f2b49adb10,5fe10f65eac66ad80d2aa845ea0567a748c,74794fc4b66ddc21697760d7b3d6350455809ae2872c285742cb613cd33,2024-07-05,2024-07-05,443,FALSE,"[""IE""]","[{""asn"":16509,""as_name"":""AMAZON-02, US""}]","[{""id"":803,""name"":""top-site"",""children"":null},{""id"":82,""name"":""cloud"",""children"":[{""id"":181,""name"":""amazon"",""children"":[{""id"":356,""name"":""ec2"",""children"":null},{""id"":373,""name"":""eu-west"",""children"":null}]}]}]",1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_x509_CL
