TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,responseCountry_s,responseRegion_s,deviceName_g,osVersion_s,confidenceLevel_s,deviceCountry_s,deviceName_s,deviceRegion_s,dhcpFingerprint_s,dnsView_s,feed_s,macAddress_s,source_s,action_s,policy_s,deviceIp_s,query_s,queryType_s,response_s,class_s,threatFamily_s,threatIndicator_s,detected_s,property_s,user_s,threatLevel_s,properties_objectGuid_g,properties_friendlyName_g,id_s,name_g,type_s,kind_s,properties_malwareName_s,properties_category_s,properties_friendlyName_s,InfobloxInsightID_g,InfobloxInsightfulID_s,InfobloxInsightLogType_s,InsightID_g,Type,_ResourceId
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:39.976 AM",,,Belgium,Brussels Capital,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Medium,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,accounts.google.com.,A,108.177.15.84,MalwareC2,Spyware,108.177.15.84,2024-03-03 15:19:46 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:39.225 AM",,,Belgium,Brussels Capital,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Medium,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,accounts.google.com.,A,108.177.15.84,MalwareC2,Spyware,108.177.15.84,2024-03-03 14:27:09 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:40.981 AM",,,France,Île-de-France,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Low,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,dnm.nflximg.net.,A,45.57.91.1,MalwareC2,Spyware,45.57.90.1,2024-03-02 23:14:12 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:40.219 AM",,,Belgium,Brussels Capital,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Medium,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,accounts.google.com.,A,108.177.15.84,MalwareC2,Spyware,108.177.15.84,2024-03-04 21:47:32 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:43.439 AM",,,France,Île-de-France,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Low,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,dnm.nflximg.net.,A,45.57.90.1,MalwareC2,Spyware,45.57.90.1,2024-02-29 20:38:40 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:44.166 AM",,,France,Île-de-France,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Low,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,dnm.nflximg.net.,A,45.57.91.1,MalwareC2,Spyware,45.57.90.1,2024-02-28 22:02:28 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:45.171 AM",,,France,Île-de-France,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Low,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,assets.nflxext.com.,A,45.57.90.1,MalwareC2,Spyware,45.57.90.1,2024-02-28 22:02:18 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:42.917 AM",,,Belgium,Brussels Capital,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Medium,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,accounts.google.com.,A,108.177.15.84,MalwareC2,Spyware,108.177.15.84,2024-03-02 06:38:50 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:45.851 AM",,,China,Jiangsu,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Low,Spain,,Murcia,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,platform-alib.linkedin.cn.,A,61.160.192.97,MalwareC2,Spyware,61.160.192.96,2024-02-27 07:47:22 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:46.917 AM",,,France,Île-de-France,4a3d9188-aced-4625-8ab7-d72853e1084c,iOS 16.5.1,Low,Spain,,Madrid,,,ETIQRisk_IP,,BloxOne Endpoint,Log,JG_LAB,127.0.0.1,dnm.nflximg.net.,A,45.57.90.1,MalwareC2,Spyware,45.57.90.1,2024-02-28 22:02:18 +0000 UTC,Spyware,default_user,Info,,,,,,,,,,76290ad6-f44a-4a77-8d14-2f233fa9aff3,,Event,,InfobloxInsightEvents_CL,
