TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"Computer_Name","IP_Address","Operating_System_Generation","Profile","Rule","Rule_ID","Standard","Status_Category","Version",Type,"_ResourceId"
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:26.196 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Windows Firewall: Public: Logging: Log dropped packets' is set to 'Yes'","xccdf_org.cisecurity.benchmarks_rule_9.3.9_L1_Ensure_Windows_Firewall_Public_Logging_Log_dropped_packets_is_set_to_Yes","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:44.359 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Always prompt for password upon connection' is set to 'Enabled'","xccdf_org.cisecurity.benchmarks_rule_18.9.63.3.9.1_L1_Ensure_Always_prompt_for_password_upon_connection_is_set_to_Enabled","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:23.386 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Internet Connection Sharing (ICS) (SharedAccess)' is set to 'Disabled'","xccdf_org.cisecurity.benchmarks_rule_5.8_L1_Ensure_Internet_Connection_Sharing_ICS_SharedAccess_is_set_to_Disabled","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:47.368 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE'","xccdf_org.cisecurity.benchmarks_rule_18.8.21.3_L1_Ensure_Configure_registry_policy_processing_Process_even_if_the_Group_Policy_objects_have_not_changed_is_set_to_Enabled_TRUE","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:34.523 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Password Settings: Password Complexity' is set to 'Enabled: Large letters + small letters + numbers + special characters'","xccdf_org.cisecurity.benchmarks_rule_18.2.4_L1_Ensure_Password_Settings_Password_Complexity_is_set_to_Enabled_Large_letters__small_letters__numbers__special_characters","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:37.439 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Allow unencrypted traffic' is set to 'Disabled'","xccdf_org.cisecurity.benchmarks_rule_18.9.98.1.2_L1_Ensure_Allow_unencrypted_traffic_is_set_to_Disabled","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:01:08.730 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Audit Security Group Management' is set to include 'Success'","xccdf_org.cisecurity.benchmarks_rule_17.2.2_L1_Ensure_Audit_Security_Group_Management_is_set_to_include_Success","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Pass,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:40.168 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Prevent downloading of enclosures' is set to 'Enabled'","xccdf_org.cisecurity.benchmarks_rule_18.9.64.1_L1_Ensure_Prevent_downloading_of_enclosures_is_set_to_Enabled","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:00:43.052 PM",,,"Windows10-03","[
  ""fe80::c503:a710:f21f:dccf"",
  ""10.0.0.7""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Turn off shell protocol protected mode' is set to 'Disabled'","xccdf_org.cisecurity.benchmarks_rule_18.9.30.4_L1_Ensure_Turn_off_shell_protocol_protected_mode_is_set_to_Disabled","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
"dummyTenantID",RestAPI,,,"6/19/2022, 11:01:26.380 PM",,,"Windows10-02","[
  ""fe80::b932:3546:5bc4:5e94"",
  ""10.0.0.8""
]","Windows 10","Level 1 (L1) - Corporate/Enterprise Environment (general use)","(L1) Ensure 'Configure Automatic Updates: Scheduled install day' is set to '0 - Every day'","xccdf_org.cisecurity.benchmarks_rule_18.9.103.3_L1_Ensure_Configure_Automatic_Updates_Scheduled_install_day_is_set_to_0_-_Every_day","CIS Microsoft Windows 10 Enterprise Release 21H1 Benchmark",Fail,1,"TaniumComplyCompliance_CL",
