TimeGenerated [UTC],event_count_d,port_d,protocol_d,protocol_text_s,service_s,first_seen_s,last_seen_s,css_color_s,ip_s,start_date_s,end_date_s,Type
"7/17/2024, 5:40:06 AM",92,80,6,TCP,http,2024-06-17,2024-07-16,#a6abb7,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:40:06 AM",72,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:40:16 AM",37,443,6,TCP,https,2024-06-18,2024-07-10,#99a1ff,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:40:16 AM",33,80,6,TCP,http,2024-06-18,2024-07-12,#a6abb7,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:40:24 AM",82,80,6,TCP,http,2024-06-17,2024-07-16,#a6abb7,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:40:24 AM",68,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:25 AM",92,80,6,TCP,http,2024-06-17,2024-07-16,#a6abb7,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:25 AM",72,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:32 AM",139,80,6,TCP,http,2024-06-18,2024-07-16,#a6abb7,1.1.1.4,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:32 AM",104,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.4,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:37 AM",139,80,6,TCP,http,2024-06-18,2024-07-16,#a6abb7,1.1.1.4,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:37 AM",104,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.4,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:29 AM",82,80,6,TCP,http,2024-06-17,2024-07-16,#a6abb7,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 5:53:29 AM",68,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.3,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 6:00:04 AM",92,80,6,TCP,http,2024-06-17,2024-07-16,#a6abb7,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 6:00:04 AM",72,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 6:43:20 AM",156557,53,17,UDP,domain,2024-06-17,2024-07-16,#d998ba,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 6:43:20 AM",2520,443,6,TCP,https,2024-06-17,2024-07-16,#99a1ff,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 6:43:20 AM",2062,80,6,TCP,http,2024-06-17,2024-07-16,#a6abb7,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
"7/17/2024, 6:43:20 AM",311,2087,6,TCP,eli,2024-06-17,2024-07-16,#998ae5,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_OpenPorts_CL
