ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,"System.DateTime",datetime
eventType,1,"System.Int32",int
itemId,2,"System.String",string
collectionId,3,"System.String",string
groupId,4,"System.String",string
policyId,5,"System.String",string
memberId,6,"System.String",string
actingUserId,7,"System.String",string
installationId,8,"System.String",string
device,9,"System.Int32",int
ipAddress,10,"System.String",string
TenantId,11,"System.String",string
Type,12,"System.String",string
"_ResourceId",13,"System.String",string
