TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"alert_id_g","parsed_signature_self_signed_b","forward_dns_names_s","labels_s","reverse_dns_names_s","services_s","software_s","threats_s","endpoints_s","vulns_s","fingerprint_sha256_s","parsed_subject_dn_s","parsed_issuer_dn_s","parsed_subject_common_name_s","parsed_validity_period_not_before_t [UTC]","parsed_validity_period_not_after_t [UTC]","parsed_signature_self_signed_s","subject_dn_s","issuer_dn_s","subject_common_name_s","validity_period_not_before_t [UTC]","validity_period_not_after_t [UTC]","signature_self_signed_t [UTC]","hostname_s","port_d","scan_time_t [UTC]","location_postal_code_s","dns_names_s","playbook_s","type_s","ip_s","autonomous_system_name_s","autonomous_system_asn_s","whois_network_name_s","whois_network_cidrs_s","location_city_s","location_province_s","location_country_s","location_country_code_s","location_continent_s","location_coordinates_latitude_d","location_coordinates_longitude_d","service_count_d","incident_arm_id_s",Type,"_ResourceId"
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/25/2026, 6:55:50.793 AM",,,,,,"N/A",,"[{""port"":22,""protocol"":""SSH"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T02:46:15Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2016-20012"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2017-15906"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2018-15473"",""Severity"":""medium"",""CVSS Score"":5.3}],""labels"":[""REMOTE_ACCESS""]},{""port"":80,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:47:35Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2019-20372"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2021-23017"",""Severity"":""high"",""CVSS Score"":7.7},{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4}],""labels"":[]},{""port"":443,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:55:21Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2019-20372"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2021-23017"",""Severity"":""high"",""CVSS Score"":7.7},{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4}],""labels"":[]}]",,,,,,,,,,,,,,,,,,,,,310000,"[""oa.thunderwind.cn"",""ybkckdebug.cups.thunderwind.cn"",""file.thunderwind.cn""]",CensysRescan,host,"101.37.124.231","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.","Aliyun Computing Co., LTD","[""101.37.0.0/16""]",Hangzhou,Zhejiang,China,CN,Asia,"30.29365","120.16142",16,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/CensysSentinelIntegration/providers/Microsoft.SecurityInsights/incidents/7915a2b3-bf81-49ab-a467-14eb4ed7a4c1","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/25/2026, 6:58:22.243 AM",,,"ec473474-b12e-072e-d117-f02405b46a3b",,,"N/A",,"[{""port"":22,""protocol"":""UNKNOWN"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T02:13:10Z"",""threats"":[],""vulns"":[],""labels"":[]},{""port"":80,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:57:35Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4},{""CVE"":""CVE-2022-41741"",""Severity"":""high"",""CVSS Score"":7},{""CVE"":""CVE-2022-41742"",""Severity"":""high"",""CVSS Score"":7.1}],""labels"":[]},{""port"":3306,""protocol"":""MYSQL"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T03:48:10Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2024-21193"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21194"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21196"",""Severity"":""medium"",""CVSS Score"":6.5}],""labels"":[""DATABASE""]}]",,,,,,,,,,,,,,,,,,,,,510000,,CensysAlertRescan,host,"43.136.36.31","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","Tencent Cloud Computing (Beijing) Co., Ltd","[""43.136.0.0/16""]",Guangzhou,Guangdong,China,CN,Asia,"23.11667","113.25",6,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/a99bc2a7-866e-46ca-884e-7f7a81a684e5","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/25/2026, 6:58:41.159 AM",,,,,,"N/A",,"[{""port"":22,""protocol"":""UNKNOWN"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T02:13:10Z"",""threats"":[],""vulns"":[],""labels"":[]},{""port"":80,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:57:56Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4},{""CVE"":""CVE-2022-41741"",""Severity"":""high"",""CVSS Score"":7},{""CVE"":""CVE-2022-41742"",""Severity"":""high"",""CVSS Score"":7.1}],""labels"":[]},{""port"":3306,""protocol"":""MYSQL"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T03:48:10Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2024-21193"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21194"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21196"",""Severity"":""medium"",""CVSS Score"":6.5}],""labels"":[""DATABASE""]}]",,,,,,,,,,,,,,,,,,,,,510000,,CensysRescan,host,"43.136.36.31","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","Tencent Cloud Computing (Beijing) Co., Ltd","[""43.136.0.0/16""]",Guangzhou,Guangdong,China,CN,Asia,"23.11667","113.25",6,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/CensysSentinelIntegration/providers/Microsoft.SecurityInsights/incidents/f0723348-0e5b-4d29-aca9-257b1c14dfb4","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/25/2026, 6:57:17.701 AM",,,"750ca673-34be-27fc-5e07-d4cf30553cb3",,,"N/A",,"[{""port"":22,""protocol"":""UNKNOWN"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T02:13:10Z"",""threats"":[],""vulns"":[],""labels"":[]},{""port"":80,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:56:32Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4},{""CVE"":""CVE-2022-41741"",""Severity"":""high"",""CVSS Score"":7},{""CVE"":""CVE-2022-41742"",""Severity"":""high"",""CVSS Score"":7.1}],""labels"":[]},{""port"":3306,""protocol"":""MYSQL"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T03:48:10Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2024-21193"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21194"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21196"",""Severity"":""medium"",""CVSS Score"":6.5}],""labels"":[""DATABASE""]}]",,,,,,,,,,,,,,,,,,,,,510000,,CensysAlertRescan,host,"43.136.36.31","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","Tencent Cloud Computing (Beijing) Co., Ltd","[""43.136.0.0/16""]",Guangzhou,Guangdong,China,CN,Asia,"23.11667","113.25",6,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/91d2680e-8966-40da-9f4d-3fc966439827","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/25/2026, 6:57:46.275 AM",,,,,,"N/A",,"[{""port"":22,""protocol"":""UNKNOWN"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T02:13:10Z"",""threats"":[],""vulns"":[],""labels"":[]},{""port"":80,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:56:43Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4},{""CVE"":""CVE-2022-41741"",""Severity"":""high"",""CVSS Score"":7},{""CVE"":""CVE-2022-41742"",""Severity"":""high"",""CVSS Score"":7.1}],""labels"":[]},{""port"":3306,""protocol"":""MYSQL"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T03:48:10Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2024-21193"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21194"",""Severity"":""medium"",""CVSS Score"":4.9},{""CVE"":""CVE-2024-21198"",""Severity"":""medium"",""CVSS Score"":4.9}],""labels"":[""DATABASE""]}]",,,,,,,,,,,,,,,,,,,,,510000,,CensysRescan,host,"43.136.36.31","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited","Tencent Cloud Computing (Beijing) Co., Ltd","[""43.136.0.0/16""]",Guangzhou,Guangdong,China,CN,Asia,"23.11667","113.25",6,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/CensysSentinelIntegration/providers/Microsoft.SecurityInsights/incidents/2233b680-0701-4e82-adc1-04ff83bab2b6","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/25/2026, 6:58:59.838 AM",,,"1ce85904-f9e1-267f-d986-6c4e86b21a83",,,"N/A",,"[{""port"":22,""protocol"":""SSH"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T02:46:15Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2016-20012"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2017-15906"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2018-15473"",""Severity"":""medium"",""CVSS Score"":5.3}],""labels"":[""REMOTE_ACCESS""]},{""port"":80,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:47:35Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2019-20372"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2021-23017"",""Severity"":""high"",""CVSS Score"":7.7},{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4}],""labels"":[]},{""port"":443,""protocol"":""HTTP"",""transport_protocol"":""tcp"",""scan_time"":""2026-02-25T06:57:14Z"",""threats"":[],""vulns"":[{""CVE"":""CVE-2019-20372"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2021-23017"",""Severity"":""high"",""CVSS Score"":7.7},{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4}],""labels"":[]}]",,,,,,,,,,,,,,,,,,,,,310000,"[""oa.thunderwind.cn"",""ybkckdebug.cups.thunderwind.cn"",""file.thunderwind.cn""]",CensysAlertRescan,host,"101.37.124.231","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.","Aliyun Computing Co., LTD","[""101.37.0.0/16""]",Hangzhou,Zhejiang,China,CN,Asia,"30.29365","120.16142",16,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/950c7bf5-3304-44c3-9f45-171e697abcee","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"3/2/2026, 7:09:19.712 AM",,,,,,,,,"[{""Vendor"":""f5"",""Product"":""nginx"",""Version"":""1.18.0""}]","[]","[{""Endpoint Type"":""HTTP"",""Path"":""/""}]","[{""CVE"":""CVE-2021-23017"",""Severity"":""high"",""CVSS Score"":7.7},{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4},{""CVE"":""CVE-2022-41741"",""Severity"":""high"",""CVSS Score"":7}]",,,,,,,,,,,,,,"nps.gamirrorgames.com",80,"3/2/2026, 1:52:55.000 AM",,,"Censys Entity Enrichment Web Property","web property",,,,,,,,,,,,,,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/c11e9f7e-899d-4bfa-b2ae-e020c4bd9f48","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"3/2/2026, 7:09:19.712 AM",,,,,,"[{""source"":""censys"",""confidence"":0.75,""value"":""LOGIN_PAGE""}]",,,"[{""Vendor"":""ehang\\-io"",""Product"":""nps"",""Version"":""N/A""},{""Vendor"":""f5"",""Product"":""nginx"",""Version"":""1.18.0""}]","[""NPS""]","[{""Endpoint Type"":""HTTP"",""Path"":""/""},{""Endpoint Type"":""HTTP"",""Path"":""/login/index""}]","[{""CVE"":""CVE-2021-23017"",""Severity"":""high"",""CVSS Score"":7.7},{""CVE"":""CVE-2021-3618"",""Severity"":""high"",""CVSS Score"":7.4},{""CVE"":""CVE-2022-41741"",""Severity"":""high"",""CVSS Score"":7}]",bdf97594d20c1843acc88b1a9607bab83ffa31f8a71238880ac16b673f9c9245,,,,,,,"CN=nps.gamirrorgames.com","C=US, O=Let's Encrypt, CN=R13","[""nps.gamirrorgames.com""]","1/21/2026, 5:34:28.000 PM","4/21/2026, 5:34:27.000 PM",,"nps.gamirrorgames.com",443,"3/2/2026, 2:39:18.000 AM",,,"Censys Entity Enrichment Web Property","web property",,,,,,,,,,,,,,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/c11e9f7e-899d-4bfa-b2ae-e020c4bd9f48","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"3/2/2026, 7:09:19.712 AM",,,,,,,,,"[]","[]","[]","[]",,,,,,,,,,,,,,"nps.gamirrorgames.com",7654,,,,"Censys Entity Enrichment Web Property","web property",,,,,,,,,,,,,,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/c11e9f7e-899d-4bfa-b2ae-e020c4bd9f48","Incident_Enrich_Data_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"3/2/2026, 6:51:53.444 AM",,,,,,,,,"[{""Vendor"":""f5"",""Product"":""nginx"",""Version"":""1.23.4""}]","[]","[{""Endpoint Type"":""HTTP"",""Path"":""/""}]","[{""CVE"":""CVE-2023-44487"",""Severity"":""high"",""CVSS Score"":7.5},{""CVE"":""CVE-2025-1695"",""Severity"":""medium"",""CVSS Score"":5.3},{""CVE"":""CVE-2025-23419"",""Severity"":""medium"",""CVSS Score"":4.3}]",,,,,,,,,,,,,,"gurugram-commercial.in.propzilla.in",80,"2/24/2026, 8:00:04.000 PM",,,"Censys Entity Enrichment Web Property","web property",,,,,,,,,,,,,,"/subscriptions/e0687f99-527c-4ffe-b7d5-d6cb9d563dc2/resourceGroups/r15_bdp4387_63391/providers/Microsoft.OperationalInsights/workspaces/censyssentinelintegration/providers/Microsoft.SecurityInsights/Incidents/f7f9cbf8-6255-40d8-9cac-49126be84384","Incident_Enrich_Data_CL",
