TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"Computer_Name_s","Computer_ID_s","Operating_System_s","Last_Logged_In_User_s","Patch_List_Name_s","Compliance_Status_s","OS_Type_s","Count_s","Age_s",Type,"_ResourceId"
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",819210364,"Ubuntu 20.04.4 LTS",reboot,"All Patches",Compliant,Linux,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",819210364,"Ubuntu 20.04.4 LTS",reboot,"[Tanium Patch Baseline Reporting] - Linux",Compliant,Linux,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Windows10-03",2121222359,"Windows 10 Pro","Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe","All Patches","1 - 5 missing",Windows,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Windows10-03",2121222359,"Windows 10 Pro","Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe","[Tanium Patch Baseline Reporting] - Windows","1 - 5 missing",Windows,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Windows10-03",2121222359,"Windows 10 Pro","Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe","[Patch Baseline Deployment] - Windows","1 - 5 missing",Windows,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Windows10-01",1842623100,"Windows 10 Pro","Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe","All Patches","1 - 5 missing",Windows,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Windows10-01",1842623100,"Windows 10 Pro","Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe","[Tanium Patch Baseline Reporting] - Windows","1 - 5 missing",Windows,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"Windows10-01",1842623100,"Windows 10 Pro","Standard Utilities Missing: C:\Program Files (x86)\Tanium\Tanium Client\Tools\StdUtils\TaniumExecWrapper.exe","[Patch Baseline Deployment] - Windows","1 - 5 missing",Windows,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"research-macmini",2565602327,"macOS (12.4)",chrislopez,"[Tanium Patch Baseline Reporting] - macOS","1 - 5 missing",macOS,1,600,"TaniumPatchListCompliance_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:37:08.338 AM",,,"research-macmini",2565602327,"macOS (12.4)",chrislopez,"All Patches","1 - 5 missing",macOS,1,600,"TaniumPatchListCompliance_CL",
