"TimeGenerated [UTC]",VbrHostName,Status,Id,BestPractice,Note,TenantId,Type,"_ResourceId"
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"67d58707-aff4-4899-81c0-08ae62bd5868","Remote Desktop Service (TermService) should be disabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"dd91df1c-fa8d-4a10-be5c-45001fc1ccd4","Remote Registry service (RemoteRegistry) should be disabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"14413149-c90e-447b-a00b-7301e1ca25f2","Windows Remote Management (WinRM) service should be disabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"3f5eb3bf-9b4d-4611-ae6d-4548f6de1069","Windows Firewall should be enabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"01a02c07-c6cf-4de2-b313-5eedc1825cb1","MFA for the backup console should be enabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,OK,"2be99330-c5d3-424c-91e6-3978ac914880","Immutable or offline (air gapped) media should be used",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"92b4f071-64b4-4370-bc27-4c9e69927f40","Password loss protection should be enabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,Violation,"76d712c4-83ff-499b-b353-e861ad6221fc","Email notifications should be enabled",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,OK,"46b15dc5-3d0f-4030-814a-6f972129f8e3","Configuration backup should be enabled and use encryption",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,UnableToCheck,"e9eca18f-b7a0-402d-959e-22ff135ad6bb","Backup server should not be a part of the production domain",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,OK,"31e98a51-8d4d-4e5f-90ea-2df427a86dfc","All backups should have at least one copy (the 3-2-1 backup rule)",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
"8/25/2025, 7:58:55.049 PM",win2022,OK,"ba1b0f95-e336-4b52-a046-ce60193661e4","Reverse incremental backup mode is deprecated and should be avoided",,"bf00e9b2-7a96-4caf-ac79-b9df2d7d06bb","VeeamSecurityComplianceAnalyzer_CL",
