TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,Arp,AwsApi,CentralizedNmap,CloudTags,Connected,CreatedAt,HostName,ImageId,InstanceId,InstanceState,InstanceType,IPAddress,Labels,LastDiscoveredAt,LaunchTime,Locations,MacAddress,MacOrganization,Managed,NatIpAddress,Nmap,Os,OsGeneration,OwnerId,Ping,Ports,Profile,Provider,SatelliteNmap,TaniumComputerId,Unmanageable,UpdatedAt,VirtualNetworkId,Zone,id,Type,_ResourceId
dummyTenantID,RestAPI,,,"6/20/2022, 6:00:14.143 PM",,,0,0,0,,0,2022-05-18 20:38:49 +00:00,_gateway,,,,,10.0.0.1,,2022-06-20 17:43:18 +00:00,,,12-34-56-78-9A-BC,,0,,1,Windows,,,1,"1,351,394,434,453,380",Distributed Ping,,0,0,0,2022-06-20 17:43:18 +00:00,,,29,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 6:00:15.219 PM",,,0,0,0,,0,2022-06-10 14:13:17 +00:00,,,,,,10.20.0.21,,2022-06-20 17:43:18 +00:00,,,00-0C-29-43-10-C9,VMware Inc.,0,108.51.144.195,1,Linux,5.X,,0,22,Distributed Ping,,0,0,0,2022-06-20 17:43:18 +00:00,,,74,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 6:00:14.954 PM",,,0,0,0,,0,2022-05-25 23:13:17 +00:00,,,,,,10.20.0.252,,2022-06-20 17:43:18 +00:00,,,00-50-56-A3-9C-F4,VMware Inc.,0,108.51.144.195,1,,,,0,,Distributed Ping,,0,0,0,2022-06-20 17:43:18 +00:00,,,60,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 6:00:15.445 PM",,,0,0,0,,0,2022-05-25 17:13:17 +00:00,dc-03.cylondatastream.com,,,,,10.20.0.9,,2022-06-20 17:43:18 +00:00,,,00-0C-29-8C-E8-B5,VMware Inc.,0,108.51.144.195,1,,,,0,"53,80,88,135,139,389,445,464,593,636,3268,3269,3389",Distributed Ping,,0,0,0,2022-06-20 17:43:18 +00:00,,,56,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 6:00:15.140 PM",,,0,0,0,,0,2022-05-25 21:13:17 +00:00,,,,,,10.20.0.235,,2022-06-20 17:43:18 +00:00,,,00-50-56-A3-00-1D,VMware Inc.,0,108.51.144.195,1,Linux,5.X,,0,"22,80",Distributed Ping,,0,0,0,2022-06-20 17:43:18 +00:00,,,57,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 6:00:15.257 PM",,,0,0,0,,0,2022-05-25 17:13:17 +00:00,dc-01.cylondatastream.com,,,,,10.20.0.4,,2022-06-20 17:43:18 +00:00,,,00-0C-29-53-BC-52,VMware Inc.,0,108.51.144.195,1,,,,0,"53,80,88,135,139,389,443,445,464,593,636,3268,3269,3389",Distributed Ping,,0,0,0,2022-06-20 17:43:18 +00:00,,,52,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 7:00:25.628 PM",,,0,0,0,,0,2022-05-25 23:13:17 +00:00,,,,,,10.20.0.252,,2022-06-20 18:43:18 +00:00,,,00-50-56-A3-9C-F4,VMware Inc.,0,108.51.144.195,1,,,,0,,Distributed Ping,,0,0,0,2022-06-20 18:43:18 +00:00,,,60,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 7:00:25.369 PM",,,0,0,0,,0,2022-05-25 17:13:17 +00:00,dc-01.cylondatastream.com,,,,,10.20.0.4,,2022-06-20 18:43:18 +00:00,,,00-0C-29-53-BC-52,VMware Inc.,0,108.51.144.195,1,,,,0,"53,80,88,135,139,389,443,445,464,593,636,3268,3269,3389",Distributed Ping,,0,0,0,2022-06-20 18:43:18 +00:00,,,52,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 7:00:25.622 PM",,,0,0,0,,0,2022-05-25 17:13:17 +00:00,dc-03.cylondatastream.com,,,,,10.20.0.9,,2022-06-20 18:43:18 +00:00,,,00-0C-29-8C-E8-B5,VMware Inc.,0,108.51.144.195,1,,,,0,"53,80,88,135,139,389,445,464,593,636,3268,3269,3389",Distributed Ping,,0,0,0,2022-06-20 18:43:18 +00:00,,,56,TaniumDiscoverUnmanagedAssets_CL,
dummyTenantID,RestAPI,,,"6/20/2022, 7:00:25.948 PM",,,0,0,0,,0,2022-06-10 14:13:17 +00:00,,,,,,10.20.0.21,,2022-06-20 18:43:18 +00:00,,,00-0C-29-43-10-C9,VMware Inc.,0,108.51.144.195,1,Linux,5.X,,0,22,Distributed Ping,,0,0,0,2022-06-20 18:43:18 +00:00,,,74,TaniumDiscoverUnmanagedAssets_CL,
