TimeGenerated [UTC],properties_s,properties_command_s,properties_user_s,properties_client_port_d,properties_server_port_d,recommended_s,sourcetype_s,title_s,type_s,src_type_s,src_hostname_s,src_ipaddr_s,src_role_s,src_endpoint_s,src_username_s,src_device_oid_d,src_device_name_s,src_device_ipaddrs_s,src_device_macaddr_s,src_device_role_s,dst_type_s,dst_hostname_s,dst_ipaddr_s,dst_role_s,dst_endpoint_s,dst_username_s,dst_device_oid_d,dst_device_name_s,dst_device_ipaddrs_s,dst_device_macaddr_s,dst_device_role_s,additional_participants_s,properties_randomness_d,description_s,categories_ids_s,mitre_techniques_s,recommended_b,recommended_factors_s,url_s,risk_score_d,time_d,id_d,is_user_created_b,mod_time_d,status_s,ticket_id_d,assignee_s,categories_array_s,categories_string_s,mitre_tactics_string_s,mitre_techniques_string_s,Type,_ResourceId
"2/10/2025, 8:49:35.148 PM",,string2,,12345,12345,,,BackConnect Protocol Activity,BackConnect Protocol Activity,ipaddr,elijahcraig.antelope.com,78.24.2.30,victim,client,,,,,,,ipaddr,1792.antelope.com,52.24.23.3,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.command"",""sec.attack""]","[{""id"":""T1021"",""name"":""Remote Services""},{""id"":""T1095"",""name"":""Non-Application Layer Protocol""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921882/?from=1739219558&until=1739221430&interval_type=DT,44,1739220530000,141733921882,FALSE,1733332045154,New,1234,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:39.157 PM",,,,,,,,Citrix Issues,Citrix Issues,ipaddr,mckennas.antelope.com,54.34.32.33,victim,client,,,,,,,ipaddr,stitzelweller.antelope.com,90.24.2.13,offender,server,,,,,,,[],,A test detection,"[""perf"",""perf.web""]",[],false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921894/?from=1739219566&until=1739221438&interval_type=DT,21,1739220538000,141733921894,FALSE,1733332045155,New,1235,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:35.714 PM",,,,,,,,New Cryptocurrency Mining Activity,New Cryptocurrency Mining Activity,ipaddr,mckennas.antelope.com,53.24.2.3,victim,client,,,,,,,ipaddr,wildturkey101.antelope.com,42.23.2.3,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.action"",""sec.cryptomining"",""sec.attack""]","[{""id"":""T1496"",""name"":""Resource Hijacking""}]",true,"[""top_offender""]",https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921883/?from=1739219558&until=1739221430&interval_type=DT,51,1739220530000,141733921883,FALSE,1733332045156,New,1236,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:36.633 PM",,,,,,,,Database Issues,Database Issues,ipaddr,atherton.antelope.com,125.24.2.13,victim,client,,,,,,,ipaddr,bownman.antelope.com,66.24.2.77,offender,server,,,,,,,[],,A test detection,"[""perf"",""perf.db""]",[],false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921884/?from=1739219559&until=1739221431&interval_type=DT,63,1739220531000,141733921884,FALSE,1733332045157,New,1237,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:36.838 PM",,,,,,,,Increase in Internal Database Data Transfers,Increase in Internal Database Data Transfers,ipaddr,buffalotrace.antelope.com,109.24.2.9,victim,client,,,,,,,ipaddr,brownforman.antelope.com,74.24.2.11,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.action"",""sec.exfil"",""sec.attack""]","[{""id"":""T1048"",""name"":""Exfiltration Over Alternative Protocol""},{""id"":""T1114"",""name"":""Email Collection""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921886/?from=1739219561&until=1739221433&interval_type=DT,89,1739220533000,141733921886,FALSE,1733332045158,New,1238,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:37.854 PM",,,randomString,12345,12345,,,Anonymous FTP Auth Enabled,Anonymous FTP Auth Enabled,ipaddr,widowjane.antelope.com,98.24.2.33,victim,client,,,,,,,ipaddr,hilltop.antelope.com,95.24.72.4,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.caution"",""sec.attack""]","[{""id"":""T1078"",""name"":""Valid Accounts""},{""id"":""T1105"",""name"":""Ingress Tool Transfer""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921881/?from=1739219557&until=1739221429&interval_type=DT,38,1739220529000,141733921881,FALSE,1733332045159,New,1239,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:38.356 PM",,,,,,,,File Access Failure,File Access Failure,ipaddr,bulleit.antelope.com,34.24.2.3,victim,client,,,,,,,ipaddr,woodfordreserve.antelope.com,83.24.211.3,offender,server,,,,,,,[],,A test detection,"[""perf"",""perf.storage""]",[],false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921892/?from=1739219564&until=1739221436&interval_type=DT,42,1739220536000,141733921892,FALSE,1733332045160,New,1240,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 10:08:08.722 PM",,,,,,,,Increase in Internal Database Data Transfers,Increase in Internal Database Data Transfers,ipaddr,ogd.antler.com,192.24.1.2,victim,client,,,,,,,ipaddr,blantons.antler.com,172.10.1.1,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.action"",""sec.exfil"",""sec.attack""]","[{""id"":""T1048"",""name"":""Exfiltration Over Alternative Protocol""},{""id"":""T1114"",""name"":""Email Collection""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921896/?from=1739224240&until=1739226112&interval_type=DT,20,1739225212000,141733921896,FALSE,1733332045161,New,1241,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 10:08:10.218 PM",,,,,,,,Increase in Internal Database Data Transfers,Increase in Internal Database Data Transfers,ipaddr,michters.antler.com,192.24.1.1,victim,client,,,,,,,ipaddr,blantons.antler.com,172.10.1.1,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.action"",""sec.exfil"",""sec.attack""]","[{""id"":""T1048"",""name"":""Exfiltration Over Alternative Protocol""},{""id"":""T1114"",""name"":""Email Collection""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921896/?from=1739224240&until=1739226112&interval_type=DT,20,1739225212000,141733921896,FALSE,1733332045162,New,1242,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 10:08:11.091 PM",,,,12345,12345,,,Cobalt Strike Beacon Transfer,Cobalt Strike Beacon Transfer,ipaddr,makersmark.antler.com,96.24.2.3,victim,client,,,,,,,ipaddr,heavenhill.antler.com,115.24.22.3,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.lateral"",""sec.attack""]","[{""id"":""T1021"",""name"":""Remote Services""},{""id"":""T1570"",""name"":""Lateral Tool Transfer""}]",true,"[""top_offender""]",https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921906/?from=1739224247&until=1739226119&interval_type=DT,84,1739225219000,141733921906,FALSE,1733332045163,New,1243,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 10:10:03.906 PM",,,,,,,,Activity Notification Test Title,Activity Notification Test Type,device,Test Victim Name,0.0.0.0,victim,client,victim_user,-1,Test Victim Name,"[""0.0.0.0""]",00:00:00:00:00:00,,device,Test Offender Name,0.0.0.0,offender,server,offender_user,-1,Test Offender Name,"[""0.0.0.0""]",00:00:00:00:00:00,,[],,This notification was sent by the ExtraHop system to verify your webhook connection.,"[""Test Category""]",[],false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections,-1,1739225403188,-1,FALSE,1733332045164,New,1244,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:22.554 PM",,,,,,,,AAA Auth Errors,AAA Auth Errors,ipaddr,fourroses.antelope.com,26.24.2.3,victim,client,,,,,,,ipaddr,eaglerare.antelope.com,7.25.1.22,offender,server,,,,,,,[],,A test detection,"[""perf.auth"",""perf""]",[],false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921879/?from=1739219555&until=1739221427&interval_type=DT,10,1739220527000,141733921879,FALSE,1733332045165,New,1245,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:22.309 PM",,,,,,,,Increase in Internal Database Data Transfers,Increase in Internal Database Data Transfers,ipaddr,michters.antelope.com,192.24.1.1,victim,client,,,,,,,ipaddr,blantons.antelope.com,172.10.1.1,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.action"",""sec.exfil"",""sec.attack""]","[{""id"":""T1048"",""name"":""Exfiltration Over Alternative Protocol""},{""id"":""T1114"",""name"":""Email Collection""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921878/?from=1739219555&until=1739221427&interval_type=DT,20,1739220527000,141733921878,FALSE,1733332045166,New,1246,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:21.782 PM",,,,,,,,Increase in Internal Database Data Transfers,Increase in Internal Database Data Transfers,ipaddr,ogd.antelope.com,192.24.1.2,victim,client,,,,,,,ipaddr,blantons.antelope.com,172.10.1.1,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.action"",""sec.exfil"",""sec.attack""]","[{""id"":""T1048"",""name"":""Exfiltration Over Alternative Protocol""},{""id"":""T1114"",""name"":""Email Collection""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921878/?from=1739219555&until=1739221427&interval_type=DT,20,1739220527000,141733921878,FALSE,1733332045167,New,1247,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:36.422 PM",,,,,,,,CVE-2020-16899 Windows TCP/IP Stack Exploit Attempt,CVE-2020-16899 Windows TCP/IP Stack Exploit Attempt,ipaddr,bombergers.antelope.com,117.24.2.4,victim,client,,,,,,,ipaddr,barton.antelope.com,69.24.2.3,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.dos"",""sec.attack"",""sec.action""]","[{""id"":""T1210"",""name"":""Exploitation of Remote Services""},{""id"":""T1499"",""name"":""Endpoint Denial of Service""}]",true,"[""top_offender""]",https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921885/?from=1739219560&until=1739221432&interval_type=DT,77,1739220532000,141733921885,FALSE,1733332045168,New,1248,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:34.708 PM",,string1,,12345,12345,,,BackConnect Protocol Activity,BackConnect Protocol Activity,ipaddr,elijahcraig.antelope.com,78.24.2.30,victim,client,,,,,,,ipaddr,1792.antelope.com,52.24.23.3,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.command"",""sec.attack""]","[{""id"":""T1021"",""name"":""Remote Services""},{""id"":""T1095"",""name"":""Non-Application Layer Protocol""}]",false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921882/?from=1739219558&until=1739221430&interval_type=DT,44,1739220530000,141733921882,FALSE,1733332045169,New,1249,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:37.389 PM",,,,,,,,Attempted Connections Dropped,Attempted Connections Dropped,ipaddr,nelsons.antelope.com,18.241.2.3,victim,client,,,,,,,ipaddr,mccormick.antelope.com,20.24.121.3,offender,server,,,,,,,[],,A test detection,"[""perf.network"",""perf""]",[],false,[],https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921889/?from=1739219563&until=1739221435&interval_type=DT,77,1739220535000,141733921889,FALSE,1733332045170,New,1250,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:37.083 PM",,,,,,,,Spike in AAA Failed Login Attempts,Spike in AAA Failed Login Attempts,ipaddr,jamesepepper.antelope.com,116.3.2.3,victim,client,,,,,,,ipaddr,heavenhill.antelope.com,112.24.2.3,offender,server,,,,,,,[],,A test detection,"[""sec.exploit"",""sec"",""sec.attack""]","[{""id"":""T1110"",""name"":""Brute Force""}]",true,"[""top_offender""]",https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921887/?from=1739219561&until=1739221433&interval_type=DT,90,1739220533000,141733921887,FALSE,1733332045171,New,1251,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:38.000 PM",,,,,,,,Ransomware Activity,Ransomware Activity,ipaddr,sazerac.antelope.com,51.24.222.3,victim,client,,,,,,,ipaddr,greenbrier.antelope.com,103.24.2.113,offender,server,,,,,,,[],,A test detection,"[""sec.ransomware"",""sec.action"",""sec"",""sec.attack""]","[{""id"":""T1486"",""name"":""Data Encrypted for Impact""}]",true,"[""top_offender""]",https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921890/?from=1739219563&until=1739221435&interval_type=DT,65,1739220535000,141733921890,FALSE,1733332045172,New,1252,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
"2/10/2025, 8:49:37.573 PM",,,,12345,12345,,,Cobalt Strike Beacon Transfer,Cobalt Strike Beacon Transfer,ipaddr,makersmark.antelope.com,96.24.2.3,victim,client,,,,,,,ipaddr,heavenhill.antelope.com,115.24.22.3,offender,server,,,,,,,[],,A test detection,"[""sec"",""sec.lateral"",""sec.attack""]","[{""id"":""T1021"",""name"":""Remote Services""},{""id"":""T1570"",""name"":""Lateral Tool Transfer""}]",true,"[""top_offender""]",https://teamdc.devcloud.extrahop.com/extrahop/#/detections/detail/141733921888/?from=1739219562&until=1739221434&interval_type=DT,84,1739220534000,141733921888,FALSE,1733332045173,New,1253,nirali.shah,"[""sec.exfil"",""abc.exfil"",""perf.kim""]","sec.exfil, abc.exfil, perf.kim ","T000A1: Tactic 1, T000A2: Tactic 2 ","T0001: Technique 1, T0002, Technique 2 ",ExtraHop_Detections_CL,
