TenantId,SourceSystem,TimeGenerated [UTC],Computer,EventTime [UTC],Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,MG,Type,_ResourceId,MessageLength,TYPE,DbId,SessionId,CLIENTID,EntryId,STMTID,DstUserName,SrcUserName,ACTION,ReturnCode,SCHEMA,ObjName,ActionName,DbAction,EventVendor,EventProduct
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/2/2022, 7:10:55.203 AM",findbupgrade,"11/2/2022, 7:10:55.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[17022]: LENGTH: '167' TYPE:""4"" DBID:""1482460084"" SESID:""4288217896"" CLIENTID:"""" ENTRYID:""1"" STMTID:""9"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""43"" RETCODE:""0"" SCHEMA:"""" OBJNAME:""FINRIGEN""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,167,4,1482460084,4288217896,,1,9,SYSTEM,SYSTEM,43,0,,FINRIGEN,ALTER USER,ALTER USER,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 5:16:07.466 AM",findbupgrade,"11/1/2022, 5:16:07.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[19850]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""3598303057"" CLIENTID:"""" ENTRYID:""1"" STMTID:""20"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""97"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,3598303057,,1,20,SYSTEM,SYSTEM,97,0,CUSTOM,FIN_BR_ITAXRPT_PACK,CREATE PACKAGE BODY,CREATE PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 5:16:07.519 AM",findbupgrade,"11/1/2022, 5:16:07.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[19850]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""3598303057"" CLIENTID:"""" ENTRYID:""2"" STMTID:""22"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""98"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,3598303057,,2,22,SYSTEM,SYSTEM,98,0,CUSTOM,FIN_BR_ITAXRPT_PACK,ALTER PACKAGE BODY,ALTER PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:54:29.856 AM",findbupgrade,"11/1/2022, 8:54:29.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""1"" STMTID:""10"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""97"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,1,10,SYSTEM,SYSTEM,97,0,CUSTOM,FIN_BR_ITAXRPT_PACK,CREATE PACKAGE BODY,CREATE PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:54:30.006 AM",findbupgrade,"11/1/2022, 8:54:30.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""2"" STMTID:""12"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""98"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,2,12,SYSTEM,SYSTEM,98,0,CUSTOM,FIN_BR_ITAXRPT_PACK,ALTER PACKAGE BODY,ALTER PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:56:13.209 AM",findbupgrade,"11/1/2022, 8:56:13.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""3"" STMTID:""17"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""97"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,3,17,SYSTEM,SYSTEM,97,0,CUSTOM,FIN_BR_ITAXRPT_PACK,CREATE PACKAGE BODY,CREATE PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:56:13.314 AM",findbupgrade,"11/1/2022, 8:56:13.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""4"" STMTID:""19"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""98"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,4,19,SYSTEM,SYSTEM,98,0,CUSTOM,FIN_BR_ITAXRPT_PACK,ALTER PACKAGE BODY,ALTER PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:56:37.122 AM",findbupgrade,"11/1/2022, 8:56:37.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""5"" STMTID:""20"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""97"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,5,20,SYSTEM,SYSTEM,97,0,CUSTOM,FIN_BR_ITAXRPT_PACK,CREATE PACKAGE BODY,CREATE PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:56:37.227 AM",findbupgrade,"11/1/2022, 8:56:37.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""6"" STMTID:""22"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""98"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,6,22,SYSTEM,SYSTEM,98,0,CUSTOM,FIN_BR_ITAXRPT_PACK,ALTER PACKAGE BODY,ALTER PACKAGE BODY,Oracle,Oracle Audit
e212fbc4-0637-4cff-a385-eef80c9f9fef,Linux,"11/1/2022, 8:56:42.480 AM",findbupgrade,"11/1/2022, 8:56:42.000 AM",local7,findbupgrade,warn,"Oracle Unified Audit[31525]: LENGTH: '185' TYPE:""4"" DBID:""1482460084"" SESID:""1717076618"" CLIENTID:"""" ENTRYID:""7"" STMTID:""23"" DBUSER:""SYSTEM"" CURUSER:""SYSTEM"" ACTION:""97"" RETCODE:""0"" SCHEMA:""CUSTOM"" OBJNAME:""FIN_BR_ITAXRPT_PACK""",,172.16.210.103,journal,00000000-0000-0000-0000-000000000002,Syslog,,185,4,1482460084,1717076618,,7,23,SYSTEM,SYSTEM,97,0,CUSTOM,FIN_BR_ITAXRPT_PACK,CREATE PACKAGE BODY,CREATE PACKAGE BODY,Oracle,Oracle Audit
