TenantId,"TimeGenerated [Local Time]",Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,Fqdn,TargetUrl,Action,ThreatDescription,IsTlsInspected,SourceSystem,Type,"_ResourceId"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:24:24.550 PM","HTTP/1.1","10.0.1.6",45510,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:24:25.359 PM","HTTP/1.1","10.0.1.6",45520,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:24:28.333 PM","HTTP/1.1","10.0.1.4",41262,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:24:28.978 PM","HTTP/1.1","10.0.1.4",41276,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:26:20.248 PM","HTTP/1.1","10.0.1.6",57904,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:26:21.021 PM","HTTP/1.1","10.0.1.6",53922,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:27:35.494 PM","HTTP/1.1","10.0.1.6",36270,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:27:37.608 PM","HTTP/1.1","10.0.1.6",36282,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:40:09.136 PM","HTTP/1.1","10.0.1.6",55962,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:40:09.769 PM","HTTP/1.1","10.0.1.6",55970,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:40:10.350 PM","HTTP/1.1","10.0.1.6",55978,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
"3adcf52d-73a0-4cc6-a9f8-fb387eafaf23","8/9/2023, 2:40:10.945 PM","HTTP/1.1","10.0.1.6",43448,,80,"testmaliciousdomain.eastus.cloudapp.azure.com",,Deny,"ThreatIntel: This is a test indicator for a Microsoft owned domain.",false,,AZFWThreatIntel,"/subscriptions/aeafa00c-5d8d-4d77-bac9-591a43a58007/resourcegroups/rg-ruleaudit/providers/microsoft.network/azurefirewalls/fw-ruleaudit"
