TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"query_s","matched_domains_s","unmatched_domains_s","domains_s","type_s","source_s","keyword_s","discovery_date_t [UTC]","expiration_timestamp_t [UTC]",Type,"_ResourceId"
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""update.vutsrqponqlkjihgfihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""update.vutsrqponqlkjihgfihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Argon2026h1' log","[""football""]","2/18/2026, 10:08:25.000 AM","5/17/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""wvupdate.nmpojilkjihcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""wvupdate.nmpojilkjihcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Argon2026h1' log","[""football""]","2/18/2026, 10:06:41.000 AM","5/17/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""update.twvuponmponmlkjihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""update.twvuponmponmlkjihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Xenon2026h1' log","[""football""]","2/18/2026, 10:06:55.000 AM","5/19/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""zyupdate.utonmlkjmlkjidcbadccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""zyupdate.utonmlkjmlkjidcbadccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Argon2026h1' log","[""football""]","2/18/2026, 10:05:53.000 AM","5/17/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""update.twvuponmponmlkjihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""update.twvuponmponmlkjihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Argon2026h1' log","[""football""]","2/18/2026, 10:05:27.000 AM","5/17/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""update.wzyxwvutsnmlkjmlkjihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""update.wzyxwvutsnmlkjmlkjihgfedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Argon2026h1' log","[""football""]","2/18/2026, 10:07:27.000 AM","5/17/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""zyupdate.qponmlkjmlgjidcbadccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""zyupdate.qponmlkjmlgjidcbadccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Xenon2026h1' log","[""football""]","2/18/2026, 10:05:18.000 AM","5/19/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""update.vuxsrqponmlkjihkjihcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""update.vuxsrqponmlkjihkjihcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Xenon2026h1' log","[""football""]","2/18/2026, 10:05:52.000 AM","5/19/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""xupdate.ponqpojihgfidcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""xupdate.ponqpojihgfidcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Xenon2026h1' log","[""football""]","2/18/2026, 10:05:48.000 AM","5/19/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/17/2026, 7:17:22.554 AM",,,update,"[""yxwupdate.orqpojihkjidcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","[]","[""yxwupdate.orqpojihkjidcbedccs-nginx-remove-each-way-from-football.innovationmanagement.net""]","ssl-certificate","Google 'Xenon2026h1' log","[""football""]","2/18/2026, 10:09:17.000 AM","5/19/2026, 11:59:59.000 PM","CyjaxDomainMonitor_CL",
