"TimeGenerated [UTC]",eventType,itemId,collectionId,groupId,policyId,memberId,actingUserId,installationId,device,ipAddress,TenantId,Type,"_ResourceId"
"5/12/2024, 10:39:53.540 AM",1101,"fffb2cc4-eafb-4e34-bf0c-b16a00bbe9b2",,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:39:48.554 AM",1107,"fffb2cc4-eafb-4e34-bf0c-b16a00bbe9b2",,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:41:21.357 AM",1000,,,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:41:15.782 AM",1401,,,"211b8d38-f01a-400b-9282-b0f600c3d86e",,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:40:50.982 AM",1101,"fffb2cc4-eafb-4e34-bf0c-b16a00bbe9b2",,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:40:47.004 AM",1107,"fffb2cc4-eafb-4e34-bf0c-b16a00bbe9b2",,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:21:27.063 AM",1101,"fffb2cc4-eafb-4e34-bf0c-b16a00bbe9b2",,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:21:24.303 AM",1107,"fffb2cc4-eafb-4e34-bf0c-b16a00bbe9b2",,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:21:15.543 AM",1401,,,"211b8d38-f01a-400b-9282-b0f600c3d86e",,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
"5/12/2024, 10:21:04.882 AM",1000,,,,,,"ec88703a-365a-4525-b4c6-b15a0054a717",,9,"89.64.30.17","d4c12f3e-1fba-4d43-a065-0abb7743b1b7","BitwardenEventLogs_CL",
