TimeGenerated [UTC],EventVendor,EventProduct,ID,Entity ID,Name,Entity Importance,Entity Type,Is Prioritized,Severity,Urgency Score,URL,Category,Last Detection URL,Last Detection Type,Last Detection ID,Active Detection Types,Event Timestamp [UTC],Breadth Contrib,Velocity Contrib
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,1,1,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/1,ACCOUNT_SCORING,,,,[],"9/27/2021, 3:27:21.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,2,2,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/2,ACCOUNT_SCORING,,,,[],"9/27/2021, 3:32:25.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,3,1,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/1,ACCOUNT_SCORING,,,,[],"9/27/2021, 3:47:36.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,4,2,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/2,ACCOUNT_SCORING,,,,[],"9/27/2021, 3:47:36.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,5,3,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/3,ACCOUNT_SCORING,,,,[],"9/27/2021, 3:47:36.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,6,1,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/1,ACCOUNT_SCORING,,,,[],"9/27/2021, 4:07:04.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,7,3,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/3,ACCOUNT_SCORING,,,,[],"9/27/2021, 4:12:09.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,8,2,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/2,ACCOUNT_SCORING,,,,[],"9/27/2021, 12:21:25.000 PM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,9,2,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/2,ACCOUNT_SCORING,,,,[],"9/27/2021, 6:21:16.000 PM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,10,3,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/3,ACCOUNT_SCORING,,,,[],"9/27/2021, 6:21:16.000 PM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,11,1,,0,account,FALSE,Low,0,https://test.portal.vectra.ai/accounts/1,ACCOUNT_SCORING,,,,[],"9/28/2021, 12:21:06.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,12,4,,0,account,FALSE,Medium,0,https://test.portal.vectra.ai/accounts/4,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:12:13.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,13,5,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/5,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:27:26.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,14,6,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/6,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:27:26.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,15,4,,0,account,TRUE,Medium,0,https://test.portal.vectra.ai/accounts/4,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:32:30.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,16,7,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/7,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:32:30.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,17,8,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/8,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:32:30.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,18,9,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/9,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:32:30.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,19,10,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/10,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:37:32.000 AM",0,0
"3/24/2023, 5:12:35.603 AM",VectraEntityScoring,VectraEntityScoring,20,11,,0,account,TRUE,Low,0,https://test.portal.vectra.ai/accounts/11,ACCOUNT_SCORING,,,,[],"9/28/2021, 3:37:32.000 AM",0,0
