TimeGenerated [UTC],indicator_id_s,report_link_s,updated_at_t [UTC]
"3/8/2023, 8:15:09.380 PM",5354,https://sampleurl.com/api/public/v2/threat_indicators/5354/reports,"3/8/2023, 8:02:48.714 PM"
"3/8/2023, 8:15:09.380 PM",5355,https://sampleurl.com/api/public/v2/threat_indicators/5355/reports,"3/8/2023, 8:02:51.236 PM"
"2/23/2023, 8:22:09.850 AM",5269,https://sampleurl.com/api/public/v2/threat_indicators/5269/reports,"2/8/2023, 1:54:22.597 PM"
"2/23/2023, 8:22:09.850 AM",5271,https://sampleurl.com/api/public/v2/threat_indicators/5271/reports,"2/8/2023, 1:58:39.396 PM"
"2/23/2023, 8:22:09.850 AM",5277,https://sampleurl.com/api/public/v2/threat_indicators/5277/reports,"2/9/2023, 12:49:55.970 PM"
"2/23/2023, 8:22:09.850 AM",5278,https://sampleurl.com/api/public/v2/threat_indicators/5278/reports,"2/9/2023, 12:50:15.845 PM"
"2/23/2023, 8:22:09.850 AM",5279,https://sampleurl.com/api/public/v2/threat_indicators/5279/reports,"2/9/2023, 12:51:08.781 PM"
"2/23/2023, 8:22:09.850 AM",5280,https://sampleurl.com/api/public/v2/threat_indicators/5280/reports,"2/9/2023, 12:52:04.159 PM"
"2/23/2023, 8:22:09.850 AM",5281,https://sampleurl.com/api/public/v2/threat_indicators/5281/reports,"2/9/2023, 12:55:12.288 PM"
"2/23/2023, 8:22:09.850 AM",5282,https://sampleurl.com/api/public/v2/threat_indicators/5282/reports,"2/9/2023, 12:58:02.599 PM"
