TimeGenerated [UTC],SourceSystem,Action,ActivityGroupNames,AdditionalInformation,ApplicationId,ConfidenceScore,Description,DiamondModel,ExternalIndicatorId,ExpirationDateTime [UTC],IndicatorId,ThreatType,Active,TrafficLightProtocolLevel,DomainName,Url,Type
"3/20/2023, 6:20:40.831 AM",Cofense : Triage-UI,alert,,,,75,,,5355,"12/31/9999, 11:59:59.999 PM",XXXXXA1C02484B4696DFDAD2C0D80811B1FE931721FD72AECB7101D0512CB4FF,domain-name,true,unknown,horizon85.py,,ThreatIntelligenceIndicator
"3/20/2023, 6:20:41.096 AM",Cofense : Triage-UI,alert,,,,100,,,5354,"12/31/9999, 11:59:59.999 PM",XXXXX38FE4A0A29B3B3AE9711134CCCC4B6ABE27D7E3B0D715E4697F3E76F7D9,url,true,unknown,,https://horizon85.py/url.htm?muna.abed@demo.cofenseuat.com,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.432 AM",Cofense : Microsoft Sentinel1,alert,,,,1,,,5284,"12/31/9999, 11:59:59.999 PM",XXXXX2AE3B7A0CDEE6DD62B7F64E375F483AD43A03D787E167D272077D6FAC88,domain-name,true,unknown,wwww.Cresttttttttttttttttttttttttttttttttttttttttttttttttttt.tttttt07a.com,,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.801 AM",Cofense : Microsoft Sentinel,alert,,,,1,,,5291,"12/31/9999, 11:59:59.999 PM",XXXXXC0DDF2381D809E49DCC85C0AE425A7D853A8CF4A219E6A8E16819571490,url,true,unknown,,https://भारत123.com,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.801 AM",Cofense : Microsoft Sentinel1,alert,,,,1,,,5288,"12/31/9999, 11:59:59.999 PM",XXXXX434E4B63BECA264D5D1E9D9B33F7C20BB3BFB409258C4F64A4974F2431B,domain-name,true,unknown,Cresttttttttttttttttttttttttttttttttttttttttttttttttttttttttt07,,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.802 AM",Cofense : Microsoft Sentinel,alert,,,,1,,,5278,"12/31/9999, 11:59:59.999 PM",XXXXXC32C7CA2B46C9088E4856878F023C6AC064E0A617963EA2EEFE557EFFAC,domain-name,true,unknown,Cresttttttttttttttttttttttttttttttttttttttttttttttttttttttttt07.com,,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.808 AM",Cofense : Microsoft Sentinel,alert,,,,1,,,5280,"12/31/9999, 11:59:59.999 PM",XXXXX4AE89A93D242FB2D22574EAA080A7224A37FB2750BAA650AF61BF30F155,domain-name,true,unknown,www.Cresttttttttttttttttttttttttttttttttttttttttttttttttttttttttt07.com,,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.808 AM",Cofense : Microsoft Sentinel1,alert,,,,1,,,5287,"12/31/9999, 11:59:59.999 PM",XXXXX92D9811204C1C031968DFE478A84464CC894276C5B774AB23650789DF48,domain-name,true,unknown,Cresttttttttttttttttttttttttttttttttttttttttttttttttttttttttt07.Cresttttttttttttttttttttttttttttttttttttttttttttttttttttttttt07,,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.808 AM",Cofense : Microsoft Sentinel,alert,,,,1,,,5279,"12/31/9999, 11:59:59.999 PM",XXXXX0AF6A2730B6A3100AD95DA233E16B44F77AEEFF25A8E9496ABC041AC06D,domain-name,true,unknown,Crestttttttttttttttttttttttttttttttttttttttttttttttttttttttt07.com,,ThreatIntelligenceIndicator
"3/17/2023, 6:25:49.809 AM",Cofense : Microsoft Sentinel1,alert,,,,1,,,5282,"12/31/9999, 11:59:59.999 PM",XXXXXA7043BCE408A3BE66AFBDEC5995A553768BA0270027F3DF3E7B9D23A405,domain-name,true,unknown,www.Cresttttttttttttttttttttttttttttttttttttttttttt07t.com,,ThreatIntelligenceIndicator
