A logon from a malicious IP has been detected. [seen multiple times],"A successful remote authentication for the account [account] and process [process] occurred, however the logon IP address (x.x.x.x) has previously been reported as malicious or highly unusual. A successful attack has probably occurred. Files with the .scr extensions are screen saver files and are normally reside and execute from the Windows system directory.",-,High,Windows,Azure Defender
A logon from a malicious IP has been detected(VM_ThreatIntelSuspectLogon),"A successful remote authentication for the account [account] and process [process] occurred, however the logon IP address (x.x.x.x) has previously been reported as malicious or highly unusual. A successful attack has probably occurred.",Initial access,High,Windows,Azure Defender
Addition of Guest account to Local Administrators group,"Analysis of host data has detected the addition of the built-in Guest account to the Local Administrators group on %{Compromised Host}, which is strongly associated with attacker activity.",-,Medium,Windows,Azure Defender
An event log was cleared,Machine logs indicate a suspicious event log clearing operation by user: '%{user name}' in Machine: '%{CompromisedEntity}'. The %{log channel} log was cleared.,-,Informational,Windows,Azure Defender
Antimalware Action Failed,Microsoft Antimalware has encountered an error when taking an action on malware or other potentially unwanted software.,-,Medium,Windows,Azure Defender
Antimalware Action Taken,Microsoft Antimalware for Azure has taken an action to protect this machine from malware or other potentially unwanted software.,-,Medium,Windows,Azure Defender
Antimalware broad files exclusion in your virtual machine(ARM_AmBroadFilesExclusion),Files exclusion from antimalware extension with broad exclusion rule was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. Such exclusion practically disabling the Antimalware protection.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running arbitrary code or infecting the machine with malware.,-,Medium,Windows,Azure Defender
Antimalware disabled and code execution in your virtual machine(ARM_AmDisablementAndCodeExecution),Antimalware disabled at the same time as code execution on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers disable antimalware scanners to prevent detection while running unauthorized tools or infecting the machine with malware.,-,High,Windows,Azure Defender
Antimalware disabled in your virtual machine(ARM_AmDisablement),Antimalware disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might disable the antimalware on your virtual machine to prevent detection.,Defense Evasion,Medium,Windows,Azure Defender
Antimalware file exclusion and code execution in your virtual machine(ARM_AmFileExclusionAndCodeExecution),File excluded from your antimalware scanner at the same time as code was executed via a custom script extension on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running unauthorized tools or infecting the machine with malware.,"Defense Evasion, Execution",High,Windows,Azure Defender
Antimalware file exclusion and code execution in your virtual machine(ARM_AmTempFileExclusionAndCodeExecution),Temporary file exclusion from antimalware extension in parallel to execution of code via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running arbitrary code or infecting the machine with malware.,"Defense Evasion, Execution",High,Windows,Azure Defender
Antimalware file exclusion in your virtual machine(ARM_AmTempFileExclusion),File excluded from your antimalware scanner on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running unauthorized tools or infecting the machine with malware.,Defense Evasion,Medium,Windows,Azure Defender
Antimalware real-time protection was disabled in your virtual machine(ARM_AmRealtimeProtectionDisabled),Real-time protection disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might disable real-time protection from the antimalware scan on your virtual machine to avoid detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Windows,Azure Defender
Antimalware real-time protection was disabled temporarily in your virtual machine(ARM_AmTempRealtimeProtectionDisablement),Real-time protection temporary disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might disable real-time protection from the antimalware scan on your virtual machine to avoid detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Windows,Azure Defender
