Alert,Description,Tactic,Severity,Provider,Detection Service
A logon from a malicious IP has been detected,"A successful remote authentication for the account [account] and process [process] occurred, however the logon IP address (x.x.x.x) has previously been reported as malicious or highly unusual. A successful attack has probably occurred.",-,High,Windows,Azure Defender
A logon from a malicious IP has been detected. [seen multiple times],"A successful remote authentication for the account [account] and process [process] occurred, however the logon IP address (x.x.x.x) has previously been reported as malicious or highly unusual. A successful attack has probably occurred. Files with the .scr extensions are screen saver files and are normally reside and execute from the Windows system directory.",-,High,Windows,Azure Defender
Addition of Guest account to Local Administrators group,"Analysis of host data has detected the addition of the built-in Guest account to the Local Administrators group on %{Compromised Host}, which is strongly associated with attacker activity.",-,Medium,Windows,Azure Defender
An event log was cleared,Machine logs indicate a suspicious event log clearing operation by user: '%{user name}' in Machine: '%{CompromisedEntity}'. The %{log channel} log was cleared.,-,Informational,Windows,Azure Defender
Antimalware Action Taken,Microsoft Antimalware for Azure has taken an action to protect this machine from malware or other potentially unwanted software.,-,Medium,Windows,Azure Defender
Antimalware Action Failed,Microsoft Antimalware has encountered an error when taking an action on malware or other potentially unwanted software.,-,Medium,Windows,Azure Defender
Detected Petya ransomware indicators,Analysis of host data on %{Compromised Host} detected indicators associated with Petya ransomware. See https://blogs.technet.microsoft.com/mmpc/2017/06/27/new-ransomware-old-techniques-petya-adds-worm-capabilities/ for more information. Review the command line associated in this alert and escalate this alert to your security team.,-,High,Windows,Azure Defender
Detected actions indicative of disabling and deleting IIS log files,Analysis of host data detected actions that show IIS log files being disabled and/or deleted.,-,Medium,Windows,Azure Defender
Detected anomalous mix of upper and lower case characters in command-line,"Analysis of host data on %{Compromised Host} detected a command line with anomalous mix of upper and lower case characters. This kind of pattern, while possibly benign, is also typical of attackers trying to hide from case-sensitive or hash-based rule matching when performing administrative tasks on a compromised host.",-,Medium,Windows,Azure Defender
Detected change to a registry key that can be abused to bypass UAC,"Analysis of host data on %{Compromised Host} detected that a registry key that can be abused to bypass UAC (User Account Control) was changed. This kind of configuration, while possibly benign, is also typical of attacker activity when trying to move from unprivileged (standard user) to privileged (for example administrator) access on a compromised host.",-,Medium,Windows,Azure Defender
Detected decoding of an executable using built-in certutil.exe tool,"Analysis of host data on %{Compromised Host} detected that certutil.exe, a built-in administrator utility, was being used to decode an executable instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions, for example using a tool such as certutil.exe to decode a malicious executable that will then be subsequently executed.",-,High,Windows,Azure Defender
Detected enabling of the WDigest UseLogonCredential registry key,"Analysis of host data detected a change in the registry key HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest\ ""UseLogonCredential"". Specifically this key has been updated to allow logon credentials to be stored in clear text in LSA memory. Once enabled an attacker can dump clear text passwords from LSA memory with credential harvesting tools such as Mimikatz.",-,Medium,Windows,Azure Defender
Detected encoded executable in command line data,"Analysis of host data on %{Compromised Host} detected a base-64 encoded executable. This has previously been associated with attackers attempting to construct executables on-the-fly through a sequence of commands, and attempting to evade intrusion detection systems by ensuring that no individual command would trigger an alert. This could be legitimate activity, or an indication of a compromised host.",-,High,Windows,Azure Defender
